row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
33,UHA-0097,8,9.62E-04,3.31E-04,UHA-0015,9,8,1,2.50E+00,UHA-0266,9,8,0,8.04E+00,3.75E+00,+,8,1,9.85E+00,8.72E+00,*
34,UHA-0098,9,1.95E-03,1.18E-06,UHA-0015,9,9,1,-1.49E+00,UHA-0257,9,9,0,5.67E+00,0.00E+00,,9,3,1.95E+00,1.95E+00,+
35,UHA-0101,9,1.40E-03,1.19E-05,UHA-0257,9,9,0,6.54E+00,UHA-0260,9,9,0,7.42E+00,7.42E+00,*,9,0,1.12E+01,1.12E+01,*
36,UHA-0105,9,2.38E-04,1.02E-05,UHA-0257,9,9,0,1.04E+01,UHA-0258,9,9,1,3.51E+00,3.51E+00,+,9,1,5.59E+00,5.59E+00,*
37,UHA-0109,9,5.08E-04,6.05E-07,UHA-0257,9,9,0,6.55E+00,UHA-0261,9,9,0,1.01E+01,1.01E+01,*,9,0,1.46E+01,1.46E+01,*
38,UHA-0111,9,4.17E-04,1.86E-06,UHA-0257,9,9,0,7.41E+00,UHA-0258,9,9,2,-8.03E-01,0.00E+00,,9,3,-4.06E+00,0.00E+00,
39,UHA-0112,9,1.40E-04,2.42E-02,UHA-0257,9,9,6,-2.28E+01,UHA-0265,9,9,0,1.14E+01,2.89E+00,+,9,7,4.63E+00,1.72E+00,+
40,UHA-0298,9,1.48E-03,1.48E-03,UHA-0351,9,9,0,1.29E+01,UHA-0264,9,9,1,-2.36E+00,0.00E+00,,9,1,-9.46E-01,0.00E+00,
41,UHA-0021,9,4.32E-05,1.99E-06,UHA-0261,9,9,1,4.00E+00,UHA-0260,9,9,0,1.38E+01,1.38E+01,*,9,1,1.51E+01,1.51E+01,*
42,UHA-0022,9,1.51E-04,1.43E-05,UHA-0261,9,9,0,9.98E+00,UHA-0257,9,9,1,9.36E-01,9.36E-01,-,9,1,3.49E+00,3.49E+00,*
43,UHA-0048,9,1.31E-03,4.44E-05,UHA-0260,9,9,0,7.27E+00,UHA-0257,9,9,0,6.40E+00,6.40E+00,*,9,0,9.82E+00,9.82E+00,*
44,UHA-0049,9,8.94E-04,2.37E-05,UHA-0260,9,9,1,4.81E+00,UHA-0257,9,9,0,7.78E+00,7.34E+00,*,9,1,1.15E+01,1.15E+01,*
45,UHA-0053,9,5.01E-04,1.92E-06,UHA-0260,9,9,0,6.48E+00,UHA-0351,9,9,0,9.73E+00,9.73E+00,*,9,0,1.32E+01,1.32E+01,*
46,UHA-0054,9,5.43E-04,1.18E-05,UHA-0260,9,9,0,9.05E+00,UHA-0351,9,9,1,3.56E+00,3.56E+00,+,9,1,5.61E+00,5.61E+00,*
47,UHA-0055,9,2.32E-04,3.96E-06,UHA-0260,9,9,1,3.82E+00,UHA-0010,9,9,3,-9.06E+00,0.00E+00,,9,4,-9.65E+00,0.00E+00,
48,UHA-0069,9,2.82E-03,9.36E-06,UHA-0014,9,9,0,5.22E+00,UHA-0266,9,9,1,4.36E+00,0.00E+00,,9,1,5.80E+00,5.80E+00,*
