Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0056,8,UHA-0260,9,8,2,-4.47081463264472E+0000,UHA-0258,9,8,3,-6.82767960910490E+0000, 0.00000000000000E+0000,,8,3, 1.29142699076537E+0000, 1.29142699076537E+0000,+,
UHA-0058,9,UHA-0260,9,9,2,-2.97453909423601E-0001,UHA-0351,9,9,0, 9.17046079891756E+0000, 9.17046079891756E+0000,*,9,2, 1.00582994007478E+0001, 1.00582994007478E+0001,*,
UHA-0059,9,UHA-0260,9,9,3,-6.49355164242375E+0000,UHA-0257,9,9,1, 2.11721388707879E+0000, 2.11721388707879E+0000,+,9,4, 4.05226367751455E+0000, 4.05226367751455E+0000,*,
UHA-0068,9,UHA-0014,9,9,0, 7.19351788210460E+0000,UHA-0351,9,9,0, 4.61172270802801E+0000, 0.00000000000000E+0000,,9,1, 3.34458525090441E+0000, 2.95425080912335E-0001,-,
UHA-0069,9,UHA-0014,9,9,0, 5.52343234913411E+0000,UHA-0266,9,9,1, 4.91177879265881E+0000, 0.00000000000000E+0000,,9,1, 6.36815397213627E+0000, 6.36815397213627E+0000,*,
UHA-0070,9,UHA-0014,9,9,0, 9.95026908609611E+0000,UHA-0262,9,9,0, 1.10016541706652E+0001, 1.10302100839523E+0000,-,9,0, 1.08115292122095E+0001, 6.78032887123207E-0001,+,
UHA-0071,9,UHA-0014,9,9,0, 7.45067592295130E+0000,UHA-0266,9,9,1, 3.91543862717425E+0000, 7.04718963681929E-0001,-,9,1, 5.70119950067659E+0000, 5.70119950067659E+0000,*,
UHA-0072,9,UHA-0014,9,9,0, 6.53901380781146E+0000,UHA-0266,9,9,0, 8.34026677905247E+0000, 6.13648596175768E+0000,*,9,0, 1.16358712753567E+0001, 1.16358712753567E+0001,*,
UHA-0073,9,UHA-0014,9,9,0, 1.00060067345110E+0001,UHA-0267,9,9,0, 1.10640173251180E+0001, 1.07306900178627E+0000,-,9,1, 6.05491985409320E+0000, 7.09730771749038E-0001,+,
UHA-0074,9,UHA-0014,9,9,0, 3.94611757895354E+0000,UHA-0256,9,9,2,-2.14077121248962E+0000, 0.00000000000000E+0000,,9,3,-5.18323556822531E+0000, 0.00000000000000E+0000,,
UHA-0075,9,UHA-0014,9,9,0, 8.85794304260481E+0000,UHA-0351,9,9,0, 7.76468596956878E+0000, 4.32912692848532E+0000,*,9,0, 1.08286119553420E+0001, 1.08286119553420E+0001,*,
UHA-0076,9,UHA-0014,9,9,0, 7.19096515489695E+0000,UHA-0266,9,9,0, 9.18530707412511E+0000, 2.39692936933005E+0000,+,9,0, 1.13913847569936E+0001, 1.13913847569936E+0001,*,
UHA-0077,9,UHA-0014,9,9,0, 9.33864097925537E+0000,UHA-0224,9,9,1, 9.59716273914832E-0001, 0.00000000000000E+0000,,9,1, 3.37004693119554E+0000, 6.53793647125707E-0001,-,
UHA-0079,9,UHA-0014,9,9,0, 1.11898501176828E+0001,UHA-0267,9,9,0, 1.07872626675809E+0001, 6.88286539094650E-0001,-,9,0, 1.11162246624455E+0001, 6.90127178173928E-0001,+,
UHA-0080,9,UHA-0014,9,9,0, 8.44970609226113E+0000,UHA-0265,9,9,0, 1.17006734664270E+0001, 2.56640381326313E+0000,+,9,0, 1.43973654620768E+0001, 1.33778413889989E+0001,*,
UHA-0081,9,UHA-0014,9,9,0, 1.06575414844373E+0001,UHA-0013,9,9,0, 8.84440953932396E+0000, 0.00000000000000E+0000,,9,0, 9.04194268494798E+0000, 6.89555564422735E-0001,+,
UHA-0088,9,UHA-0014,9,9,0, 7.80337832277183E+0000,UHA-0262,9,9,0, 8.20977944464849E+0000, 6.30285857425109E+0000,*,9,2, 9.09749808717069E-0002, 9.09749808717069E-0002,-,
UHA-0089,9,UHA-0014,9,9,0, 9.15024682133279E+0000,UHA-0266,9,9,1, 4.73834344266649E+0000, 0.00000000000000E+0000,,9,1, 7.23281578305184E+0000, 7.23281578305184E+0000,*,
UHA-0090,9,UHA-0014,9,9,0, 5.80683762989997E+0000,UHA-0266,9,9,0, 1.03897599498885E+0001, 3.46702156045360E+0000,+,9,0, 1.35434919771903E+0001, 1.35434919771903E+0001,*,
UHA-0091,9,UHA-0014,9,9,0, 7.56390800368325E+0000,UHA-0266,9,9,1, 4.23980249661069E+0000, 1.56835480191008E+0000,+,9,1, 6.29004464064311E+0000, 6.29004464064311E+0000,*,
UHA-0093,8,UHA-0015,9,8,0, 6.81709209967040E+0000,UHA-0265,9,8,0, 7.92173720129981E+0000, 3.86821086926137E-0001,-,8,0, 9.04044778362216E+0000, 5.01730830821240E+0000,*,
UHA-0094,9,UHA-0015,9,9,0, 9.07555698132563E+0000,UHA-0266,9,9,1, 3.84541379562419E+0000, 2.55786322125900E+0000,+,9,1, 6.85489345505506E+0000, 6.85489345505506E+0000,*,
UHA-0095,9,UHA-0015,9,9,0, 6.68399369888348E+0000,UHA-0266,9,9,0, 9.84674589218997E+0000, 2.47438508788920E+0000,+,9,0, 1.32387380389698E+0001, 1.28564457599016E+0001,*,
