Species,Count
Quercus acerifolia,7
Quercus acutissima,6
Quercus alba,571
Quercus aliena,7
Quercus aliena var. acutiserrata ,7
Quercus arizonica,10
Quercus arkansana,2
Quercus baronii,2
Quercus × bebbiana,5
Quercus × benderi,1
Quercus bicolor,161
Quercus × bimundorum,2
Quercus boyntonii,1
Quercus buckleyi,9
Quercus × bushii,2
Quercus cerris,8
Quercus chrysolepis,1
Quercus coccinea,7
Quercus dalechampii,1
Quercus × deamii,8
Quercus dentata,12
Quercus douglasii,1
Quercus ellipsoidalis,76
Quercus × exacta,1
Quercus faginea,4
Quercus falcata,1
Quercus × fernowii,8
Quercus × fontana,1
Quercus frainetto,2
Quercus franchetii,1
Quercus fusiformis,1
Quercus gambelii,11
Quercus georgiana,7
Quercus × guadalupensis,3
Quercus hartwissiana,5
Quercus hemisphaerica,3
Quercus × humidicola,6
Quercus ilicifolia,2
Quercus imbricaria,36
Quercus infectoria,1
Quercus invaginata,1
Quercus × jackiana,6
Quercus laurifolia,3
Quercus lusitanica,3
Quercus lyrata,3
Quercus × macdanielii,16
Quercus macranthera ,2
Quercus macrocarpa,280
Quercus marilandica,11
Quercus michauxii,6
Quercus mohriana,1
Quercus mongolica,26
Quercus montana,19
Quercus muehlenbergii,57
Quercus nigra,1
Quercus oglethorpensis,24
Quercus pagoda,2
Quercus palustris,76
Quercus petraea,11
Quercus phellos,5
Quercus prinoides,23
Quercus pubescen,1
Quercus pyrenaica,1
Quercus robur ,20
Quercus robur,1
Quercus rubra,224
Quercus × runcinata,5
Quercus × saulii,1
Quercus × schuettei,3
Quercus serrata,6
Quercus shumardii,32
Quercus sinuata,10
Quercus stellata,9
Quercus × sternbergii,1
Quercus × subfalcata,1
Quercus texana,5
Quercus variabilis,7
Quercus velutina,6
Quercus × warei,14
