"","V1"
"Quercus lobata",157
"Quercus chrysolepis",14
"Quercus virginiana",12
"Quercus agrifolia",96
"Quercus douglasii",10
"Quercus engelmannii",14
"Quercus turbinella",19
"Quercus garryana",10
"Quercus berberidifolia",12
"Quercus robur",11
"Quercus suber",16
"Quercus macrocarpa",18
"Quercus gambelii",9
"Quercus muehlenbergii",10
"Quercus gambelii × macrocarpa",10
"Quercus robur × turbinella",10
"Quercus macrocarpa × turbinella",21
"Quercus phillyreoides",10
"Quercus john-tuckeri",10
"Quercus × macdonaldii",10
