"","Starhill_Accession_number","Longitude","Latitude","Species_Name","Genus","Species","Subspecific","Parentage","Year_Died","New_Compartment","Old_Compartment","Lot","Year_Outplanted","red_oak_t","white_oak_t","intermediate_oaks_t","cerris_oaks_t","Section"
"1","2003-021",-89.80247014,39.93342368,"Quercus alba","Quercus","alba","","Lincoln Vault Oak","","A5","OOA",3,"2003",FALSE,TRUE,FALSE,FALSE,"white_oak"
"2","2002-050",-89.79832403,39.93573918,"bicolor × macrocarpa","Quercus","×schuettei","","bicolor × macrocarpa F2 of 'Kimberly'","","F1","FFF",4,"2002",FALSE,FALSE,FALSE,FALSE,NA
"3","2010-125",-89.80202003,39.93258767,"Quercus muehlenbergii  × laceyi","Quercus","","","muehlenbergii  × laceyi ","","A6","OOOA",1,"2010",FALSE,FALSE,FALSE,FALSE,NA
"4","2002-047",-89.79833174,39.93580682,"Quercus × alba × macrocarpa","Quercus","×bebbiana","","alba × macrocarpa F2","","F1","FFF",1,"2002",FALSE,FALSE,FALSE,FALSE,NA
"5","2008-067",-89.80226667,39.93303333,"Quercus × beadlei ","Quercus","×beadlei","","alba × michauxii F2","","A6","OOOA",2,"2008",FALSE,FALSE,FALSE,FALSE,NA
"6","2001-015",-89.7985226,39.9358888,"Quercus × beadlei ","Quercus","×beadlei","","alba × michauxii","","F1","FFF",1,"2001",FALSE,FALSE,FALSE,FALSE,NA
"7","1995-035",-89.80232463,39.93483938,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco' F2","","","A3","A",1,"1995",FALSE,TRUE,FALSE,FALSE,"white_oak"
"8","1995-035",-89.80223989,39.93485715,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco II'","","","A3","A",1,"1995",FALSE,TRUE,FALSE,FALSE,"white_oak"
"9","2015-013",-89.80217828,39.93216463,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco II'","","","A7","OOOOA",2,"2015",FALSE,TRUE,FALSE,FALSE,"white_oak"
"10","2008-068",-89.80212489,39.93300626,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa","","A6","OOOA",4,"2008",FALSE,TRUE,FALSE,FALSE,"white_oak"
"11","2009-148",-89.80208333,39.9328,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco'","","","A6","OOOA",2,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak"
"12","2007-025",-89.80201073,39.93335403,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa","","A5","OOA",4,"2007",FALSE,TRUE,FALSE,FALSE,"white_oak"
"13","2010-070",-89.80194443,39.93262748,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa","","A6","OOOA",3,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak"
"14","1994-013",-89.80101136,39.93403581,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco'","","","B4","OB",1,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak"
"15","1900-037",-89.8003,39.93536667,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa","","D3","D",NA,"spontaneous",FALSE,TRUE,FALSE,FALSE,"white_oak"
"16","1900-036",-89.79951667,39.9353,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa","","D3","D",NA,"spontaneous",FALSE,TRUE,FALSE,FALSE,"white_oak"
