"","Starhill_Accession_number","Longitude","Latitude","Species_Name","Genus","Species","Subspecific","Parentage","Year_Died","New_Compartment","Old_Compartment","Lot","Year_Outplanted","red_oak_t","white_oak_t","intermediate_oaks_t","cerris_oaks_t","Section"
"17","1999-048",-89.79849301,39.93566659,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco' F2","","","F1","FFF",1,"1999",FALSE,TRUE,FALSE,FALSE,"white_oak"
"18","2001-059",-89.79843694,39.9358116,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco' F2","","","F1","FFF",1,"2001",FALSE,TRUE,FALSE,FALSE,"white_oak"
"19","1996-044",-89.79843283,39.93565368,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco' F2","","","F1","FFF",1,"1996",FALSE,TRUE,FALSE,FALSE,"white_oak"
"20","2001-016",-89.79842931,39.93572619,"Quercus × bebbiana","Quercus","×bebbiana"," 'Taco' F2","","","F1","FFF",1,"2001",FALSE,TRUE,FALSE,FALSE,"white_oak"
"21","2000-047",-89.79840693,39.93558303,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa","","F1","FFF",3,"2000",FALSE,TRUE,FALSE,FALSE,"white_oak"
"22","1994-015",-89.79833333,39.93536667,"Quercus × bebbiana","Quercus","×bebbiana","","alba × macrocarpa F3","","F2","FF",2,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak"
"23","1995-036",-89.80220653,39.93484651,"Quercus × bimundorum","Quercus","×bimundorum","","alba × robur F2","","A2","AA",2,"1995",FALSE,TRUE,FALSE,FALSE,"white_oak"
"24","2002-048",-89.80095436,39.9338043,"Quercus × bimundorum","Quercus","×bimundorum","","alba × robur F2","","B4","OB",2,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak"
"25","1981-033",-89.80215649,39.93534775,"Quercus × bushii","Quercus","×bushii","","marilandica × velutina F2","","A2","AA",1,"1981",FALSE,FALSE,FALSE,FALSE,NA
"26","2013-018",-89.80187251,39.93239908,"Quercus × bushii","Quercus","×bushii","","marilandica × velutina F2","","A7","OOOOA",2,"2013",FALSE,FALSE,FALSE,FALSE,NA
"27","2021-009",39.93255,-89.8017,"Quercus × bushii","Quercus","×bushii","","marilandica × velutina","","","",NA,"2021",FALSE,FALSE,FALSE,FALSE,NA
"28","2010-071",-89.80141235,39.93278297,"Quercus × calvescens","Quercus","×calvescens","","","","B6","OOOB",1,"2010",FALSE,FALSE,FALSE,FALSE,NA
"29","2004-079",-89.8013965,39.93407177,"Quercus × carrisoana","Quercus","×carrisoana","","canariensis × robur","","B5","OOB",1,"2004",FALSE,FALSE,FALSE,FALSE,NA
"30","2007-026",-89.80119911,39.93339728,"Quercus × carrisoana","Quercus","×carrisoana","","canariensis × robur","","B5","OOB",1,"2007",FALSE,FALSE,FALSE,FALSE,NA
"31","2004-063",-89.8022652,39.93356139,"Quercus × comptoniae","Quercus","×comptoniae","","virginiana × lyrata F2","","A5","OOA",1,"2004",FALSE,FALSE,FALSE,FALSE,NA
"32","2009-149",-89.80215,39.93273333,"Quercus × comptoniae","Quercus","×comptoniae","","virginiana × lyrata F2","","A6","OOOA",2,"2009",FALSE,FALSE,FALSE,FALSE,NA
"33","1994-016",-89.80225858,39.93530047,"Quercus × deamii","Quercus","×deamii","","macrocarpa × muhlenbergii F2","","A2","AA",4,"1994",FALSE,FALSE,FALSE,FALSE,NA
"34","1995-037",-89.80224668,39.93495698,"Quercus × deamii","Quercus","×deamii","","macrocarpa × muhlenbergii","","A2","AA",2,"1995",FALSE,FALSE,FALSE,FALSE,NA
"35","2006-075",-89.8021026,39.9334645,"Quercus × deamii","Quercus","×deamii","","macrocarpa × muhlenbergii F2","","A5","OOA",5,"2006",FALSE,FALSE,FALSE,FALSE,NA
"36","2008-070",-89.80206412,39.93300777,"Quercus × deamii","Quercus","×deamii","","macrocarpa × muhlenbergii F2","","A6","OOOA",5,"2008",FALSE,FALSE,FALSE,FALSE,NA
"37","2007-027",-89.80198424,39.93339535,"Quercus × deamii","Quercus","×deamii"," 'Champion Seedless'","macrocarpa × muhlenbergii","","A5","OOA",1,"2007",FALSE,FALSE,FALSE,FALSE,NA
"38","1999-050",-89.79839511,39.93569534,"Quercus × deamii","Quercus","×deamii","","macrocarpa × muhlenbergii F2","","F1","FFF",3,"1999",FALSE,FALSE,FALSE,FALSE,NA
"39","2001-018",-89.79834231,39.93566324,"Quercus × deamii","Quercus","×deamii","","macrocarpa × muhlenbergii F2","","F1","FFF",4,"2001",FALSE,FALSE,FALSE,FALSE,NA
"40","2018-011",-89.80187075,39.93196196,"Quercus × egglestonii","Quercus","×egglestonii","","F2","","A7","OOOOA",1,"2018",FALSE,FALSE,FALSE,FALSE,NA
"41","2020-012",39.93190463,-89.80174775,"Quercus × exacta","Quercus","×exacta","","imbricaria × palustris F2","","","",2,"",FALSE,FALSE,FALSE,FALSE,NA
"42","2000-049",-89.8019855,39.93491457,"Quercus × faxonii","Quercus","×faxonii","","alba × prinoides","","A2","AA",1,"2000",FALSE,FALSE,FALSE,FALSE,NA
"43","2010-074",-89.80215825,39.93258205,"Quercus × fernowii","Quercus","×fernowii","","alba × stellata F2","","A6","OOOA",1,"2010",FALSE,FALSE,FALSE,FALSE,NA
"44","2010-075",-89.80178509,39.93275044,"Quercus × fernowii","Quercus","×fernowii","","alba × stellata F2","","A6","OOOA",1,"2010",FALSE,FALSE,FALSE,FALSE,NA
"45","2006-076",-89.80214249,39.93343843,"Quercus × guadalupensis","Quercus","×guadalupensis","","macrocarpa × stellata F2","","A5","OOA",1,"2006",FALSE,FALSE,FALSE,FALSE,NA
"46","2007-028",-89.8021259,39.93338789,"Quercus × guadalupensis","Quercus","×guadalupensis","","macrocarpa × stellata F2","","A5","OOA",2,"2007",FALSE,FALSE,FALSE,FALSE,NA
"47","2010-076",-89.80185986,39.93262849,"Quercus × guadalupensis","Quercus","×guadalupensis","","macrocarpa × stellata","","A6","OOOA",3,"2010",FALSE,FALSE,FALSE,FALSE,NA
"48","2004-065",-89.80235087,39.93351513,"Quercus × hawkinsiae","Quercus","×hawkinsiae","","rubra × velutina (m)","","A5","OOA",1,"2004",FALSE,FALSE,FALSE,FALSE,NA
"49","2001-019",-89.80094388,39.93408283,"Quercus × hawkinsiae","Quercus","×hawkinsiae","","rubra × velutina (m)","","C4","OC",1,"2001",FALSE,FALSE,FALSE,FALSE,NA
"50","1999-051",-89.80087548,39.93397571,"Quercus × hawkinsiae","Quercus","×hawkinsiae","","rubra × velutina (m)","","C4","OC",1,"1999",FALSE,FALSE,FALSE,FALSE,NA
"51","2016-017",-89.80157965,39.93211979,"Quercus × haynaldiana","Quercus","×haynaldiana"," 'Crisnetto'","robur × frainetto","","B7","OOOOB",1,"2016",FALSE,FALSE,FALSE,FALSE,NA
"52","2006-077",-89.80145945,39.93371227,"Quercus × haynaldiana","Quercus","×haynaldiana","","frainetto (f) × robur F1","","B4","OB",1,"2006",FALSE,FALSE,FALSE,FALSE,NA
"53","2015-014",-89.80130062,39.93220864,"Quercus × haynaldiana","Quercus","×haynaldiana","Crisnetto'","robur × frainetto","","B7","OOOOB",1,"2015",FALSE,FALSE,FALSE,FALSE,NA
"54","2010-077",-89.80123574,39.93280526,"Quercus × haynaldiana","Quercus","×haynaldiana","","frainetto (f) × robur F1","","B6","OOOB",3,"2010",FALSE,FALSE,FALSE,FALSE,NA
"55","2004-066",-89.80108872,39.93335864,"Quercus × haynaldiana","Quercus","×haynaldiana","","frainetto (f) × robur F1","","B5","OOB",2,"2004",FALSE,FALSE,FALSE,FALSE,NA
"56","2020-027",39.93186233,-89.80181125,"Quercus × hessiana","Quercus","×hessiana","","alba × lyrata","","","",1,"",FALSE,FALSE,FALSE,FALSE,NA
"57","2005-089",-89.80232086,39.93358268,"Quercus × heterophylla","Quercus","×heterophylla","","phellos × rubra F2","","A5","OOA",1,"2005",FALSE,FALSE,FALSE,FALSE,NA
"58","2004-067",-89.80220703,39.93352158,"Quercus × heterophylla","Quercus","×heterophylla","","phellos × rubra F2","","A5","OOA",1,"2004",FALSE,FALSE,FALSE,FALSE,NA
"59","2014-059",-89.80187947,39.93232741,"Quercus × heterophylla","Quercus","×heterophylla","","phellos × rubra F2","","A7","OOOOA",2,"2014",FALSE,FALSE,FALSE,FALSE,NA
"60","2003-015",-89.8014048,39.93340096,"Quercus × hickelii","Quercus","×hickelii","","robur × pontica","","B5","OOB",1,"2003",FALSE,FALSE,FALSE,FALSE,NA
"61","2004-068",-89.80138427,39.93344195,"Quercus × hickelii","Quercus","×hickelii","","robur × pontica","","B5","OOB",1,"2004",FALSE,FALSE,FALSE,FALSE,NA
"62","2018-012",-89.80090667,39.93433119,"Quercus × hispanica","Quercus","×hispanica","","cerris x suber","","B7","OOOOB",1,"2018",FALSE,FALSE,FALSE,FALSE,NA
"63","1983-029",-89.80231022,39.9351009,"Quercus × humidicola","Quercus","×humidicola","","lyrata (f) × bicolor F1","","A2","AA",1,"1983",FALSE,FALSE,FALSE,FALSE,NA
"64","2009-150",-89.8021,39.93286667,"Quercus × humidicola","Quercus","×humidicola","","lyrata (f) × bicolor F2","","A6","OOOA",2,"2009",FALSE,FALSE,FALSE,FALSE,NA
"65","2004-039",-89.80107456,39.93344933,"Quercus × humidicola","Quercus","×humidicola","","lyrata ×  bicolor F2","","B5","OOB",3,"2004",FALSE,FALSE,FALSE,FALSE,NA
"66","2001-020",-89.79845974,39.93587354,"Quercus × humidicola","Quercus","×humidicola","","lyrata (f) × bicolor F2","","F1","FFF",2,"2001",FALSE,FALSE,FALSE,FALSE,NA
"67","2021-010",39.93236,-89.8019,"Quercus × humidicola","Quercus","×humidicola","","bicolor × lyrata","","","",NA,"2021",FALSE,FALSE,FALSE,FALSE,NA
"68","2010-078",-89.80207192,39.93261147,"Quercus × introgressa","Quercus","×introgressa","","(muhlenbergii × prinoides) × bicolor F2","","A6","OOOA",1,"2010",FALSE,FALSE,FALSE,FALSE,NA
"69","2009-151",-89.8019223,39.93297449,"Quercus × introgressa","Quercus","×introgressa","","(muhlenbergii × prinoides) × bicolor F2","","A6","OOOA",1,"2009",FALSE,FALSE,FALSE,FALSE,NA
"70","2014-060",-89.80174134,39.93239606,"Quercus × introgressa","Quercus","×introgressa","","(muhlenbergii × prinoides) × bicolor F2","","A7","OOOOA",2,"2014",FALSE,FALSE,FALSE,FALSE,NA
"71","2004-069",-89.80231281,39.93348856,"Quercus × jackiana ","Quercus","×jackiana","","alba ×  bicolor F2","","A5","OOA",2,"2004",FALSE,FALSE,FALSE,FALSE,NA
"72","2018-013",-89.80194259,39.93200228,"Quercus × jackiana ","Quercus","×jackiana","","","","A7","OOOOA",3,"2018",FALSE,FALSE,FALSE,FALSE,NA
"73","2000-050",-89.79844348,39.93558881,"Quercus × jackiana ","Quercus","×jackiana","","alba ×  bicolor F2","","F1","FFF",2,"2000",FALSE,FALSE,FALSE,FALSE,NA
"74","1998-037",-89.79841649,39.93568579,"Quercus × jackiana ","Quercus","×jackiana","","alba ×  bicolor F2","","F1","FFF",1,"1998",FALSE,FALSE,FALSE,FALSE,NA
"75","2016-015",-89.80179079,39.93213538,"Quercus × leana","Quercus","×leana","","imbricaria × palustris","","A7","OOOOA",1,"2016",FALSE,FALSE,FALSE,FALSE,NA
"76","2009-152",-89.8017,39.9329,"Quercus × libanerris","Quercus","×libanerris","","libani × cerris F2","","A6","OOOA",1,"2009",FALSE,FALSE,FALSE,FALSE,NA
"77","2008-071",-89.80166667,39.93295,"Quercus × libanerris","Quercus","×libanerris","","libani × cerris F2 of 'Rotterdam'","","B6","OOOB",1,"2008",FALSE,FALSE,FALSE,FALSE,NA
"78","2020-028",39.93187193,-89.80128895,"Quercus × libanerris × cerris","Quercus","×libanerris","","libani × cerris","","","",2,"",FALSE,FALSE,FALSE,FALSE,NA
"79","2005-092",-89.80213554,39.93355678,"Quercus × mazei","Quercus","×mazei","","gambelii × macrocarpa F2","","A5","OOA",3,"2005",FALSE,FALSE,FALSE,FALSE,NA
"80","2005-091",-89.80211576,39.93360305,"Quercus × mazei","Quercus","×mazei","","gambelii × macrocarpa F2","","A5","OOA",2,"2005",FALSE,FALSE,FALSE,FALSE,NA
"81","2011-044",-89.80194099,39.93250494,"Quercus × mazei","Quercus","×mazei","","gambelii × macrocarpa F2","","A6","OOOA",4,"2011",FALSE,FALSE,FALSE,FALSE,NA
"82","2000-051",-89.80117824,39.9340566,"Quercus × mazei","Quercus","×mazei","","gambelii × macrocarpa F2","","B4","OB",1,"2000",FALSE,FALSE,FALSE,FALSE,NA
"83","2017-019",-89.80214023,39.93207185,"Quercus × megaleia","Quercus","×megaleia","","macrocarpa × lyrata","","A7","OOOOA",3,"2017",FALSE,FALSE,FALSE,FALSE,NA
"84","2015-015",-89.80211844,39.93213572,"Quercus × megaleia","Quercus","×megaleia","","macrocarpa × lyrata","","A7","OOOOA",1,"2015",FALSE,FALSE,FALSE,FALSE,NA
"85","2017-021",-89.80238339,39.93236303,"Quercus palmeri","Quercus","×neopalmeri","","shumardii × nigra","","A7","OOOOA",1,"2017",FALSE,FALSE,TRUE,FALSE,"intermediate_oak"
"86","2019-010",-89.80186,39.93197,"Quercus palmeri","Quercus","×neopalmeri","","phellos × shumardii","","A7","OOOOA",1,"2019",FALSE,FALSE,TRUE,FALSE,"intermediate_oak"
"87","2003-060",-89.801223,39.93355427,"Quercus × pseudodalechampii","Quercus","×pseudodalechampii","","dalechampii × robur F2","","B5","OOB",1,"2003",FALSE,FALSE,FALSE,FALSE,NA
"88","2012-014",-89.80208818,39.93239832,"Quercus × richardsonii","Quercus","×richardsonii","","laceyi × macrocarpa F2","","A7","OOOOA",1,"2012",FALSE,FALSE,FALSE,FALSE,NA
"89","2014-061",-89.80175936,39.93232548,"Quercus × richardsonii","Quercus","×richardsonii","","laceyi × macrocarpa F2","","A7","OOOOA",1,"2014",FALSE,FALSE,FALSE,FALSE,NA
"90","2008-069",-89.80173333,39.93546667,"Quercus × rosacea","Quercus","×rosacea "," 'Firecracker' ('Columna' F2)","petraea 'Muscaviensis' × robur 'Fastigiata' ","","B2","BB",3,"2008",FALSE,FALSE,FALSE,FALSE,NA
"91","2011-042",-89.8014281,39.93264374,"Quercus × rosacea","Quercus","×rosacea","","F2","","B6","OOOB",4,"2011",FALSE,FALSE,FALSE,FALSE,NA
"92","2013-101",-89.80131503,39.93232699,"Quercus × rosacea","Quercus","×rosacea","","F2","","B7","OOOOB",4,"2013",FALSE,FALSE,FALSE,FALSE,NA
"93","2000-052",-89.79846502,39.93582878,"Quercus × rosacea","Quercus","×rosacea","","robur × petraea","","F1","FFF",2,"2000",FALSE,FALSE,FALSE,FALSE,NA
"94","2020-013",39.93203698,-89.80155217,"Quercus × rosacea","Quercus","×rosacea","Controlled Burn'","","","","",1,"",FALSE,FALSE,FALSE,FALSE,NA
"95","2003-017",-89.80113231,39.93417436,"Quercus × runcinata","Quercus","×runcinata","","imbricaria × rubra F2","","B4","OB",2,"2003",FALSE,FALSE,FALSE,FALSE,NA
"96","2001-021",-89.80103818,39.93383582,"Quercus × runcinata","Quercus","×runcinata","","imbricaria × rubra F2","","B4","OB",2,"2001",FALSE,FALSE,FALSE,FALSE,NA
"97","2001-022",-89.80105285,39.93384177,"Quercus × sargentii","Quercus","×sargentii","","robur × montana","","B4","OB",2,"2001",FALSE,FALSE,FALSE,FALSE,NA
"98","2001-061",-89.79831666,39.93563541,"Quercus × sargentii × macrocarpa","Quercus","","","","","F1","FFF",1,"2001",FALSE,FALSE,FALSE,FALSE,NA
"99","1982-038",-89.80219857,39.93522319,"Quercus × saulii","Quercus","×saulii"," 'Montalba' or 'Atlas'","montana (f) × alba","","A2","AA",1,"1982",FALSE,FALSE,FALSE,FALSE,NA
"100","1996-045",-89.80102234,39.9341804,"Quercus × saulii","Quercus","×saulii","","montana (f) × alba 'Montalba' or 'Atlas'","","B4","OB",1,"1996",FALSE,FALSE,FALSE,FALSE,NA
"101","1994-017",-89.80235389,39.9352884,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa F2","","A2","AA",2,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak"
"102","1981-035",-89.80223503,39.93533375,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa","","A2","AA",1,"1981",FALSE,TRUE,FALSE,FALSE,"white_oak"
"103","2010-081",-89.80190679,39.93265321,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa F2","","A6","OOOA",6,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak"
"104","2017-",-89.8017001,39.93201946,"Quercus × schuettei","Quercus","×schuettei"," 'Silver Shadow'","bicolor × macrocarpa","","A7","OOOOA",1,"2017",FALSE,TRUE,FALSE,FALSE,"white_oak"
"105","2002-051",-89.79851958,39.9357976,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa","","F1","FFF",3,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak"
"106","2002-049",-89.79837768,39.93578218,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa F2","","F1","FFF",2,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak"
"107","2003-018",-89.79837458,39.93565268,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa F2","","F1","FFF",5,"2003",FALSE,TRUE,FALSE,FALSE,"white_oak"
"108","2004-071",-89.79828279,39.93575745,"Quercus × schuettei","Quercus","×schuettei","","bicolor × macrocarpa F2","","F1","FFF",2,"2004",FALSE,TRUE,FALSE,FALSE,"white_oak"
"109","2020-014",39.93195253,-89.80170112,"Quercus × schuettei","Quercus","×schuettei","","Kimberly' F2 'Jillian'","","","",1,"",FALSE,TRUE,FALSE,FALSE,"white_oak"
"110","1994-018",-89.80203847,39.93509478,"Quercus × sternbergii","Quercus","×sternbergii","","buckleyi × shumardii ","","A2","AA",2,"1994",FALSE,FALSE,FALSE,FALSE,NA
"111","2014-062",-89.80182909,39.9323741,"Quercus × sternbergii","Quercus","×sternbergii","","buckleyi × shumardii ","","A7","OOOOA",4,"2014",FALSE,FALSE,FALSE,FALSE,NA
"112","2000-053",-89.80085696,39.9340882,"Quercus × sternbergii","Quercus","×sternbergii","","buckleyi × shumardii ","","C4","OC",2,"2000",FALSE,FALSE,FALSE,FALSE,NA
"113","2011-032",-89.8005449,39.9347792,"Quercus × sternbergii","Quercus","×sternbergii","","buckleyi × shumardii ","","C3","C",3,"2011",FALSE,FALSE,FALSE,FALSE,NA
"114","2007-029",-89.80181795,39.93339149,"Quercus × streamii","Quercus","×streamii"," 'Lanze'","petraea × pubescens","","A5","OOA",1,"2007",FALSE,FALSE,FALSE,FALSE,NA
"115","2005-093",-89.80140715,39.93328664,"Quercus × streamii","Quercus","×streamii","","petraea × pubescens","","B5","OOB",1,"2005",FALSE,FALSE,FALSE,FALSE,NA
"116","2005-094",-89.80244282,39.93362878,"Quercus × substellata","Quercus","×substellata","","bicolor × stellata","","A5","OOA",2,"2005",FALSE,FALSE,FALSE,FALSE,NA
"117","2014-063",-89.80236403,39.93288464,"Quercus × substellata","Quercus","×substellata","","bicolor × stellata","","A6","OOOA",3,"2014",FALSE,FALSE,FALSE,FALSE,NA
"118","2006-078",-89.80218256,39.93322117,"Quercus × substellata","Quercus","×substellata","","bicolor × stellata","","A5","OOA",2,"2006",FALSE,FALSE,FALSE,FALSE,NA
"119","2012-096",-89.8021689,39.93241098,"Quercus × tottenii","Quercus","×tottenii","","lyrata × michauxii F2","","A7","OOOOA",1,"2012",FALSE,FALSE,FALSE,FALSE,NA
"120","2020-015",39.93184448,-89.80186633,"Quercus × tottenii","Quercus","×tottenii","","lyrata × michauxii F2","","","",2,"",FALSE,FALSE,FALSE,FALSE,NA
"121","1994-019",-89.80144,39.935704,"Quercus × turneri","Quercus","×turneri"," 'Pseudoturneri'","","","Oak Street","Oak Street",1,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak"
"122","2008-073",-89.80208333,39.93298333,"Quercus × undulata ","Quercus","×undulata","","","","A6","OOOA",3,"2008",FALSE,FALSE,FALSE,FALSE,NA
"123","1999-055",-89.80144,39.935704,"Quercus × undulata ","Quercus","×undulata","","","","Oak Street","Oak Street",1,"1999",FALSE,FALSE,FALSE,FALSE,NA
"124","2006-079",-89.80144,39.935704,"Quercus × undulata ","Quercus","×undulata","","","","Oak Street","Oak Street",1,"2006",FALSE,FALSE,FALSE,FALSE,NA
"125","2006-080",-89.80144,39.935704,"Quercus × undulata ","Quercus","×undulata","","","","Oak Street","Oak Street",1,"2006",FALSE,FALSE,FALSE,FALSE,NA
"126","2018-014",-89.80129056,39.93203404,"Quercus × undulata ","Quercus","×undulata","Toll Gate Canyon","","","B7","OOOOB",1,"2018",FALSE,FALSE,FALSE,FALSE,NA
"127","2005-095",-89.80069159,39.93523928,"Quercus × undulata ","Quercus","×undulata","","","","C2","CC",2,"2005",FALSE,FALSE,FALSE,FALSE,NA
"128","2004-072",-89.80145275,39.93354589,"Quercus × vilmoriniana ","Quercus","×vilmoriniana","","dentata (f) × petraea F2","","B5","OOB",2,"2004",FALSE,FALSE,FALSE,FALSE,NA
"129","2004-073",-89.80124823,39.93411611,"Quercus × vilmoriniana ","Quercus","×vilmoriniana","","dentata (f) × petraea","","B4","OB",1,"2004",FALSE,FALSE,FALSE,FALSE,NA
"130","2014-064",-89.80187142,39.93552335,"Quercus × warei","Quercus","×warei",""," 'Kindred Spirit' F2","","A1","AAA ",1,"2014",FALSE,FALSE,FALSE,FALSE,NA
"131","2012-070",-89.80185994,39.93553718,"Quercus × warei","Quercus","×warei"," 'Birthday Candle'","(robur 'Fastigiata' × bicolor) × alba ","","A1","AAA",2,"2012",FALSE,FALSE,FALSE,FALSE,NA
"132","2010-080",-89.80182541,39.93550197,"Quercus × warei","Quercus","×warei"," 'Windcandle'","robur fastigiata (f) × bicolor F2","","A1","AAA",2,"2010",FALSE,FALSE,FALSE,FALSE,NA
"133","2013-019",-89.80164872,39.93545696,"Quercus × warei","Quercus","×warei"," 'Riverbank'","robur fastigiata × bicolor","","B2","BB",1,"2013",FALSE,FALSE,FALSE,FALSE,NA
"134","2001-024",-89.80136667,39.93536667,"Quercus × warei","Quercus","×warei"," 'Birthday Candle'","(robur 'Fastigiata' × bicolor) × alba ","","B2","BB",1,"2001",FALSE,FALSE,FALSE,FALSE,NA
"135","1995-039",-89.80131667,39.93536667,"Quercus × warei","Quercus","×warei"," 'Windcandle'","robur fastigiata (f) × bicolor F2","","B2","BB",1,"1995",FALSE,FALSE,FALSE,FALSE,NA
"136","1998-038",-89.8013,39.93536667,"Quercus × warei","Quercus","×warei"," 'Long' TM-Regal Prince","robur fastigiata (f) × bicolor F2","","B2","BB",1,"1998",FALSE,FALSE,FALSE,FALSE,NA
"137","2001-025",-89.80115,39.93546667,"Quercus × warei","Quercus","×warei"," 'Chimney Fire'","(robur 'Fastigiata' × bicolor) × alba ","","B2","BB",1,"2001",FALSE,FALSE,FALSE,FALSE,NA
"138","1993-014",-89.80089242,39.93526812,"Quercus × warei","Quercus","×warei"," 'Nadler' TM-Kindred Spirit","robur fastigiata × bicolor","","C2","CC",1,"1993",FALSE,FALSE,FALSE,FALSE,NA
"139","2017-022",-89.80223461,39.93248818,"Quercus acerifolia","Quercus","acerifolia","","(× ellipsoidalis?)","","A6","OOOA",3,"2017",TRUE,FALSE,FALSE,FALSE,"red_oak"
"140","2001-026",-89.80032647,39.93604177,"Quercus acerifolia","Quercus","acerifolia","","","","C1","CCC",1,"2001",TRUE,FALSE,FALSE,FALSE,"red_oak"
"141","2011-078",-89.80144,39.935704,"Quercus acutifolia","Quercus","acutifolia","","","","Oak Street","Oak Street",1,"2011",TRUE,FALSE,FALSE,FALSE,"red_oak"
"142","2011-079",-89.80144,39.935704,"Quercus acutifolia","Quercus","acutifolia","","","","Oak Street","Oak Street",2,"2011",TRUE,FALSE,FALSE,FALSE,"red_oak"
"143","2016-091",-89.80144,39.935704,"Quercus acutifolia","Quercus","acutifolia","","","","Oak Street","Oak Street",2,"2016",TRUE,FALSE,FALSE,FALSE,"red_oak"
"144","2016-092",-89.80144,39.935704,"Quercus acutissima","Quercus","acutissima","","","","Oak Street","Oak Street",3,"2016",FALSE,FALSE,FALSE,TRUE,"cerris_oak"
"145","2018-015",-89.80125954,39.93196204,"Quercus acutissima","Quercus","acutissima","","","","B7","OOOOB",4,"2018",FALSE,FALSE,FALSE,TRUE,"cerris_oak"
