"","V1"
"Quercus alba",16
"bicolor × macrocarpa",1
"Quercus muehlenbergii  × laceyi",1
"Quercus × alba × macrocarpa",1
"Quercus × beadlei ",2
"Quercus × bebbiana",16
"Quercus × bimundorum",2
"Quercus × bushii",3
"Quercus × calvescens",1
"Quercus × carrisoana",2
"Quercus × comptoniae",2
"Quercus × deamii",7
"Quercus × egglestonii",1
"Quercus × exacta",1
"Quercus × faxonii",1
"Quercus × fernowii",2
"Quercus × guadalupensis",3
"Quercus × hawkinsiae",3
"Quercus × haynaldiana",5
"Quercus × hessiana",1
"Quercus × heterophylla",3
"Quercus × hickelii",2
"Quercus × hispanica",1
"Quercus × humidicola",5
"Quercus × introgressa",3
"Quercus × jackiana ",4
"Quercus × leana",1
"Quercus × libanerris",2
"Quercus × libanerris × cerris",1
"Quercus × mazei",4
"Quercus × megaleia",2
"Quercus palmeri",2
"Quercus × pseudodalechampii",1
"Quercus × richardsonii",2
"Quercus × rosacea",5
"Quercus × runcinata",2
"Quercus × sargentii",1
"Quercus × sargentii × macrocarpa",1
"Quercus × saulii",2
"Quercus × schuettei",9
"Quercus × sternbergii",4
"Quercus × streamii",2
"Quercus × substellata",3
"Quercus × tottenii",2
"Quercus × turneri",1
"Quercus × undulata ",6
"Quercus × vilmoriniana ",2
"Quercus × warei",9
"Quercus acerifolia",2
"Quercus acutifolia",3
"Quercus acutissima",2
"Quercus aliena",5
"Quercus arizonica",1
"Quercus arkansana",4
"Quercus austrina",4
"Quercus baronii",2
"Quercus bicolor",3
"Quercus bicolor × muehlenbergii",3
"Quercus boyntonii",2
"Quercus brantii",2
"Quercus buckleyi",5
"Quercus calliprinos",1
"Quercus canariensis",3
"Quercus canbyi",4
"Quercus castaneifolia",6
"Quercus cerris",6
"Quercus chapmanii",1
"Quercus chenii",1
"Quercus coccifera",1
"Quercus coccinea",3
"Quercus corrugata",3
"Quercus crassipes",1
"Quercus crispula",2
"Quercus dalechampii",1
"Quercus dentata",6
"Quercus ellipsoidalis",5
"Quercus fabrei",2
"Quercus faginea",6
"Quercus falcata",3
"Quercus frainetto",4
"Quercus fusiformis",2
"Quercus gambelii",3
"Quercus geminata",1
"Quercus georgiana",2
"Quercus georgiana × coccinea",1
"Quercus germana",2
"Quercus glauca",3
"Quercus graciliformis",3
"Quercus gravesii",4
"Quercus griffithii",2
"Quercus grisea",2
"Quercus haas",6
"Quercus hartwissiana",1
"Quercus havardii",1
"Quercus hirtifolia",1
"Quercus pyrenaica × robur",1
"Quercus alba ×  lyrata",1
"Quercus oglethorpensis × stellata",1
"Quercus laceyi × stellata",1
"Quercus coccinea × falcata",1
"Quercus michauxii × macrocarpa",2
"Quercus muehlenbergii × stellata",2
"Quercus coccinea × pagoda",1
"Quercus prinoides × virginiana",1
"Quercus turbinella x macrocarpa",1
"Quercus austrina × stellata",1
"Quercus rubra × ",1
"Quercus alba × muehlenbergii",1
"Quercus bicolor × muhlenbergii",1
"Quercus alba × lyrata",1
"Quercus macrocarpa × virginiana",1
"Quercus robur",36
"Quercus palustris × shumardii",1
"Quercus nuttallii × rubra x shumardii",1
"Quercus nuttallii × rubra",1
"Quercus buckleyi × marilandica",1
"Quercus petraea × macranthera",1
"Quercus petraea × robur",1
"Quercus frainetto × macranthera",1
"Quercus cerrioides  × faginea",1
"Quercus buckleyi ×  gravesii",1
"Quercus fusiformis × virginiana",1
"Quercus rysophylla × buckleyi",1
"Quercus rysophylla × nigra",1
"Quercus arkansana × falcata",1
"Quercus macranthera × robur ",1
"Quercus castaneifolia × libani",1
"Quercus ellipsoidalis × rubra",2
"Quercus georgiana × nigra",3
"Quercus nigra × coccinea",1
"Quercus macranthera × petraea",1
"Quercus robur x alba",2
"Quercus sargentii × macrocarpa",1
"Quercus prinoides × muehlenbergii",2
"Quercus schuettei × macrocarpa",1
"Quercus nuttallii × nigra",1
"Quercus ilex",2
"Quercus incana",3
"Quercus infectoria",2
"Quercus kelloggii",1
"Quercus laceyi",3
"Quercus libani",6
"Quercus lobata",1
"Quercus lyrata",4
"Quercus macranthera",8
"Quercus macrocarpa",112
"Quercus macrolepis",1
"Quercus margaretta",3
"Quercus marilandica",4
"Quercus mexicana",1
"Quercus michauxii",6
"Quercus minima",2
"Quercus mohriana",3
"Quercus mongolica",2
"Quercus montana",3
"Quercus muehlenbergii",10
"Quercus multinervis",2
"Quercus myrtifolia",2
"Quercus nuttallii",6
"Quercus oglethorpensis",2
"Quercus oleoides",1
"Quercus pagoda",3
"Quercus palustris",3
"Quercus pedunculiflora",4
"Quercus petraea",13
"Quercus phellos",3
"Quercus phillyreiodes",3
"Quercus polycarpa",1
"Quercus polymorpha",2
"Quercus prinoides",9
"Quercus pubescens",9
"Quercus pumila",1
"Quercus pungens",3
"Quercus pyrenaica",6
"Quercus resinosa",1
"Quercus rhysophylla",1
"Quercus robur × macrocarpa",1
"Quercus rubra",6
"Quercus serrata",5
"Quercus shumardii",11
"Quercus sinuata",11
"Quercus stellata",7
"Quercus tristis ",1
"Quercus trojana",1
"Quercus trojana ",3
"Quercus turbinella",1
"Quercus variabilis",3
"Quercus vaseyana",2
"Quercus velutina",5
"Quercus virgiliana",4
"Quercus virginiana",1
"Quercus vulcanica",1
"Quercus wutaishanica",1
"Quercus yiwuensis",1
"Quercus yunnanensis",1
