"Starhill_Accession_number","Longitude","Latitude","Species_Name","Genus","Species","Subspecific","Parentage","Year_Died","New_Compartment","Old_Compartment","Lot","Year_Outplanted","red_oak_t","white_oak_t","intermediate_oaks_t","cerris_oaks_t","Section","limit_names"
"2017-029",-89.80231097,39.93228089,"Quercus shumardii","Quercus","shumardii","","","","A7","OOOOA",11,"2017",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2005-083",-89.8022844,39.93346014,"Quercus shumardii","Quercus","shumardii","","","","A5","OOA",5,"2005",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2012-018",-89.80223218,39.93267216,"Quercus shumardii","Quercus","shumardii","""Narrow Acorn""","","","A6","OOOA",10,"2012",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"1981-031",-89.80222221,39.93516301,"Quercus shumardii","Quercus","shumardii","","","","A2","AA",1,"1981",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"1981-032",-89.80221123,39.93522235,"Quercus shumardii","Quercus","shumardii","","","","A2","AA",2,"1981",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2010-118",-89.80220544,39.93262673,"Quercus shumardii","Quercus","shumardii","","","","A6","OOOA",9,"2010",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2009-190",-89.80191667,39.93288333,"Quercus shumardii","Quercus","shumardii","","","","A6","OOOA",7,"2009",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"1999-042",-89.80087381,39.93403078,"Quercus shumardii","Quercus","shumardii","","","","C4","OC",3,"1999",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2003-055",-89.80032806,39.93497634,"Quercus shumardii","Quercus","shumardii","","","","C2","CC",4,"2003",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2004-059",-89.80030803,39.93481306,"Quercus shumardii","Quercus","shumardii","","","","C3","C",4,"2004",TRUE,FALSE,FALSE,FALSE,"red_oak",TRUE
"2017-030",-89.80238188,39.93224812,"Quercus sinuata","Quercus","sinuata","","","","A7","OOOOA",4,"2017",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2005-085",-89.80226864,39.93327431,"Quercus sinuata","Quercus","sinuata","sinuata","","","A5","OOA",3,"2005",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-191",-89.8022,39.93276667,"Quercus sinuata","Quercus","sinuata","breviloba","","","A6","OOOA",2,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2005-084",-89.8021948,39.93328311,"Quercus sinuata","Quercus","sinuata","sinuata","","","A5","OOA",2,"2005",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-192",-89.80211667,39.93275,"Quercus sinuata","Quercus","sinuata","breviloba","","","A6","OOOA",3,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2010-120",-89.8020109,39.93269806,"Quercus sinuata","Quercus","sinuata","","","","A6","OOOA",3,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2010-119",-89.8019021,39.93278238,"Quercus sinuata","Quercus","sinuata","breviloba","","","A6","OOOA",4,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-032",-89.80184636,39.93221216,"Quercus sinuata","Quercus","sinuata","breviloba","?","","A7","OOOOA",5,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-031",-89.80181434,39.93217905,"Quercus sinuata","Quercus","sinuata","breviloba","?","","A7","OOOOA",5,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-033",-89.80181174,39.9322135,"Quercus sinuata","Quercus","sinuata","breviloba","?","","A7","OOOOA",5,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2002-045",-89.80130179,39.93389692,"Quercus sinuata","Quercus","sinuata","breviloba","","","B4","OB",1,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
