"","V1"
"Quercus lobata",NA
"Quercus kelloggii",NA
"Quercus chrysolepis",NA
"Quercus virginiana",NA
"Quercus agrifolia",NA
"Quercus douglasii",NA
"Quercus engelmannii",NA
"Quercus turbinella",NA
"Quercus palmeri",NA
"Quercus grisea",NA
"Quercus aff. arizonica",NA
"Quercus laceyi",NA
"Quercus wislizeni",NA
"Quercus durata",NA
"Quercus tomentella",NA
"Quercus garryana",NA
"Quercus berberidifolia",NA
"Quercus acutissima",NA
"Quercus ithaburensis",NA
"Quercus canariensis × Quercus robur",NA
"Quercus robur",NA
"Quercus suber",NA
"Quercus macrocarpa",NA
"Quercus gambelii",NA
"Quercus pungens",NA
"Quercus vaseyana",NA
"Quercus muehlenbergii",NA
"Quercus margaretta",NA
"Quercus trojana",NA
"Quercus sinuata",NA
"Quercus myrsinifolia",NA
"Quercus alba",NA
"Quercus petraea",NA
"Quercus kelloggii × wislizeni",NA
"Quercus infectoria",NA
"Quercus coccifera",NA
"Quercus canariensis × robur",NA
"Quercus cerris",NA
"Quercus rotundifolia",NA
"Quercus castaneifolia × cerris",NA
"Quercus ilex",NA
"Quercus lobata × douglasii",NA
"Quercus rugosa",NA
"Quercus lobata × cornelius-mulleri",NA
"Quercus prinoides",NA
"Quercus brandegeei",NA
"Quercus × acutidens",NA
"Quercus macrocarpa × gambelii",NA
"Quercus turbinella × stellata",NA
"Quercus robur × macrocarpa",NA
"Quercus turbinella × garryana",NA
"Quercus macrocarpa × lobata",NA
"Quercus turbinella × gambelii",NA
"Quercus turbinella × suber",NA
"Quercus gambelii × sp.",NA
"Quercus mexicana",NA
"Quercus obtusata",NA
"Quercus diversifolia",NA
"Quercus oleoides",NA
"Quercus crassifolia",NA
"Quercus greggii",NA
"Quercus crassipes",NA
"Quercus gambelii × macrocarpa",NA
"Quercus gambelii × mongolica",NA
"Quercus gambelii × robur",NA
"Quercus robur × lobata",NA
"Quercus robur × mongolica",NA
"Quercus robur × turbinella",NA
"Quercus turbinella × lobata",NA
"Quercus turbinella × virginiana",NA
"Quercus gambelii × gambelii × havardii",NA
"Quercus macrocarpa × macrocarpa × turbinella",NA
"Quercus robur × macrocarpa × turbinella",NA
"Quercus faginea",NA
"Quercus macrocarpa × turbinella",NA
"Quercus gravesii",NA
"Quercus candicans",NA
"Quercus castaneifolia",NA
"Quercus × hispanica",NA
"Quercus buckleyi",NA
"Quercus fusiformis",NA
"Quercus phillyreoides",NA
"Quercus undulata",NA
"Quercus germana",NA
"Quercus corrugata",NA
"Quercus pubescens",NA
"Quercus turbinella × sp.",NA
"Quercus emoryi",NA
"Quercus gambelii × rugosa",NA
"Quercus oblongifolia",NA
"Quercus rugosa × lobata",NA
"Quercus rugosa × lobata?",NA
"Quercus john-tuckeri",NA
"Quercus dumosa",NA
"Quercus schottkyana",NA
"Quercus variabilis",NA
"Quercus graciliformis × gravesii",NA
"Quercus robusta",NA
"Quercus canbyi",NA
"Quercus frainetto",NA
"Quercus havardii",NA
"Quercus marilandica",NA
"Quercus mohriana",NA
"Quercus stellata",NA
"Quercus robur × robur",NA
"Quercus peduncularis",NA
"Quercus arizonica",NA
"Quercus parvula",NA
"Quercus × macdonaldii",10
