"","V1"
"Quercus",3
"Quercus alba",571
"Quercus arizonica",10
"Quercus bicolor",161
"Quercus dentata",12
"Quercus ellipsoidalis",76
"Quercus gambelii",11
"Quercus imbricaria",36
"Quercus × macdanielii",16
"Quercus macrocarpa",280
"Quercus marilandica",11
"Quercus mongolica",26
"Quercus montana",19
"Quercus muehlenbergii",57
"Quercus oglethorpensis",24
"Quercus palustris",76
"Quercus petraea",11
"Quercus prinoides",23
"Quercus robur ",20
"Quercus robur",1
"Quercus rubra",224
"Quercus shumardii",32
"Quercus sinuata",10
"Quercus × warei",14
