Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0020,12,UHA-0261,12,12,0,10.23,UHA-0260,12,12,0,18,14.86,*,12,0,20.42,20.42,*
UHA-0021,12,UHA-0261,12,12,1,5.58,UHA-0260,12,12,1,11.99,7.48,*,12,1,16.95,16.95,*
UHA-0022,12,UHA-0261,12,12,1,3.79,UHA-0257,12,12,0,8.94,8.94,*,12,1,11.85,7.32,*
UHA-0023,10,UHA-0261,12,10,0,5.36,UHA-0260,12,10,0,9.99,5.16,*,10,0,10.66,10.66,*
UHA-0025,12,UHA-0261,12,12,0,10.36,UHA-0258,11,11,1,5.81,5.81,*,11,1,7.9,7.9,*
UHA-0026,11,UHA-0261,12,11,0,9.9,UHA-0016,10,9,0,2.66,0,,9,2,-2.69,0,
UHA-0027,12,UHA-0261,12,12,0,8.03,UHA-0257,12,12,0,10.32,9.75,*,12,0,14.23,14.23,*
UHA-0028,12,UHA-0261,12,12,1,6.48,UHA-0257,12,12,0,6.54,4.61,*,12,2,6.18,6.18,*
UHA-0029,12,UHA-0261,12,12,0,7.95,UHA-0257,12,12,0,8.76,8.76,*,12,0,13.38,13.38,*
UHA-0039,12,UHA-0261,12,12,0,13.58,UHA-0010,11,11,0,8.09,4.81,*,11,0,8.06,4.33,*
UHA-0043,10,UHA-0260,12,10,0,5.66,UHA-0261,12,10,0,6.1,5.45,*,10,1,4.84,4.84,*
UHA-0045,12,UHA-0260,12,12,0,12.64,UHA-0016,10,10,1,-0.45,0,,10,2,-2.39,0,
UHA-0047,12,UHA-0260,12,12,0,9.22,UHA-0271,12,12,2,-2.85,0,,12,2,-1.54,0,
UHA-0052,12,UHA-0260,12,12,0,15.08,UHA-0266,11,11,3,-6.06,0,,11,3,-4.84,0,
UHA-0056,11,UHA-0260,12,11,0,5.78,UHA-0258,11,10,0,8.52,6.58,*,10,0,9.96,9.96,*
UHA-0068,11,UHA-0014,12,11,0,6.01,UHA-0264,12,11,0,8.27,1.4,*,11,0,10.45,2.49,*
UHA-0070,12,UHA-0014,12,12,0,9.83,UHA-0262,12,12,0,10.28,0.39,*,12,0,10.31,0.67,*
UHA-0071,11,UHA-0014,12,11,0,7.24,UHA-0266,11,11,0,9.62,3.09,*,11,0,11.84,11.84,*
UHA-0075,11,UHA-0014,12,11,0,8.26,UHA-0264,12,11,2,-3.22,0,,11,2,-1.27,0,
UHA-0077,12,UHA-0014,12,12,0,8.86,UHA-0263,12,12,0,8.53,0,,12,1,4.05,1.25,*
UHA-0079,12,UHA-0014,12,12,0,11.88,UHA-0267,12,12,0,12.31,1.4,*,12,0,12.26,0.69,*
UHA-0080,11,UHA-0014,12,11,0,6.83,UHA-0265,12,11,0,9.3,1.79,*,11,1,8.15,8.15,*
UHA-0081,11,UHA-0014,12,11,0,10.13,UHA-0262,12,11,0,10,1.05,*,11,0,10,0.68,*
UHA-0091,12,UHA-0014,12,12,2,-4.73,UHA-0266,11,11,2,-2.82,0,,11,3,2.95,2.95,*
UHA-0098,12,UHA-0257,12,12,0,8.76,UHA-0260,12,12,0,9.09,5.63,*,12,0,13.11,8.04,*
UHA-0099,12,UHA-0257,12,12,0,10.98,UHA-0258,11,11,0,10,10,*,11,0,11.21,11.21,*
UHA-0101,11,UHA-0257,12,11,0,8.11,UHA-0260,12,11,1,3.5,3.5,*,11,2,1.71,1.71,*
UHA-0105,11,UHA-0257,12,11,0,10.56,UHA-0258,11,11,0,9.98,9.98,*,11,1,8.05,8.05,*
UHA-0106,12,UHA-0257,12,12,0,10.91,UHA-0010,11,11,0,4.97,3.23,*,11,0,8.85,3.52,*
UHA-0109,12,UHA-0257,12,12,0,9.84,UHA-0261,12,12,0,8.67,8.67,*,12,0,13.03,13.03,*
UHA-0111,12,UHA-0257,12,12,0,8.38,UHA-0258,11,11,1,5.99,0.14,*,11,3,-2.32,0,
