Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0112,11,UHA-0257,12,11,5,-17.72,UHA-0265,12,11,0,9.98,1.8,*,11,6,3.71,0.54,*
UHA-0113,12,UHA-0257,12,12,3,-4.98,UHA-0260,12,12,2,-3.32,0,,12,3,4.59,2.99,*
UHA-0114,12,UHA-0257,12,12,0,11.27,UHA-0260,12,12,2,-1.59,0,,12,2,-0.38,0,
UHA-0123,12,UHA-0010,11,11,1,1.63,UHA-0259,11,11,0,7.69,7.38,*,11,3,1.74,1.74,*
UHA-0124,12,UHA-0010,11,11,0,7.54,UHA-0259,11,11,1,2.4,0,,11,1,3.68,3.68,*
UHA-0125,12,UHA-0010,11,11,0,6.66,UHA-0261,12,12,0,8.75,1.47,*,12,2,0.47,0.17,*
UHA-0128,12,UHA-0010,11,11,0,6.54,UHA-0259,11,11,2,-1.59,0,,11,3,-4.62,0,
UHA-0129,11,UHA-0010,11,11,0,5.09,UHA-0333,12,11,1,2.7,0,,11,1,6.04,0.53,*
UHA-0130,12,UHA-0010,11,11,0,7.84,UHA-0259,11,11,1,1.73,0,,11,1,4.09,4.09,*
UHA-0131,12,UHA-0010,11,11,0,7.17,UHA-0016,10,10,0,4.99,0.62,*,10,1,2.38,2.38,*
UHA-0132,12,UHA-0010,11,11,0,7.51,UHA-0263,12,12,0,8.63,2.13,*,12,3,-2.34,0,
UHA-0133,12,UHA-0010,11,11,0,7.83,UHA-0263,12,12,0,9.82,4.93,*,12,2,1.83,1.83,*
UHA-0137,12,UHA-0010,11,11,0,7.84,UHA-0259,11,11,1,1.73,0,,11,1,4.09,4.09,*
UHA-0138,12,UHA-0010,11,11,0,5.9,UHA-0267,12,12,1,1.42,0,,12,3,-5.84,0,
UHA-0139,12,UHA-0010,11,11,1,0.89,UHA-0260,12,12,2,-2.36,0,,12,5,-10.16,0,
UHA-0140,12,UHA-0010,11,11,0,6.78,UHA-0260,12,12,1,4.18,0,,12,2,0.2,0.2,*
UHA-0141,12,UHA-0010,11,11,0,6.03,UHA-0257,12,12,3,-6.37,0,,12,3,-4.1,0,
UHA-0142,12,UHA-0010,11,11,0,5.88,UHA-0257,12,12,2,-1.2,0,,12,2,0.57,0.57,*
UHA-0143,12,UHA-0010,11,11,0,7.81,UHA-0259,11,11,1,2.7,0,,11,1,5.58,5.58,*
UHA-0144,11,UHA-0010,11,11,0,7.14,UHA-0259,11,11,1,3.75,1.78,*,11,1,6.34,6.34,*
UHA-0146,10,UHA-0010,11,9,0,6.35,UHA-0259,11,9,0,6.18,4.42,*,9,0,8.79,8.79,*
UHA-0148,12,UHA-0012,12,12,1,4.55,UHA-0210,11,11,2,-1.69,0,,11,4,-6.41,0,
UHA-0150,12,UHA-0012,12,12,0,7.92,UHA-0266,11,11,0,9.6,9.6,*,11,0,12.18,12.18,*
UHA-0151,11,UHA-0012,12,11,0,10.44,UHA-0264,12,11,2,-3.18,0,,11,3,-6.28,0,
UHA-0152,12,UHA-0012,12,12,0,6.65,UHA-0260,12,12,0,9.87,7.39,*,12,0,13.29,13.29,*
UHA-0153,12,UHA-0012,12,12,0,10.8,UHA-0260,12,12,1,4.54,4.54,*,12,1,7.31,7.31,*
UHA-0154,12,UHA-0012,12,12,1,2,UHA-0258,11,11,2,-1.97,0,,11,2,3.35,0.34,*
UHA-0155,12,UHA-0012,12,12,0,7.84,UHA-0257,12,12,0,7.73,3.97,*,12,1,7.4,7.4,*
UHA-0156,11,UHA-0012,12,11,1,0.97,UHA-0269,12,11,3,-8.93,0,,11,5,-11.5,0,
UHA-0157,12,UHA-0012,12,12,0,8.52,UHA-0258,11,11,0,9.31,9.31,*,11,0,13.19,12.86,*
UHA-0158,12,UHA-0012,12,12,0,6.54,UHA-0267,12,12,2,-1,0,,12,3,-3.03,0,
UHA-0159,12,UHA-0012,12,12,0,7.9,UHA-0260,12,12,0,8.63,6.05,*,12,0,11.81,7.13,*
UHA-0160,12,UHA-0012,12,12,0,9.44,UHA-0257,12,12,0,9.47,7.45,*,12,0,13.77,13.77,*
UHA-0161,12,UHA-0012,12,12,0,7.93,UHA-0260,12,12,0,8.96,7.56,*,12,0,12.38,12.38,*
UHA-0162,11,UHA-0012,12,11,0,5.09,UHA-0177,12,11,0,12.05,9.14,*,11,0,16.3,15.53,*
UHA-0163,12,UHA-0012,12,12,1,5.5,UHA-0258,11,11,1,3.37,3.37,*,11,2,5.5,5.5,*
UHA-0164,11,UHA-0016,10,9,0,8.98,UHA-0264,12,11,0,12.58,9.58,*,11,1,6.1,1.13,*
UHA-0165,11,UHA-0016,10,9,0,5.41,UHA-0266,11,11,1,3.36,0,,11,1,4.13,4.13,*
UHA-0167,10,UHA-0016,10,9,2,-6.74,UHA-0267,12,10,0,7.48,0.71,*,10,4,1.43,0.33,*
