Tissue_ID,MT_ID,Accession_Number,PO,Species,Date,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0238,,537-82*14,P,Quercus macrocarpa,5/31/2023,-88.06646,41.81765,53.5,53.5,0,0,0,
UHA-0239,,537-82*2,P,Quercus macrocarpa,6/1/2023,-88.066492,41.814429,42.1,42.1,0,0,0,
UHA-0240,,537-82*3,P,Quercus macrocarpa,6/1/2023,-88.066813,41.814478,54.2,54.2,0,0,0,
UHA-0241,,54-2007*3,P,Quercus macrocarpa,5/31/2023,-88.070338,41.815844,18.8,18.8,0,0,0,
UHA-0242,,548-82*2,P,Quercus macrocarpa,6/1/2023,-88.065516,41.814031,37.2,37.2,0,0,0,
UHA-0243,,548-82*4,P,Quercus macrocarpa,6/1/2023,-88.065452,41.814057,40.3,40.3,0,0,0,
UHA-0244,,548-82*5,P,Quercus macrocarpa,6/1/2023,-88.065456,41.814153,33.5,33.5,0,0,0,
UHA-0245,,582-2004*1,P,Quercus macrocarpa,6/8/2023,-88.070533,41.815609,38,38,0,0,0,
UHA-0246,,582-2004*3,P,Quercus macrocarpa,5/31/2023,-88.070591,41.815934,29.6,29.6,0,0,0,
UHA-0247,,582-2004*4,P,Quercus macrocarpa,5/31/2023,-88.070395,41.815801,29.8,29.8,0,0,0,
UHA-0248,,539-96*8,P,Quercus michauxii,6/7/2023,-88.063309,41.814221,0,0,0,0,0,Stump of tree found July 2024
UHA-0249,,539-96*9,P,Quercus michauxii,6/7/2023,-88.063408,41.814304,31.4,31.4,0,0,0,
UHA-0251,,333-94*9,P,Quercus mongolica,6/1/2023,-88.068722,41.813274,15.73333333,18.2,12.4,16.6,0,"Three main trunks, diameter of the base: 30.5"
UHA-0252,,343-94*6,P,Quercus mongolica,6/1/2023,-88.068983,41.813863,24.8,24.8,0,0,0,
UHA-0254,,207-40*1,P,Quercus montana,5/31/2023,-88.069208,41.816087,43.4,43.4,0,0,0,
UHA-0255,,207-40*5,P,Quercus montana,6/8/2023,-88.067914,41.816271,49.1,49.1,0,0,0,
UHA-0256,,474-2001*1,P,Quercus muehlenbergii,6/1/2023,-88.065297,41.814547,29.5,29.5,0,0,0,
UHA-0257,MT8,549-82*4,P,Quercus muehlenbergii,6/1/2023,-88.06577,41.814038,68.2,68.2,0,0,0,
UHA-0258,,549-82*6,P,Quercus muehlenbergii,6/1/2023,-88.06581,41.814109,39.2,39.2,0,0,0,
UHA-0259,,550-82*6,P,Quercus muehlenbergii,5/31/2023,-88.066622,41.817259,54.5,54.5,0,0,0,
UHA-0260,MT9,570-78*1,P,Quercus muehlenbergii,6/1/2023,-88.066314,41.813805,66.6,66.6,0,0,0,
UHA-0261,MT10,570-78*3,P,Quercus muehlenbergii,6/1/2023,-88.066218,41.813887,50.6,50.6,0,0,0,
UHA-0262,,704-46*10,P,Quercus muehlenbergii,6/1/2023,-88.064,41.811708,58.5,58.5,0,0,0,
UHA-0263,,704-46*11,P,Quercus muehlenbergii,6/1/2023,-88.063389,41.811663,61.1,61.1,0,0,0,
UHA-0264,,704-46*15,P,Quercus muehlenbergii,6/1/2023,-88.063301,41.811734,46.9,46.9,0,0,0,
UHA-0265,,704-46*16,P,Quercus muehlenbergii,6/1/2023,-88.063121,41.811813,52.5,52.5,0,0,0,
UHA-0266,,704-46*17,P,Quercus muehlenbergii,6/1/2023,-88.063221,41.811843,34.65,74.5,32.2,15.1,16.8,Four main trunks
