Tissue ID,Accession_Number,PO,Species,Date of Collection,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0088,704-46*13-0022,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0089,704-46*13-0023,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0090,704-46*13-0024,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0091,704-46*13-0025,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0092,704-46*12-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0093,704-46*12-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0094,704-46*12-0003,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0095,704-46*12-0004,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0096,704-46*12-0005,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0097,704-46*12-0006,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0098,549-82*4-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0099,549-82*4-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0100,549-82*4-0003,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0101,549-82*4-0004,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0102,549-82*4-0005,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0103,549-82*4-0006,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0104,549-82*4-0007,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0105,549-82*4-0008,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0106,549-82*4-0009,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0107,549-82*4-0010,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0108,549-82*4-0011,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0109,549-82*4-0012,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0110,549-82*4-0013,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0111,549-82*4-0014,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0112,549-82*4-0015,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0113,549-82*4-0016,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0114,549-82*4-0017,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0115,549-82*5-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0116,549-82*5-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0117,549-82*5-0003,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0118,549-82*5-0004,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
