"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"114",114,"UHA-0155",9,0.000532,3.31e-06,"UHA-0012",9,9,0,8.86,"UHA-0257",9,9,0,7.62,7.62,"*",9,0,12.5,12.5,"*"
"116",116,"UHA-0157",9,0.000358,9.81e-06,"UHA-0012",9,9,0,9.21,"UHA-0258",9,9,1,2.72,2.72,"+",9,1,5.68,5.68,"*"
"118",118,"UHA-0159",9,0.000592,0.00014,"UHA-0012",9,9,1,2.2,"UHA-0260",9,9,0,7.08,7.08,"*",9,1,9.47,8.21,"*"
"119",119,"UHA-0160",9,0.000315,5.15e-06,"UHA-0012",9,9,0,10.8,"UHA-0257",9,9,0,7.13,7.13,"*",9,0,12,12,"*"
"120",120,"UHA-0161",9,0.00079,4.99e-06,"UHA-0012",9,9,0,8.79,"UHA-0260",9,9,1,3.97,1.72,"+",9,1,7.8,7.24,"*"
"122",122,"UHA-0427",9,0.000257,5.26e-07,"UHA-0015",9,9,0,7.76,"UHA-0260",9,9,1,6.75,3.04,"+",9,1,8.74,8.74,"*"
"123",123,"UHA-0428",9,0.00024,5.66e-06,"UHA-0015",9,9,0,8.01,"UHA-0266",9,9,2,-1.25,0,"",9,2,0.125,0.125,"-"
"124",124,"UHA-0429",9,0.000214,9.13e-06,"UHA-0012",9,9,0,11.3,"UHA-0258",9,9,0,8.09,8.09,"*",9,0,12.3,12.3,"*"
"125",125,"UHA-0430",9,0.000221,1.14e-06,"UHA-0012",9,9,0,8.15,"UHA-0260",9,9,1,1.8,1.1,"-",9,1,5.21,5.21,"*"
"126",126,"UHA-0431",9,5.25e-05,6.37e-07,"UHA-0012",9,9,0,13.4,"UHA-0260",9,9,1,2.41,2.41,"+",9,1,5.84,5.84,"*"
"127",127,"UHA-0432",9,0.000528,2.09e-06,"UHA-0012",9,9,0,6.07,"UHA-0258",9,9,1,3.81,0,"",9,1,7.25,7.25,"*"
"128",128,"UHA-0433",9,0.00197,2.14e-05,"UHA-0012",9,9,0,5.89,"UHA-0258",9,9,1,2.4,1.31,"-",9,1,5.18,5.18,"*"
"131",131,"UHA-0436",9,0.000405,8.01e-06,"UHA-0010",9,9,0,9.52,"UHA-0259",9,9,1,3.34,0,"",9,1,6.77,6.77,"*"
"132",132,"UHA-0437",9,0.00052,0.000366,"UHA-0010",9,9,1,3.39,"UHA-0259",9,9,1,2.42,0,"",9,2,4.77,4.06,"*"
"133",133,"UHA-0438",9,0.000294,5.66e-05,"UHA-0010",9,9,1,1.6,"UHA-0259",9,9,2,-2.1,0,"",9,2,4.43,3.42,"*"
"134",134,"UHA-0439",9,6.56e-05,3e-05,"UHA-0010",9,9,1,3.84,"UHA-0260",9,9,0,10.8,10.8,"*",9,1,11.2,8.72,"*"
"135",135,"UHA-0440",9,0.00089,4.28e-06,"UHA-0260",9,9,0,8.61,"UHA-0351",9,9,1,3.73,0.939,"-",9,1,7.01,7.01,"*"
"136",136,"UHA-0441",9,0.000362,1.43e-06,"UHA-0260",9,9,0,6.88,"UHA-0261",9,9,0,12.5,9.12,"*",9,0,14.5,14.5,"*"
"137",137,"UHA-0442",9,0.000292,4.88e-06,"UHA-0260",9,9,0,10.7,"UHA-0261",9,9,1,4.2,1.49,"+",9,1,5.51,4.98,"*"
"138",138,"UHA-0443",9,0.00103,5.07e-05,"UHA-0260",9,9,1,3.58,"UHA-0257",9,9,0,7.28,7.28,"*",9,1,10.6,10.6,"*"
"139",139,"UHA-0444",9,0.00101,7.51e-06,"UHA-0260",9,9,1,1.26,"UHA-0257",9,9,0,9.45,9.45,"*",9,1,12.7,12.7,"*"
"140",140,"UHA-0445",9,0.000955,2.3e-05,"UHA-0260",9,9,0,5.56,"UHA-0257",9,9,0,7.79,7.24,"*",9,0,10.6,10.6,"*"
"142",142,"UHA-0447",9,0.00164,1.6e-05,"UHA-0260",9,9,0,7.6,"UHA-0257",9,9,0,7.31,7.31,"*",9,0,11,11,"*"
"143",143,"UHA-0448",9,0.0018,1.14e-05,"UHA-0260",9,9,0,7.99,"UHA-0257",9,9,0,7.27,7.08,"*",9,0,11.3,11.3,"*"
"144",144,"UHA-0449",9,0.000666,2.31e-05,"UHA-0260",9,9,0,9.28,"UHA-0257",9,9,0,7.11,7.11,"*",9,0,10.5,10.5,"*"
"145",145,"UHA-0450",9,0.000799,2.95e-06,"UHA-0260",9,9,0,6.08,"UHA-0257",9,9,0,8.24,8.24,"*",9,0,12.8,12.8,"*"
"146",146,"UHA-0451",9,0.00122,1.04e-05,"UHA-0260",9,9,1,1.11,"UHA-0257",9,9,0,9.12,9.12,"*",9,1,12.4,12.4,"*"
"147",147,"UHA-0452",9,0.00033,0.00014,"UHA-0260",9,9,1,3.93,"UHA-0257",9,9,0,7.39,7.39,"*",9,1,9.67,9.47,"*"
"148",148,"UHA-0453",9,0.00231,1.99e-06,"UHA-0260",9,9,0,3.51,"UHA-0257",9,9,0,9.46,9.3,"*",9,0,13.2,13.2,"*"
"149",149,"UHA-0454",9,0.000563,1.39e-05,"UHA-0257",9,9,0,7.05,"UHA-0260",9,9,0,7.87,6.8,"*",9,0,11.1,11.1,"*"
"150",150,"UHA-0455",9,0.000479,8.09e-07,"UHA-0257",9,9,0,6.76,"UHA-0260",9,9,1,5.02,5.02,"*",9,1,7.94,7.94,"*"
"151",151,"UHA-0456",9,0.00169,8.31e-05,"UHA-0257",9,9,0,7.63,"UHA-0260",9,9,0,5.58,5.58,"*",9,0,9.19,9.19,"*"
"152",152,"UHA-0457",9,6.5e-05,7.86e-06,"UHA-0257",9,9,0,9.16,"UHA-0258",9,9,1,5.33,5.33,"*",9,1,6.03,6.03,"*"
"153",153,"UHA-0458",9,0.00014,2.86e-06,"UHA-0257",9,9,0,8.12,"UHA-0258",9,9,1,5.33,5.33,"*",9,1,6.84,6.84,"*"
"154",154,"UHA-0459",9,0.000815,8.91e-06,"UHA-0257",9,9,0,8.4,"UHA-0258",9,9,1,4.89,4.89,"*",9,1,6.88,6.88,"*"
"155",155,"UHA-0460",9,0.00204,1.3e-06,"UHA-0257",9,9,0,5.88,"UHA-0260",9,9,0,9.45,9.45,"*",9,0,13.9,13.9,"*"
