"","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability"
"all_loci",0.000390593870967742,0.000346283469383871
"all_loci_HCF",0.000389006136363636,3.57060684848485e-05
"red_loci",0.00093057935483871,0.000604070783974194
"red_loci_HCF",0.00101574393939394,0.000100651659090909
