"MT_ID","Off_N","Fathers_N","Hybrid_Off_N","Hybrid_Father_N","Half_Sib_Off_N","Half_Sib_Father_N","Min_Dist","Max_Dist","Hybrid_Min","Hybrid_Max"
"UHA-0009","1","1","0","0","0","0","313.491852003713","313.491852003713","0","0"
"UHA-0010","29","13","3","3","10","0","35.1980490295443","647.236699502281","1","0"
"UHA-0012","21","14","3","3","8","0","43.4919758298184","675.193187791974","1","0"
"UHA-0013","3","3","1","1","1","0","226.894363018014","560.307984256704","0","0"
"UHA-0014","17","8","2","1","13","0","14.9590685740559","705.453533061191","0","0"
"UHA-0015","7","3","0","0","6","0","19.3495616125236","680.933007943558","0","0"
"UHA-0016","2","2","0","0","2","0","17.4189098382475","19.2782496310739","0","0"
"UHA-0257","21","7","1","1","4","0","8.55773770662482","330.942741099015","0","0"
"UHA-0260","30","8","4","2","6","0","12.1070215511337","384.48739177803","0","0"
"UHA-0261","15","5","1","1","5","0","12.1070215511337","358.410782292471","0","1"
"UHA-0351","8","4","1","1","5","0","12.8643209565563","317.432153808082","0","0"
