"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0052","UHA-0260","UHA-0259","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,FALSE,"570-78","550-82",384.48739177803,FALSE
"UHA-0053","UHA-0260","UHA-0351","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,FALSE,"570-78","549-82",61.6013448946619,FALSE
"UHA-0054","UHA-0260","UHA-0351","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,FALSE,"570-78","549-82",61.6013448946619,FALSE
"UHA-0055","UHA-0260","UHA-0259","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,FALSE,"570-78","550-82",384.48739177803,FALSE
"UHA-0056","UHA-0260","UHA-0258","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0058","UHA-0260","UHA-0351","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,FALSE,"570-78","549-82",61.6013448946619,FALSE
"UHA-0059","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0068","UHA-0014","UHA-0224","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus macrocarpa",-88.068949,41.813826,"1279-2004*2",33.8,NA,NA,NA,FALSE,"704-46","1279-2",535.330238976398,TRUE
"UHA-0069","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0070","UHA-0014","UHA-0262","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.064,41.811708,"704-46*10",58.5,NA,NA,NA,TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0071","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0072","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0073","UHA-0014","UHA-0267","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.068212,41.816799,"704-46*9",70.1,NA,NA,NA,TRUE,"704-46","704-46",705.453533061191,FALSE
"UHA-0074","UHA-0014","UHA-0256","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.065297,41.814547,"474-2001*1",29.5,NA,NA,NA,FALSE,"704-46","474-20",363.427718048337,FALSE
"UHA-0075","UHA-0014","UHA-0351","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,FALSE,"704-46","549-82",328.051241080892,FALSE
"UHA-0076","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
