Offspring_ID,Loci_typed,First_parent_non-exclusion_probability,Second_parent_non-exclusion_probability,Mother_ID,Loci_typed,Pair_loci_compared,Pair_loci_mismatching,Pair_LOD_score,Candidate_father_ID,Loci_typed,Pair_loci_compared,Pair_loci_mismatching,Pair_LOD_score,Pair_Delta,Pair_confidence,Trio_loci_compared,Trio_loci_mismatching,Trio_LOD_score,Trio_Delta,Trio_confidence
UHA-0020,13,2.22E-06,9.09E-06,UHA-0261,13,13,4,-1.31E+00,UHA-0260,13,13,0,1.45E+01,1.10E+01,*,13,5,1.15E+01,9.79E+00,*
UHA-0021,13,6.03E-06,2.90E-05,UHA-0261,13,13,4,-9.24E-01,UHA-0260,13,13,0,1.20E+01,7.45E+00,*,13,5,1.06E+01,5.53E+00,*
UHA-0022,13,1.86E-05,1.72E-04,UHA-0261,13,13,3,3.35E+00,UHA-0257,13,13,2,1.88E+00,0.00E+00,,13,4,3.69E+00,2.38E+00,*
UHA-0023,11,1.02E-03,1.44E-04,UHA-0261,13,11,2,-3.41E-01,UHA-0260,13,11,0,7.42E+00,1.95E+00,+,11,3,6.95E+00,1.53E+00,+
UHA-0024,13,5.66E-05,2.39E-04,UHA-0261,13,13,5,-3.64E+00,UHA-0420,13,13,6,-4.35E+00,0.00E+00,,13,7,7.48E-01,3.47E-01,+
UHA-0025,13,1.68E-05,4.96E-06,UHA-0261,13,13,2,6.06E+00,UHA-0258,12,12,4,1.28E+00,0.00E+00,,12,4,4.86E+00,4.79E+00,*
UHA-0026,12,3.43E-04,9.41E-06,UHA-0261,13,12,1,7.37E+00,UHA-0351,13,12,2,4.32E+00,0.00E+00,,12,4,3.13E+00,3.13E+00,*
UHA-0027,13,6.51E-05,2.12E-04,UHA-0261,13,13,3,2.44E+00,UHA-0257,13,13,2,2.33E+00,0.00E+00,,13,3,7.16E+00,7.16E+00,*
UHA-0028,13,8.75E-05,3.12E-05,UHA-0261,13,13,3,1.01E+00,UHA-0257,13,13,1,4.10E+00,0.00E+00,,13,6,1.85E+00,1.63E-02,-
UHA-0029,13,1.94E-04,3.97E-06,UHA-0261,13,13,2,1.42E+00,UHA-0257,13,13,0,6.33E+00,7.35E-01,-,13,5,3.81E+00,2.80E+00,*
UHA-0036,12,1.11E-04,4.05E-05,UHA-0261,13,12,2,1.79E+00,UHA-0257,13,12,1,4.21E+00,0.00E+00,,12,4,4.19E+00,4.19E+00,*
UHA-0037,13,1.05E-04,2.66E-03,UHA-0261,13,13,4,-1.69E+00,UHA-0257,13,13,1,3.66E+00,4.60E-01,-,13,4,6.29E+00,4.91E+00,*
