rownames,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
1,UHA-0020,13,4.34E-06,1.41E-05,UHA-0261,13,13,4,-4.27E+00,UHA-0260,13,13,0,1.45E+01,1.27E+01,*,13,5,1.09E+01,1.09E+01,*
2,UHA-0021,13,1.10E-05,5.11E-05,UHA-0261,13,13,4,-3.77E+00,UHA-0260,13,13,0,1.19E+01,8.71E+00,*,13,5,9.84E+00,6.18E+00,*
3,UHA-0022,13,3.00E-05,2.15E-04,UHA-0261,13,13,3,1.24E+00,UHA-0257,13,13,2,5.68E-01,0.00E+00,,13,4,2.94E+00,2.94E+00,+
4,UHA-0023,11,1.60E-03,2.26E-04,UHA-0261,13,11,2,-1.94E+00,UHA-0260,13,11,0,7.28E+00,2.54E+00,+,11,3,6.23E+00,1.51E+00,+
5,UHA-0024,13,6.57E-05,2.43E-04,UHA-0261,13,13,5,-6.98E+00,UHA-0420,13,13,6,-8.04E+00,0.00E+00,,13,7,-4.96E-01,0.00E+00,
6,UHA-0025,13,2.41E-05,8.48E-06,UHA-0261,13,13,2,4.77E+00,UHA-0258,12,12,4,-1.43E+00,0.00E+00,,12,4,3.23E+00,3.23E+00,*
7,UHA-0026,12,5.66E-04,1.43E-05,UHA-0261,13,12,1,6.60E+00,UHA-0351,13,12,2,3.04E+00,0.00E+00,,12,4,1.20E+00,1.20E+00,+
8,UHA-0027,13,9.93E-05,2.76E-04,UHA-0261,13,13,3,4.28E-01,UHA-0257,13,13,2,9.97E-01,3.96E-01,-,13,3,7.07E+00,7.07E+00,*
9,UHA-0028,13,1.53E-04,3.70E-05,UHA-0261,13,13,3,-1.23E+00,UHA-0257,13,13,1,3.32E+00,0.00E+00,,13,6,1.97E-02,1.97E-02,-
10,UHA-0029,13,3.07E-04,5.02E-06,UHA-0261,13,13,2,-2.52E-01,UHA-0257,13,13,0,6.27E+00,1.51E+00,+,13,5,2.11E+00,2.11E+00,+
11,UHA-0036,12,1.68E-04,4.93E-05,UHA-0261,13,12,2,1.55E-01,UHA-0257,13,12,1,3.58E+00,0.00E+00,,12,4,2.99E+00,2.99E+00,+
12,UHA-0037,13,1.58E-04,2.78E-03,UHA-0261,13,13,4,-4.42E+00,UHA-0257,13,13,1,3.03E+00,1.34E+00,-,13,4,6.39E+00,6.39E+00,*
13,UHA-0038,13,1.63E-04,7.44E-06,UHA-0261,13,13,3,-1.03E+00,UHA-0351,13,13,0,1.26E+01,7.64E+00,*,13,4,1.13E+01,1.02E+01,*
14,UHA-0040,13,1.34E-03,1.27E-04,UHA-0261,13,13,2,1.33E+00,UHA-0351,13,13,1,5.39E+00,0.00E+00,,13,4,4.07E+00,4.07E+00,*
15,UHA-0041,13,6.55E-05,3.91E-08,UHA-0261,13,13,1,5.27E+00,UHA-0260,13,13,0,1.34E+01,1.34E+01,*,13,2,1.46E+01,1.46E+01,*
16,UHA-0043,12,4.93E-04,1.80E-04,UHA-0260,13,12,0,9.52E+00,UHA-0261,13,12,2,1.04E-01,1.04E-01,-,12,2,3.09E-01,3.09E-01,-
17,UHA-0044,13,3.17E-06,1.10E-07,UHA-0260,13,13,0,1.39E+01,UHA-0512,12,12,2,3.91E+00,3.91E+00,*,12,4,-1.56E+00,0.00E+00,
18,UHA-0045,13,2.30E-04,1.58E-05,UHA-0260,13,13,2,1.37E+00,UHA-0351,13,13,2,2.82E+00,7.36E-01,-,13,5,1.03E+00,1.03E+00,+
19,UHA-0046,13,1.47E-04,7.20E-06,UHA-0260,13,13,1,6.64E+00,UHA-0257,13,13,1,3.97E+00,3.09E+00,+,13,2,6.69E+00,6.69E+00,*
20,UHA-0047,13,1.32E-03,4.01E-04,UHA-0260,13,13,1,6.81E+00,UHA-0351,13,13,2,5.01E-01,0.00E+00,,13,3,1.21E+00,1.21E+00,+
21,UHA-0048,13,3.04E-04,1.17E-05,UHA-0260,13,13,1,4.12E+00,UHA-0257,13,13,1,3.65E+00,3.65E+00,*,13,2,6.16E+00,6.16E+00,*
22,UHA-0049,13,3.32E-04,4.54E-06,UHA-0260,13,13,3,-1.66E+00,UHA-0257,13,13,2,-9.48E-01,0.00E+00,,13,5,2.59E+00,2.59E+00,+
23,UHA-0050,13,7.65E-05,7.98E-07,UHA-0260,13,13,0,1.03E+01,UHA-0261,13,13,2,8.04E+00,5.03E+00,*,13,2,7.80E+00,4.57E+00,*
24,UHA-0051,13,1.40E-06,1.05E-05,UHA-0260,13,13,4,-4.51E+00,UHA-0258,12,12,5,-5.82E+00,0.00E+00,,12,6,1.11E+00,2.61E-01,-
25,UHA-0052,13,9.74E-05,2.66E-08,UHA-0260,13,13,1,6.04E+00,UHA-0259,12,12,1,5.64E+00,4.95E+00,*,12,4,2.22E+00,2.22E+00,+
26,UHA-0053,13,2.33E-04,6.70E-05,UHA-0260,13,13,2,2.65E+00,UHA-0351,13,13,1,8.51E+00,7.39E+00,*,13,3,9.03E+00,8.11E+00,*
