rownames,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
27,UHA-0054,13,2.47E-04,1.12E-04,UHA-0260,13,13,2,3.07E+00,UHA-0351,13,13,2,4.01E+00,3.19E+00,+,13,4,3.76E+00,3.03E+00,*
28,UHA-0055,13,1.04E-04,9.35E-06,UHA-0260,13,13,3,-1.44E+00,UHA-0259,12,12,2,2.38E+00,2.12E+00,+,12,6,-1.29E+00,0.00E+00,
29,UHA-0056,12,7.71E-04,1.37E-04,UHA-0260,13,12,2,2.55E-01,UHA-0258,12,11,3,-9.50E-02,0.00E+00,,11,3,4.51E+00,4.47E+00,*
30,UHA-0058,12,2.64E-04,1.07E-05,UHA-0260,13,12,2,2.76E+00,UHA-0351,13,12,0,1.22E+01,1.22E+01,*,12,2,1.39E+01,1.39E+01,*
31,UHA-0059,13,6.29E-05,3.37E-05,UHA-0260,13,13,3,2.06E-01,UHA-0257,13,13,1,5.09E+00,1.85E+00,+,13,4,6.93E+00,5.83E+00,*
32,UHA-0068,12,4.54E-04,1.63E-05,UHA-0014,13,12,0,7.83E+00,UHA-0224,13,12,1,5.65E+00,0.00E+00,,12,1,6.63E+00,6.38E-03,-
33,UHA-0069,13,3.68E-04,1.01E-06,UHA-0014,13,13,0,7.14E+00,UHA-0266,12,12,1,7.25E+00,0.00E+00,,12,1,8.72E+00,7.09E+00,*
34,UHA-0070,13,1.16E-03,1.98E-04,UHA-0014,13,13,0,1.09E+01,UHA-0262,13,13,0,1.18E+01,3.70E-01,-,13,0,1.22E+01,5.98E-01,-
35,UHA-0071,12,2.84E-04,4.95E-06,UHA-0014,13,12,0,8.83E+00,UHA-0266,12,12,1,6.85E+00,1.86E+00,+,12,1,8.48E+00,7.76E+00,*
36,UHA-0072,13,8.34E-04,8.65E-06,UHA-0014,13,13,0,7.43E+00,UHA-0266,12,12,0,9.47E+00,6.73E+00,*,12,0,1.26E+01,1.26E+01,*
37,UHA-0073,13,9.11E-05,9.17E-06,UHA-0014,13,13,0,1.14E+01,UHA-0267,13,13,0,1.30E+01,2.26E+00,+,13,1,9.98E+00,4.30E+00,*
38,UHA-0074,13,8.81E-04,1.42E-07,UHA-0014,13,13,0,4.83E+00,UHA-0256,11,11,2,2.23E+00,0.00E+00,,11,3,1.59E+00,1.59E+00,+
39,UHA-0075,12,2.25E-04,1.05E-05,UHA-0014,13,12,0,9.03E+00,UHA-0351,13,12,1,5.48E+00,0.00E+00,,12,1,8.23E+00,8.23E+00,*
40,UHA-0076,13,2.11E-04,4.38E-06,UHA-0014,13,13,0,9.34E+00,UHA-0266,12,12,0,1.03E+01,7.42E-01,-,12,0,1.23E+01,1.17E+01,*
41,UHA-0077,13,6.07E-04,4.27E-05,UHA-0014,13,13,0,1.01E+01,UHA-0224,13,13,2,7.82E-01,0.00E+00,,13,2,3.75E+00,1.16E+00,+
42,UHA-0079,13,6.56E-06,6.56E-06,UHA-0014,13,13,0,1.31E+01,UHA-0267,13,13,0,1.33E+01,1.26E+00,-,13,0,1.37E+01,6.93E-01,-
43,UHA-0080,12,6.06E-05,2.18E-07,UHA-0014,13,12,0,8.32E+00,UHA-0265,13,12,0,1.23E+01,3.36E+00,+,12,1,1.36E+01,1.11E+01,*
44,UHA-0081,12,8.45E-04,3.58E-04,UHA-0014,13,12,0,1.18E+01,UHA-0013,13,12,0,9.31E+00,0.00E+00,,12,0,1.01E+01,1.34E+00,+
45,UHA-0088,13,1.41E-04,1.72E-05,UHA-0014,13,13,0,8.78E+00,UHA-0262,13,13,0,9.26E+00,5.36E+00,*,13,2,4.80E+00,1.92E+00,+
46,UHA-0089,13,1.59E-05,3.39E-07,UHA-0014,13,13,0,1.05E+01,UHA-0266,12,12,1,7.04E+00,0.00E+00,,12,1,9.62E+00,7.60E+00,*
47,UHA-0090,13,7.72E-05,1.89E-07,UHA-0014,13,13,0,8.23E+00,UHA-0266,12,12,0,1.19E+01,2.38E+00,+,12,0,1.51E+01,1.51E+01,*
48,UHA-0091,13,1.38E-04,2.04E-06,UHA-0014,13,13,0,7.94E+00,UHA-0266,12,12,1,6.57E+00,5.90E-01,-,12,1,8.69E+00,8.69E+00,*
49,UHA-0093,11,6.18E-04,1.09E-04,UHA-0015,13,11,1,4.82E+00,UHA-0265,13,11,0,9.15E+00,1.57E+00,+,11,1,1.01E+01,4.68E+00,*
50,UHA-0094,13,7.55E-05,1.53E-06,UHA-0015,13,13,1,8.41E+00,UHA-0266,12,12,1,6.22E+00,1.06E+00,-,12,2,8.89E+00,8.89E+00,*
51,UHA-0095,13,6.86E-05,1.11E-06,UHA-0015,13,13,1,6.42E+00,UHA-0266,12,12,0,1.04E+01,6.88E-01,-,12,1,1.34E+01,1.34E+01,*
52,UHA-0096,10,4.70E-03,9.67E-05,UHA-0015,13,10,1,1.29E+00,UHA-0266,12,10,0,6.96E+00,1.67E+00,+,10,1,8.93E+00,7.69E+00,*
53,UHA-0097,12,1.20E-04,7.05E-05,UHA-0015,13,12,2,3.95E+00,UHA-0266,12,11,0,9.23E+00,9.37E-01,-,11,2,1.07E+01,6.71E+00,*
54,UHA-0098,13,1.15E-03,6.42E-07,UHA-0257,13,13,1,2.42E+00,UHA-0260,13,13,1,5.11E+00,4.65E+00,*,13,2,9.59E+00,9.38E+00,*
55,UHA-0099,13,1.21E-04,1.34E-06,UHA-0257,13,13,0,8.54E+00,UHA-0258,12,12,3,1.44E+00,1.44E+00,+,12,3,1.49E+00,1.49E+00,+
56,UHA-0100,13,4.57E-05,8.43E-08,UHA-0257,13,13,0,8.80E+00,UHA-0256,11,11,3,-6.30E-01,0.00E+00,,11,3,6.73E-01,6.73E-01,-
57,UHA-0101,11,6.83E-04,1.16E-04,UHA-0257,13,11,2,3.24E-01,UHA-0260,13,11,2,2.24E-02,2.24E-02,-,11,3,4.38E+00,2.90E+00,+
58,UHA-0102,13,9.08E-05,6.55E-07,UHA-0257,13,13,1,4.18E+00,UHA-0351,13,13,1,9.27E+00,8.37E+00,*,13,3,8.20E+00,7.85E+00,*
59,UHA-0103,13,5.48E-04,8.01E-07,UHA-0257,13,13,3,-3.74E+00,UHA-0260,13,13,2,-1.43E-02,0.00E+00,,13,5,2.75E+00,2.75E+00,+
60,UHA-0105,13,4.91E-05,3.49E-07,UHA-0257,13,13,0,1.06E+01,UHA-0268,13,13,3,2.22E+00,2.00E+00,+,13,4,-1.54E+00,0.00E+00,
61,UHA-0106,13,2.43E-04,5.44E-05,UHA-0257,13,13,2,1.43E+00,UHA-0260,13,13,1,3.51E+00,1.82E+00,+,13,3,5.30E+00,4.86E+00,*
62,UHA-0109,13,1.45E-04,1.84E-07,UHA-0257,13,13,1,3.79E+00,UHA-0261,13,13,2,2.42E+00,0.00E+00,,13,4,2.77E+00,2.77E+00,+
63,UHA-0110,13,5.52E-05,2.75E-06,UHA-0257,13,13,0,1.03E+01,UHA-0256,11,11,3,-2.24E+00,0.00E+00,,11,3,-2.00E+00,0.00E+00,
64,UHA-0111,13,7.29E-05,2.37E-06,UHA-0257,13,13,0,1.12E+01,UHA-0351,13,13,2,1.83E+00,0.00E+00,,13,2,4.91E+00,4.72E+00,*
65,UHA-0112,12,4.78E-05,6.38E-03,UHA-0257,13,12,5,-8.69E+00,UHA-0265,13,12,0,1.30E+01,3.40E+00,+,12,5,1.10E+01,4.01E+00,*
66,UHA-0113,13,2.26E-04,3.19E-05,UHA-0257,13,13,1,5.18E+00,UHA-0260,13,13,2,1.00E+00,0.00E+00,,13,2,4.82E+00,1.99E+00,+
67,UHA-0114,13,5.68E-05,2.19E-07,UHA-0257,13,13,2,9.11E-01,UHA-0260,13,13,3,1.59E-02,1.59E-02,-,13,5,2.16E+00,2.16E+00,+
68,UHA-0115,13,2.84E-04,1.94E-05,UHA-0351,13,13,1,5.83E+00,UHA-0303,13,13,4,-4.37E+00,0.00E+00,,13,4,-9.42E-01,0.00E+00,
69,UHA-0116,13,4.96E-05,6.89E-06,UHA-0351,13,13,2,2.51E+00,UHA-0260,13,13,1,7.15E+00,7.09E+00,*,13,3,8.93E+00,8.05E+00,*
70,UHA-0118,13,1.08E-04,1.89E-06,UHA-0351,13,13,1,7.56E+00,UHA-0260,13,13,1,5.93E+00,0.00E+00,,13,2,8.02E+00,1.74E+00,+
71,UHA-0119,13,3.42E-04,1.84E-05,UHA-0351,13,13,1,6.99E+00,UHA-0257,13,13,2,3.62E+00,2.73E+00,+,13,3,3.47E+00,3.47E+00,*
72,UHA-0120,13,1.61E-05,6.32E-07,UHA-0351,13,13,1,8.38E+00,UHA-0257,13,13,2,2.32E+00,1.70E+00,+,13,4,8.68E-01,8.68E-01,+
73,UHA-0121,13,2.25E-05,4.27E-06,UHA-0351,13,13,1,1.02E+01,UHA-0257,13,13,2,1.87E+00,3.25E-01,-,13,3,2.92E+00,2.92E+00,+
74,UHA-0122,13,2.87E-04,3.85E-05,UHA-0351,13,13,1,9.91E+00,UHA-0257,13,13,2,1.93E+00,0.00E+00,,13,3,2.64E+00,2.64E+00,+
75,UHA-0123,13,6.21E-05,9.33E-05,UHA-0010,12,12,1,4.83E+00,UHA-0258,12,12,2,4.48E+00,0.00E+00,,12,2,6.65E+00,5.89E+00,*
76,UHA-0124,12,2.69E-03,1.98E-04,UHA-0010,12,11,0,5.57E+00,UHA-0258,12,11,1,4.38E+00,2.76E-01,-,11,1,5.69E+00,4.01E+00,*
77,UHA-0125,13,1.72E-04,1.60E-05,UHA-0010,12,12,1,4.28E+00,UHA-0016,11,11,3,-4.38E+00,0.00E+00,,11,4,-3.20E+00,0.00E+00,
78,UHA-0126,13,5.47E-05,5.36E-06,UHA-0010,12,12,1,4.87E+00,UHA-0266,12,12,2,1.71E+00,0.00E+00,,12,2,5.02E+00,1.59E+00,+
79,UHA-0127,11,2.16E-04,1.60E-04,UHA-0010,12,10,1,3.39E+00,UHA-0259,12,10,1,4.40E+00,2.29E+00,+,10,3,2.20E+00,8.05E-02,-
80,UHA-0128,13,1.78E-04,4.60E-05,UHA-0010,12,12,2,-1.14E+00,UHA-0258,12,12,3,1.09E+00,0.00E+00,,12,3,6.20E+00,6.20E+00,*
81,UHA-0129,12,2.70E-03,3.98E-05,UHA-0010,12,11,0,6.45E+00,UHA-0258,12,11,2,3.00E+00,0.00E+00,,11,2,3.59E+00,3.44E+00,*
82,UHA-0130,13,1.79E-04,2.52E-04,UHA-0010,12,12,1,5.99E+00,UHA-0258,12,12,3,2.93E-01,0.00E+00,,12,3,1.71E+00,1.67E-01,-
83,UHA-0131,13,8.62E-05,3.99E-06,UHA-0010,12,12,1,4.04E+00,UHA-0263,13,13,0,9.03E+00,4.19E+00,*,13,5,-1.14E+00,0.00E+00,
84,UHA-0132,13,1.25E-05,1.12E-06,UHA-0010,12,12,1,4.23E+00,UHA-0263,13,13,1,7.54E+00,4.92E+00,*,13,4,3.07E+00,3.07E+00,*
85,UHA-0133,13,1.67E-03,3.34E-04,UHA-0010,12,12,0,8.86E+00,UHA-0011,13,13,1,2.82E+00,0.00E+00,,13,1,5.45E+00,1.96E+00,+
86,UHA-0134,12,8.35E-05,1.16E-05,UHA-0010,12,11,1,5.22E+00,UHA-0258,12,12,2,3.11E+00,0.00E+00,,12,2,5.94E+00,3.26E+00,*
87,UHA-0135,13,9.06E-04,7.07E-05,UHA-0010,12,12,1,4.22E+00,UHA-0257,13,13,1,4.22E+00,4.22E+00,*,13,3,3.14E+00,3.14E+00,*
88,UHA-0136,13,3.20E-04,3.98E-05,UHA-0010,12,12,1,4.12E+00,UHA-0258,12,12,3,6.74E-01,0.00E+00,,12,3,2.97E+00,2.44E+00,+
89,UHA-0137,12,7.08E-04,3.09E-04,UHA-0010,12,12,1,4.36E+00,UHA-0015,13,12,1,6.51E+00,0.00E+00,,12,2,4.46E+00,7.14E-01,-
90,UHA-0138,13,3.33E-05,7.03E-12,UHA-0010,12,12,0,5.82E+00,UHA-0293,12,12,3,1.80E+00,2.65E-01,-,12,3,4.29E+00,4.29E+00,*
91,UHA-0139,13,7.89E-05,7.27E-06,UHA-0010,12,12,0,9.36E+00,UHA-0260,13,13,1,6.25E+00,6.25E+00,*,13,1,7.57E+00,7.57E+00,*
92,UHA-0140,13,3.32E-05,3.16E-06,UHA-0010,12,12,1,5.32E+00,UHA-0266,12,12,4,-3.50E+00,0.00E+00,,12,4,-1.91E+00,0.00E+00,
93,UHA-0141,13,5.35E-04,1.46E-06,UHA-0010,12,12,0,7.11E+00,UHA-0257,13,13,0,6.37E+00,3.99E+00,*,13,2,5.56E+00,5.56E+00,*
94,UHA-0142,13,7.87E-05,9.26E-08,UHA-0010,12,12,0,7.48E+00,UHA-0210,12,12,4,-2.74E+00,0.00E+00,,12,4,-1.22E+00,0.00E+00,
95,UHA-0143,13,1.56E-04,3.75E-05,UHA-0010,12,12,1,4.69E+00,UHA-0258,12,12,3,3.09E-01,0.00E+00,,12,3,3.01E+00,3.01E+00,*
96,UHA-0144,13,1.14E-04,1.82E-06,UHA-0010,12,12,0,8.87E+00,UHA-0265,13,13,1,8.51E+00,3.39E+00,+,13,3,3.95E+00,1.06E+00,+
97,UHA-0146,13,3.77E-05,1.24E-06,UHA-0010,12,12,0,9.84E+00,UHA-0260,13,13,3,1.52E-01,1.52E-01,-,13,4,-3.43E+00,0.00E+00,
98,UHA-0147,12,1.08E-04,5.57E-07,UHA-0010,12,11,0,7.92E+00,UHA-0259,12,11,0,7.60E+00,7.60E+00,*,11,3,1.92E+00,1.13E+00,+
99,UHA-0148,13,1.74E-05,4.44E-07,UHA-0012,13,13,1,7.98E+00,UHA-0476,13,13,0,1.33E+01,1.33E+01,*,13,1,1.53E+01,1.53E+01,*
100,UHA-0150,13,1.42E-04,9.33E-07,UHA-0012,13,13,0,1.01E+01,UHA-0266,12,12,0,1.13E+01,1.13E+01,*,12,0,1.44E+01,1.44E+01,*
101,UHA-0151,13,1.73E-04,2.93E-05,UHA-0012,13,13,0,1.33E+01,UHA-0351,13,13,1,4.32E+00,4.32E+00,*,13,1,6.99E+00,6.99E+00,*
102,UHA-0152,13,3.23E-04,1.06E-06,UHA-0012,13,13,0,9.26E+00,UHA-0260,13,13,2,4.65E+00,0.00E+00,,13,3,3.31E+00,3.31E+00,*
103,UHA-0153,13,3.32E-05,1.94E-07,UHA-0012,13,13,0,1.27E+01,UHA-0259,12,12,2,-2.62E-01,0.00E+00,,12,3,-9.13E-01,0.00E+00,
104,UHA-0154,13,7.18E-05,2.76E-05,UHA-0012,13,13,1,5.57E+00,UHA-0257,13,13,2,1.32E+00,0.00E+00,,13,2,5.67E+00,5.67E+00,*
105,UHA-0155,13,2.30E-04,5.13E-07,UHA-0012,13,13,0,1.03E+01,UHA-0257,13,13,3,-8.39E-01,0.00E+00,,13,3,5.37E-01,5.37E-01,-
106,UHA-0156,13,4.83E-05,1.16E-10,UHA-0012,13,13,1,4.91E+00,UHA-0263,13,13,1,2.65E+00,7.39E-01,-,13,6,-8.07E+00,0.00E+00,
107,UHA-0157,13,1.45E-04,1.63E-06,UHA-0012,13,13,0,1.06E+01,UHA-0257,13,13,1,5.47E+00,3.19E+00,+,13,1,8.99E+00,8.99E+00,*
108,UHA-0158,13,1.49E-04,1.05E-07,UHA-0012,13,13,0,8.07E+00,UHA-0267,13,13,3,-4.98E-01,0.00E+00,,13,4,-1.72E+00,0.00E+00,
109,UHA-0159,13,3.47E-04,2.87E-05,UHA-0012,13,13,1,4.93E+00,UHA-0260,13,13,1,4.44E+00,1.41E+00,+,13,2,6.19E+00,2.69E+00,+
110,UHA-0160,13,1.63E-04,1.65E-07,UHA-0012,13,13,0,1.14E+01,UHA-0256,11,11,2,9.25E-01,4.91E-01,-,11,4,-1.54E+00,0.00E+00,
111,UHA-0161,13,2.98E-04,2.25E-06,UHA-0012,13,13,0,1.06E+01,UHA-0011,13,13,2,2.62E+00,0.00E+00,,13,3,2.24E+00,4.46E-02,-
112,UHA-0162,12,1.11E-03,1.97E-07,UHA-0012,13,12,0,6.80E+00,UHA-0177,12,12,0,1.28E+01,1.17E+01,*,12,0,1.80E+01,1.68E+01,*
113,UHA-0163,13,2.88E-04,3.09E-06,UHA-0012,13,13,0,1.20E+01,UHA-0257,13,13,1,4.15E+00,4.15E+00,*,13,1,7.82E+00,7.82E+00,*
114,UHA-0164,11,7.86E-04,9.84E-05,UHA-0016,11,9,0,8.82E+00,UHA-0264,13,11,0,1.22E+01,5.48E-01,-,11,1,7.57E+00,1.17E+00,+
115,UHA-0165,13,1.00E-04,6.51E-05,UHA-0016,11,11,1,4.51E+00,UHA-0266,12,12,1,5.62E+00,0.00E+00,,12,2,5.62E+00,1.45E+00,+
116,UHA-0166,13,5.46E-06,1.11E-08,UHA-0013,13,13,1,7.27E+00,UHA-0263,13,13,2,4.69E+00,2.02E+00,+,13,5,-1.22E+00,0.00E+00,
117,UHA-0167,12,4.50E-04,1.59E-06,UHA-0013,13,12,1,4.60E+00,UHA-0260,13,12,2,2.24E+00,0.00E+00,,12,3,3.85E+00,3.85E+00,*
118,UHA-0169,13,7.90E-04,6.15E-09,UHA-0013,13,13,0,6.26E+00,UHA-0269,13,13,0,1.40E+01,7.72E+00,*,13,0,1.86E+01,1.86E+01,*
119,UHA-0298,13,6.15E-04,1.01E-03,UHA-0351,13,13,1,1.14E+01,UHA-0264,13,13,2,-1.91E+00,0.00E+00,,13,3,-6.79E-01,0.00E+00,
120,UHA-0426,13,6.02E-04,2.62E-06,UHA-0009,13,13,0,9.42E+00,UHA-0258,12,12,2,1.59E+00,0.00E+00,,12,2,3.08E+00,3.08E+00,*
121,UHA-0427,13,1.01E-04,4.52E-07,UHA-0015,13,13,1,7.08E+00,UHA-0259,12,12,2,-3.80E-01,0.00E+00,,12,3,6.51E-01,6.51E-01,-
122,UHA-0428,13,3.35E-05,4.29E-07,UHA-0015,13,13,1,7.35E+00,UHA-0266,12,12,2,3.71E+00,0.00E+00,,12,3,5.16E+00,5.16E+00,*
123,UHA-0429,13,7.97E-05,3.55E-06,UHA-0012,13,13,0,1.36E+01,UHA-0257,13,13,2,1.05E-01,0.00E+00,,13,2,2.13E+00,2.13E+00,+
124,UHA-0430,13,8.97E-05,5.96E-07,UHA-0012,13,13,0,1.03E+01,UHA-0259,12,12,2,-2.62E-01,0.00E+00,,12,3,-8.61E-01,0.00E+00,
125,UHA-0431,13,2.74E-05,1.53E-07,UHA-0012,13,13,0,1.51E+01,UHA-0512,12,12,1,4.77E+00,4.51E+00,*,12,3,8.85E-01,8.85E-01,+
126,UHA-0432,12,1.95E-04,8.00E-07,UHA-0012,13,12,0,7.92E+00,UHA-0303,13,12,2,3.90E+00,3.30E+00,+,12,4,5.86E-01,5.86E-01,-
127,UHA-0433,13,8.38E-04,3.63E-06,UHA-0012,13,13,0,7.36E+00,UHA-0257,13,13,1,5.15E+00,9.12E-01,-,13,1,8.44E+00,8.44E+00,*
128,UHA-0434,13,5.43E-05,4.07E-09,UHA-0012,13,13,1,6.95E+00,UHA-0016,11,11,1,5.23E+00,0.00E+00,,11,5,-1.66E+00,0.00E+00,
129,UHA-0435,13,1.04E-05,1.64E-07,UHA-0010,12,12,1,3.75E+00,UHA-0258,12,12,3,3.02E+00,7.90E-01,-,12,5,-3.96E-01,0.00E+00,
130,UHA-0436,13,1.89E-04,3.71E-06,UHA-0010,12,12,0,1.04E+01,UHA-0259,12,12,2,1.19E+00,0.00E+00,,12,3,4.64E-01,4.64E-01,-
131,UHA-0437,13,2.39E-04,1.71E-04,UHA-0010,12,12,1,4.97E+00,UHA-0258,12,12,2,2.98E+00,0.00E+00,,12,2,5.65E+00,2.23E+00,+
132,UHA-0438,13,4.30E-05,7.65E-06,UHA-0010,12,12,1,3.85E+00,UHA-0331,10,10,3,-2.53E+00,0.00E+00,,10,3,7.87E-01,5.86E-01,-
133,UHA-0439,13,3.74E-05,1.78E-05,UHA-0010,12,12,1,5.59E+00,UHA-0260,13,13,1,6.73E+00,5.22E+00,*,13,2,6.21E+00,4.69E+00,*
134,UHA-0440,13,4.24E-04,1.80E-08,UHA-0260,13,13,1,2.04E+00,UHA-0351,13,13,1,9.26E+00,5.41E+00,*,13,3,1.06E+01,1.06E+01,*
135,UHA-0441,13,1.84E-04,7.95E-06,UHA-0260,13,13,0,1.03E+01,UHA-0261,13,13,1,8.03E+00,3.12E+00,+,13,1,9.11E+00,3.54E+00,*
136,UHA-0442,13,1.62E-04,1.05E-05,UHA-0260,13,13,0,1.22E+01,UHA-0261,13,13,2,2.24E+00,0.00E+00,,13,2,2.70E+00,6.78E-01,-
137,UHA-0443,13,7.90E-04,6.79E-06,UHA-0260,13,13,2,-1.55E-01,UHA-0257,13,13,2,9.16E-01,9.16E-01,-,13,3,6.19E+00,6.19E+00,*
138,UHA-0444,13,4.14E-04,1.87E-06,UHA-0260,13,13,3,-4.87E+00,UHA-0257,13,13,2,3.92E-01,4.55E-02,-,13,5,3.52E+00,2.35E+00,+
139,UHA-0445,13,1.66E-04,1.04E-04,UHA-0260,13,13,2,8.82E-01,UHA-0257,13,13,1,5.61E+00,5.19E+00,*,13,2,9.04E+00,6.92E+00,*
140,UHA-0446,13,1.95E-04,1.07E-04,UHA-0260,13,13,2,4.29E+00,UHA-0263,13,13,2,1.23E+00,0.00E+00,,13,3,4.73E+00,1.55E+00,+
141,UHA-0447,13,6.81E-04,2.12E-05,UHA-0260,13,13,2,8.77E-01,UHA-0512,12,12,3,2.75E+00,2.33E+00,+,12,3,5.00E+00,2.57E+00,+
142,UHA-0448,13,7.85E-04,2.89E-06,UHA-0260,13,13,1,4.30E+00,UHA-0257,13,13,2,1.35E-01,1.35E-01,-,13,3,3.80E+00,3.80E+00,*
143,UHA-0449,13,1.02E-04,1.74E-04,UHA-0260,13,13,3,5.86E-01,UHA-0257,13,13,1,5.37E+00,5.37E+00,*,13,3,9.13E+00,8.54E+00,*
144,UHA-0450,13,4.01E-04,8.63E-07,UHA-0260,13,13,1,2.70E+00,UHA-0268,13,13,3,3.19E-01,3.19E-01,-,13,4,1.70E+00,1.32E+00,+
145,UHA-0451,13,5.61E-04,2.49E-06,UHA-0260,13,13,3,-5.24E+00,UHA-0257,13,13,2,1.02E-01,1.02E-01,-,13,5,3.21E+00,3.21E+00,*
