"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","DBH_avg","dist.x","relate_coef.x","dist.y","relate_coef.y","comp_status","dist_par","Hybrid_Status"
"UHA-0069","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0070","UHA-0014","UHA-0262","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",58.5,0.0682566,0.566263,NA,NA,1,68.434531179392,FALSE
"UHA-0071","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0072","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0073","UHA-0014","UHA-0267","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.068212,41.816799,"704-46*9",TRUE,"704-46","704-46",70.1,0.705324,0.838474,NA,NA,1,705.453533061191,FALSE
"UHA-0075","UHA-0014","UHA-0351","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"704-46","549-82",49.1,0.327952,0.180501,NA,NA,4,328.051241080892,FALSE
"UHA-0076","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0077","UHA-0014","UHA-0224","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus macrocarpa",-88.068949,41.813826,"1279-2004*2",FALSE,"704-46","1279-2",33.8,0.53433,0.236995,NA,NA,4,535.330238976398,TRUE
"UHA-0079","UHA-0014","UHA-0267","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.068212,41.816799,"704-46*9",TRUE,"704-46","704-46",70.1,0.705324,0.838474,NA,NA,1,705.453533061191,FALSE
"UHA-0080","UHA-0014","UHA-0265","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",52.5,0.0149706,0.391458,NA,NA,1,14.9590685740559,FALSE
"UHA-0081","UHA-0014","UHA-0013","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.06758,41.815615,"704-46*6",TRUE,"704-46","704-46",64.6,NA,NA,0.569314,0.692221,1,569.547995997515,FALSE
"UHA-0088","UHA-0014","UHA-0262","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",58.5,0.0682566,0.566263,NA,NA,1,68.434531179392,FALSE
"UHA-0089","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0090","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0091","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0179433,0.337591,NA,NA,1,17.9258177176078,FALSE
"UHA-0093","UHA-0015","UHA-0265","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",52.5,0.0193477,0.402026,NA,NA,1,19.3495616125236,FALSE
"UHA-0094","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0194302,0.26844,NA,NA,1,19.4097192973039,FALSE
"UHA-0095","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0194302,0.26844,NA,NA,1,19.4097192973039,FALSE
"UHA-0096","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0194302,0.26844,NA,NA,1,19.4097192973039,FALSE
"UHA-0097","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0194302,0.26844,NA,NA,1,19.4097192973039,FALSE
"UHA-0098","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",66.6,0.0519982,0.060558,NA,NA,4,52.0859387345233,FALSE
"UHA-0101","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",66.6,0.0519982,0.060558,NA,NA,4,52.0859387345233,FALSE
"UHA-0102","UHA-0257","UHA-0351","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",TRUE,"549-82","549-82",49.1,0.0128352,0.239369,NA,NA,2,12.8643209565563,FALSE
"UHA-0106","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",66.6,0.0519982,0.060558,NA,NA,4,52.0859387345233,FALSE
"UHA-0109","UHA-0257","UHA-0261","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",FALSE,"549-82","570-78",50.6,0.0407481,0.036397,NA,NA,4,40.8287737366712,FALSE
"UHA-0111","UHA-0257","UHA-0351","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",TRUE,"549-82","549-82",49.1,0.0128352,0.239369,NA,NA,2,12.8643209565563,FALSE
"UHA-0112","UHA-0257","UHA-0265","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",FALSE,"549-82","704-46",52.5,0.33077,0.038289,NA,NA,4,330.942741099015,FALSE
