"","Offspring_ID","Loci_typed","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"87","UHA-0135",13,"UHA-0010",12,12,1,4.84,"UHA-0257",13,13,1,4.78,4.78,"*",13,3,4.25,4.25,"*"
"88","UHA-0136",13,"UHA-0010",12,12,1,4.7,"UHA-0258",12,12,3,2.42,0,"",12,3,4.1,1.55,"+"
"89","UHA-0137",12,"UHA-0010",12,12,1,5.02,"UHA-0015",13,12,1,6.9,0,"",12,2,5.1,0.734,"+"
"90","UHA-0138",13,"UHA-0010",12,12,0,6.02,"UHA-0293",12,12,3,3.13,0,"",12,3,5.58,3.73,"*"
"91","UHA-0139",13,"UHA-0010",12,12,0,9.38,"UHA-0260",13,13,1,7,5.65,"*",13,1,8.4,8.4,"*"
"92","UHA-0140",13,"UHA-0010",12,12,1,5.89,"UHA-0266",12,12,4,-0.867,0,"",12,4,0.134,0.134,"-"
"93","UHA-0141",13,"UHA-0010",12,12,0,7.21,"UHA-0257",13,13,0,6.26,3.01,"*",13,2,6.53,5.85,"*"
"94","UHA-0142",13,"UHA-0010",12,12,0,7.53,"UHA-0210",12,12,4,-0.312,0,"",12,4,1.24,1.24,"+"
"95","UHA-0143",13,"UHA-0010",12,12,1,5.36,"UHA-0258",12,12,3,2.02,0,"",12,3,4.16,2.76,"*"
"96","UHA-0144",13,"UHA-0010",12,12,0,8.86,"UHA-0265",13,13,1,9.04,2.86,"+",13,3,5.76,1.17,"+"
"98","UHA-0147",12,"UHA-0010",12,11,0,7.94,"UHA-0259",12,11,0,7.64,5.82,"*",11,3,3.9,0.982,"+"
"99","UHA-0148",13,"UHA-0012",13,13,1,8.39,"UHA-0476",13,13,0,12.7,11.2,"*",13,1,14.9,14.9,"*"
"100","UHA-0150",13,"UHA-0012",13,13,0,9.9,"UHA-0266",12,12,0,11,10,"*",12,0,14.1,14.1,"*"
"101","UHA-0151",13,"UHA-0012",13,13,0,13,"UHA-0351",13,13,1,4.9,4.9,"*",13,1,7.61,7.61,"*"
"102","UHA-0152",13,"UHA-0012",13,13,0,8.95,"UHA-0260",13,13,2,6.02,0.615,"-",13,3,5.4,2.71,"*"
"103","UHA-0153",13,"UHA-0012",13,13,0,12.5,"UHA-0259",12,12,2,1.16,1.16,"+",12,3,1.13,1.13,"+"
"104","UHA-0154",13,"UHA-0012",13,13,1,6.03,"UHA-0257",13,13,2,2.65,0,"",13,2,6.37,6.37,"*"
"105","UHA-0155",13,"UHA-0012",13,13,0,9.96,"UHA-0257",13,13,3,0.989,0,"",13,3,2.4,1.73,"+"
"107","UHA-0157",13,"UHA-0012",13,13,0,10.3,"UHA-0257",13,13,1,5.98,2.65,"+",13,1,9.55,9.55,"*"
"108","UHA-0158",13,"UHA-0012",13,13,0,8,"UHA-0267",13,13,3,1.31,0,"",13,4,0.799,0.616,"+"
"109","UHA-0159",13,"UHA-0012",13,13,1,5.5,"UHA-0260",13,13,1,5.2,0.924,"-",13,2,6.99,2.59,"*"
"110","UHA-0160",13,"UHA-0012",13,13,0,11.2,"UHA-0256",11,11,2,2.09,0.399,"-",11,4,0.948,0.948,"+"
"111","UHA-0161",13,"UHA-0012",13,13,0,10.3,"UHA-0011",13,13,2,4.1,0,"",13,3,4.37,0.0383,"-"
"112","UHA-0162",12,"UHA-0012",13,12,0,6.67,"UHA-0177",12,12,0,11.9,8.99,"*",12,0,17,11.7,"*"
"113","UHA-0163",13,"UHA-0012",13,13,0,11.8,"UHA-0257",13,13,1,4.84,4.84,"*",13,1,8.56,8.56,"*"
"114","UHA-0164",11,"UHA-0016",11,9,0,8.64,"UHA-0264",13,11,0,11.9,0.483,"-",11,1,8.03,1.12,"+"
"115","UHA-0165",13,"UHA-0016",11,11,1,4.95,"UHA-0266",12,12,1,6.12,0,"",12,2,6.29,0.792,"+"
"116","UHA-0166",13,"UHA-0013",13,13,1,7.81,"UHA-0263",13,13,2,5.79,1.86,"+",13,5,1.41,1.41,"+"
"117","UHA-0167",12,"UHA-0013",13,12,1,5.4,"UHA-0260",13,12,2,3.81,0,"",12,3,5.32,4.51,"*"
"118","UHA-0169",13,"UHA-0013",13,13,0,6.17,"UHA-0269",13,13,0,13.8,7.66,"*",13,0,18.2,18.2,"*"
"119","UHA-0298",13,"UHA-0351",13,13,1,11.7,"UHA-0264",13,13,2,-0.317,0,"",13,3,0.847,0.324,"+"
"120","UHA-0426",13,"UHA-0009",13,13,0,9.22,"UHA-0258",12,12,2,3.02,0,"",12,2,4.49,3.27,"*"
"121","UHA-0427",13,"UHA-0015",13,13,1,7.71,"UHA-0259",12,12,2,1.05,0,"",12,3,2.52,1.89,"+"
"122","UHA-0428",13,"UHA-0015",13,13,1,7.7,"UHA-0266",12,12,2,4.72,0,"",12,3,6.23,4.02,"*"
"123","UHA-0429",13,"UHA-0012",13,13,0,13.1,"UHA-0257",13,13,2,1.17,0,"",13,2,3.27,1.08,"+"
"124","UHA-0430",13,"UHA-0012",13,13,0,10.1,"UHA-0259",12,12,2,1.16,0,"",12,3,1.14,1.14,"+"
"125","UHA-0431",13,"UHA-0012",13,13,0,14.7,"UHA-0512",12,12,1,5.48,3.68,"*",12,3,2.89,1.29,"+"
"126","UHA-0432",12,"UHA-0012",13,12,0,7.7,"UHA-0303",13,12,2,4.77,2.72,"+",12,4,2.91,2.13,"+"
"127","UHA-0433",13,"UHA-0012",13,13,0,7.18,"UHA-0257",13,13,1,5.68,0.975,"-",13,1,8.96,8.59,"*"
"128","UHA-0434",13,"UHA-0012",13,13,1,7.4,"UHA-0016",11,11,1,5.8,0,"",11,5,0.998,0.322,"+"
"129","UHA-0435",13,"UHA-0010",12,12,1,4.61,"UHA-0258",12,12,3,4.73,1.02,"-",12,5,1.98,0.624,"+"
"130","UHA-0436",13,"UHA-0010",12,12,0,10.2,"UHA-0259",12,12,2,2.78,0,"",12,3,2.66,0.898,"+"
"131","UHA-0437",13,"UHA-0010",12,12,1,5.72,"UHA-0258",12,12,2,4.35,0,"",12,2,6.47,1.62,"+"
"132","UHA-0438",13,"UHA-0010",12,12,1,4.51,"UHA-0258",12,12,4,-0.585,0,"",12,4,2.17,0.353,"+"
"133","UHA-0439",13,"UHA-0010",12,12,1,6.38,"UHA-0260",13,13,1,7.48,4.44,"*",13,2,7.15,4.13,"*"
"134","UHA-0440",13,"UHA-0260",13,13,1,3.03,"UHA-0351",13,13,1,9.63,4.99,"*",13,3,11.4,11.4,"*"
"135","UHA-0441",13,"UHA-0260",13,13,0,10.5,"UHA-0261",13,13,1,8.73,3.05,"*",13,1,9.88,3.51,"*"
"136","UHA-0442",13,"UHA-0260",13,13,0,12.1,"UHA-0261",13,13,2,3.74,0,"",13,2,4.29,0.666,"+"
"137","UHA-0443",13,"UHA-0260",13,13,2,1.4,"UHA-0257",13,13,2,2.19,1.88,"+",13,3,6.6,5.77,"*"
"139","UHA-0445",13,"UHA-0260",13,13,2,2.44,"UHA-0257",13,13,1,6.16,3.94,"*",13,2,9.04,5.46,"*"
"140","UHA-0446",13,"UHA-0260",13,13,2,5.77,"UHA-0263",13,13,2,2.7,0,"",13,3,5.57,1.58,"+"
"141","UHA-0447",13,"UHA-0260",13,13,2,2.44,"UHA-0512",12,12,3,4.5,2.81,"+",12,3,5.52,2.05,"+"
"142","UHA-0448",13,"UHA-0260",13,13,1,5.23,"UHA-0257",13,13,2,1.54,0,"",13,3,5,4.73,"*"
"143","UHA-0449",13,"UHA-0260",13,13,3,2.59,"UHA-0257",13,13,1,5.8,4.52,"*",13,3,8.99,6.91,"*"
"144","UHA-0450",13,"UHA-0260",13,13,1,3.53,"UHA-0268",13,13,3,2.28,1.9,"+",13,4,3.61,1.38,"+"
"148","UHA-0454",13,"UHA-0257",13,13,1,5.8,"UHA-0260",13,13,2,2.85,0,"",13,2,6.22,6.22,"*"
"149","UHA-0455",13,"UHA-0257",13,13,1,5.41,"UHA-0260",13,13,2,3.48,1.77,"+",13,3,6.15,6.15,"*"
"150","UHA-0456",13,"UHA-0257",13,13,2,1.77,"UHA-0260",13,13,2,0.649,0.199,"-",13,4,2.92,2.06,"+"
"151","UHA-0457",13,"UHA-0257",13,13,0,8.26,"UHA-0256",11,11,3,0.862,0.862,"-",11,4,0.0858,0.0858,"-"
"152","UHA-0458",13,"UHA-0257",13,13,0,7.16,"UHA-0256",11,11,3,0.862,0.862,"-",11,4,0.237,0.237,"+"
"153","UHA-0459",13,"UHA-0257",13,13,0,11.1,"UHA-0351",13,13,3,1.15,0,"",13,3,2.27,0.479,"+"
"154","UHA-0460",13,"UHA-0257",13,13,2,1.65,"UHA-0260",13,13,1,6.52,5.46,"*",13,2,10.8,9.2,"*"
