"rownames","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
71,"UHA-0119",9,0.000515,0.103,"UHA-0001",9,9,6,-12.3,"UHA-0351",9,9,0,8.16,6.17,"*",9,6,6.19,4.49,"*"
72,"UHA-0120",9,9.5e-05,0.163,"UHA-0001",9,9,7,-16.2,"UHA-0351",9,9,0,9.18,8.66,"*",9,7,7.2,4.78,"*"
73,"UHA-0121",9,0.000133,0.163,"UHA-0001",9,9,7,-16.2,"UHA-0351",9,9,0,11,10.9,"*",9,7,8.7,5.86,"*"
74,"UHA-0122",9,0.000432,0.0212,"UHA-0001",9,9,6,-12.9,"UHA-0351",9,9,0,11.1,9.72,"*",9,6,9.43,5.87,"*"
75,"UHA-0123",9,0.000366,0.163,"UHA-0001",9,9,7,-16.2,"UHA-0263",9,9,1,3.83,0,"",9,7,4.34,0.233,"+"
76,"UHA-0124",8,0.00573,0.203,"UHA-0001",9,8,5,-9.94,"UHA-0010",9,8,0,5.03,2.85,"*",8,5,3.9,1.33,"+"
77,"UHA-0125",9,0.00033,0.199,"UHA-0001",9,9,8,-19.1,"UHA-0263",9,9,1,4.17,0.43,"-",9,8,4.47,0.429,"+"
79,"UHA-0127",8,0.0012,0.0171,"UHA-0001",9,8,4,-8.08,"UHA-0010",9,8,1,2.12,0,"",8,4,4.55,1.78,"+"
81,"UHA-0129",8,0.00542,0.00042,"UHA-0001",9,8,2,-1.72,"UHA-0010",9,8,0,5.15,0,"",8,2,7.97,2.37,"*"
82,"UHA-0130",9,0.000359,0.0534,"UHA-0001",9,9,7,-15.6,"UHA-0010",9,9,1,4.69,1,"+",9,7,5.05,0.622,"+"
83,"UHA-0131",9,0.000187,1,"UHA-0001",9,9,9,-21,"UHA-0263",9,9,0,7.41,4.08,"*",9,9,4.94,1.96,"+"
84,"UHA-0132",9,2.5e-05,0.257,"UHA-0001",9,9,8,-17.3,"UHA-0263",9,9,1,5.91,2.98,"*",9,8,5.91,2.06,"+"
