"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0109","UHA-0257","UHA-0261",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",50.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0021","UHA-0261","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0022","UHA-0261","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0048","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0049","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0053","UHA-0260","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0054","UHA-0260","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0069","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0072","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0073","UHA-0014","UHA-0267",NA,NA,NA,NA,"Quercus muehlenbergii",-88.068212,41.816799,"704-46*9",70.1,NA,NA,NA,NA,NA,"704-46",NA,NA
