"MT_ID","Off_N","Fathers_N","Hybrid_Off_N","Hybrid_Father_N","Half_Sib_Off_N","Half_Sib_Father_N"
"MT1","1","1","0","0","0","0"
"MT2","28","10","2","1","9","6"
"MT3","21","10","4","2","6","3"
"MT4","3","3","1","1","1","1"
"MT5","23","9","1","1","19","6"
"MT6","8","4","0","0","6","2"
"MT7","2","2","0","0","2","2"
"MT8","19","5","0","0","9","2"
"MT9","28","7","1","1","5","2"
"MT10","14","4","0","0","4","1"
"MT11","8","5","0","0","5","2"
