13,417,2,155,262,,,,,,,,,,,,,,,,,,,,,,,
,,,O,UHA-0351,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QpZAG119_1,QpZAG119_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM69-2M1_1,QM69-2M1_2
UHA-0226,P,4,4,11,11,12,9,2,2,12,4,2,2,8,10,7,6,2,2,22,28,4,5,5,5,13,9
UHA-0227,P,3,2,13,13,12,3,2,2,11,21,2,2,3,3,7,4,2,2,29,7,11,5,8,8,10,13
UHA-0228,P,3,2,13,13,10,3,2,2,12,21,2,2,4,4,7,5,2,2,7,7,11,11,9,9,10,13
UHA-0229,P,3,3,10,18,13,4,2,2,12,16,2,2,11,9,4,4,0,0,7,6,4,5,9,9,14,11
UHA-0230,P,0,0,11,16,10,7,3,3,17,19,2,2,4,4,6,5,2,2,10,3,4,4,8,7,11,9
UHA-0231,P,4,3,17,9,5,8,2,2,11,16,2,2,4,18,6,5,2,5,6,6,4,18,8,10,10,9
UHA-0232,P,4,5,9,16,4,8,2,2,11,17,2,2,8,7,5,5,2,2,6,6,4,4,9,7,13,9
UHA-0233,P,3,3,15,8,5,7,2,2,16,5,2,2,4,6,0,0,2,3,8,6,4,4,10,10,9,9
UHA-0238,P,4,4,15,8,5,9,2,2,11,12,2,2,6,13,7,4,2,4,0,0,4,5,8,10,10,9
UHA-0239,P,3,3,15,14,8,9,2,2,13,11,2,2,4,4,6,4,2,2,17,15,4,12,8,8,10,9
UHA-0240,P,4,4,13,15,8,9,2,2,11,11,2,2,5,5,7,4,2,2,21,22,5,12,7,7,10,13
UHA-0241,P,3,3,15,17,13,2,2,2,10,10,2,2,4,4,4,8,3,3,9,9,5,5,9,7,10,13
UHA-0242,P,3,3,13,19,5,8,2,2,7,3,2,2,4,11,4,8,2,3,10,10,5,5,9,12,10,9
UHA-0243,P,3,5,13,16,5,8,2,2,17,16,2,2,5,5,8,8,0,0,10,10,5,5,7,1,10,9
UHA-0244,P,3,2,13,11,12,8,3,2,5,3,2,2,5,5,3,8,2,2,14,10,4,5,7,1,10,11
UHA-0245,P,3,3,14,14,4,3,2,2,14,4,2,2,9,9,3,3,0,0,12,14,4,4,10,10,9,9
UHA-0246,P,3,2,13,14,13,5,2,2,11,5,2,2,4,5,5,4,2,3,0,0,4,5,7,7,10,13
UHA-0247,P,3,5,15,14,2,8,5,2,12,10,2,2,3,3,7,7,0,0,10,10,5,19,10,6,10,12
UHA-0248,P,3,3,8,9,1,1,3,3,9,9,2,2,12,12,3,4,2,2,17,17,4,4,8,8,8,16
UHA-0249,P,3,3,8,9,1,1,3,3,8,20,2,2,14,14,4,4,0,0,17,17,4,4,8,10,11,11
UHA-0251,P,3,10,7,7,10,10,3,1,9,9,2,1,5,5,2,4,3,1,6,2,5,19,6,7,14,18
UHA-0252,P,3,3,12,10,10,4,3,4,11,9,2,2,0,0,2,2,1,4,11,4,11,23,3,3,19,19
UHA-0254,P,4,2,15,16,3,3,4,6,8,4,2,1,0,0,3,5,3,3,5,3,9,9,7,7,11,15
UHA-0255,P,4,3,12,12,13,13,5,4,9,9,2,2,0,0,5,4,2,3,6,6,8,12,10,10,15,9
UHA-0256,P,3,3,15,6,13,6,5,5,21,20,2,2,4,4,0,0,2,2,21,24,0,0,10,10,6,12
UHA-0257,P,3,3,15,14,1,10,5,4,15,19,2,2,8,9,2,3,2,2,23,31,4,4,8,3,6,14
UHA-0258,P,4,3,14,14,12,5,3,5,15,17,2,3,9,9,2,2,0,0,26,24,4,4,8,6,6,6
UHA-0259,P,3,3,15,15,13,6,5,5,11,14,2,2,4,11,0,0,2,2,34,33,4,4,8,6,6,12
UHA-0260,P,3,9,13,13,13,2,3,5,8,15,2,7,12,7,2,2,2,2,8,19,4,4,8,13,6,6
UHA-0261,P,3,2,13,6,12,11,3,5,8,11,2,3,3,12,2,2,2,2,16,16,4,4,8,13,6,6
UHA-0262,P,4,3,13,6,12,13,3,3,13,12,2,2,12,4,2,2,2,2,30,17,4,4,9,9,12,11
UHA-0263,P,4,3,13,6,12,13,3,3,13,12,2,3,12,12,2,2,2,3,30,17,4,4,8,9,6,11
UHA-0264,P,4,3,13,15,11,6,3,3,13,15,2,2,4,6,2,2,3,3,24,24,4,4,8,10,6,2
UHA-0265,P,4,3,13,15,12,13,3,3,13,14,2,3,4,4,2,2,3,3,32,32,4,4,8,10,6,13
UHA-0266,P,4,3,13,15,1,11,3,5,13,19,2,2,11,11,2,2,0,0,19,29,4,4,10,9,6,10
UHA-0267,P,4,3,13,6,12,13,3,5,13,18,2,2,4,4,2,2,3,3,31,19,4,4,8,8,12,11
UHA-0273,P,0,0,15,6,4,18,3,7,8,8,2,2,3,3,7,4,2,3,8,1,4,15,6,5,5,9
UHA-0282,P,3,3,13,11,1,1,2,2,8,5,2,2,3,3,6,6,2,2,7,6,5,5,7,7,13,9
UHA-0283,P,4,4,3,3,5,5,0,0,12,9,2,2,4,4,3,3,2,2,8,8,4,4,7,7,12,15
UHA-0284,P,3,3,14,1,12,9,2,2,15,21,2,2,4,9,7,4,2,2,14,7,4,5,7,7,11,13
UHA-0285,P,4,3,3,3,5,4,3,3,9,5,2,2,6,6,3,3,2,2,8,6,4,4,7,5,12,18
UHA-0286,P,3,3,3,3,11,5,2,2,15,21,2,4,15,5,3,8,2,2,8,5,4,4,7,4,12,12
UHA-0287,P,4,4,3,8,5,4,0,0,14,21,2,2,5,5,3,3,0,0,9,3,4,4,7,4,0,0
UHA-0288,P,3,3,14,14,5,7,2,2,12,21,2,2,4,4,0,0,2,2,13,13,8,5,9,3,6,9
UHA-0289,P,3,2,13,10,8,8,2,2,18,10,2,2,4,4,6,6,0,0,10,10,5,9,7,4,10,9
UHA-0294,P,3,3,14,17,1,2,3,3,14,10,2,2,15,4,7,5,0,0,5,5,5,20,8,10,9,9
UHA-0295,P,0,0,11,9,6,2,3,3,15,16,2,2,3,4,7,7,0,0,7,7,4,5,7,1,11,13
UHA-0299,P,3,3,13,13,8,8,2,2,11,19,2,2,5,5,6,8,3,3,16,5,27,27,9,3,10,11
UHA-0300,P,4,3,3,3,5,5,3,3,16,9,2,2,14,14,3,4,2,2,9,3,4,4,6,3,12,14
UHA-0301,P,4,4,13,15,5,8,2,2,11,10,2,2,4,4,4,4,3,3,35,35,5,5,9,3,13,8
UHA-0302,P,3,7,13,18,1,8,2,2,13,14,2,3,4,9,5,4,0,0,7,9,5,5,10,9,9,9
UHA-0303,P,4,3,14,14,5,8,3,3,11,17,2,2,4,6,5,4,2,3,26,26,4,5,9,9,14,9
UHA-0304,P,3,3,14,10,4,3,2,2,21,20,2,2,3,12,3,5,2,2,33,33,5,5,7,7,10,9
UHA-0305,P,4,4,13,9,8,7,2,2,22,10,2,2,4,4,7,4,0,0,35,20,5,5,3,7,10,8
UHA-0306,P,4,3,13,14,10,8,2,2,8,22,2,2,4,11,6,4,0,0,0,0,11,5,10,10,9,8
UHA-0307,P,3,3,15,15,11,2,2,2,15,16,2,2,7,5,7,9,2,2,23,18,12,6,10,1,12,9
UHA-0308,P,4,4,13,13,5,8,0,0,12,10,2,2,3,3,4,4,0,0,20,10,5,5,9,3,14,8
UHA-0309,P,3,3,15,14,2,4,2,2,16,6,2,2,5,5,7,8,2,2,7,18,11,12,10,1,12,12
UHA-0310,P,3,5,11,16,11,2,2,2,15,10,2,2,7,5,5,8,3,3,25,7,6,22,10,10,14,9
UHA-0311,P,4,6,3,3,4,20,3,3,18,16,2,2,7,18,3,3,2,2,8,6,4,4,6,3,12,18
UHA-0312,P,4,4,13,15,8,9,2,2,15,10,2,2,3,3,3,4,0,0,18,36,5,5,10,3,14,8
UHA-0313,P,4,3,15,20,8,9,2,2,15,11,2,2,4,4,3,5,2,1,9,18,5,12,10,10,14,14
UHA-0314,P,3,3,3,3,6,7,3,3,8,21,2,1,0,0,0,0,0,0,5,6,4,4,8,6,12,12
UHA-0316,P,3,3,15,14,2,10,2,2,15,11,2,2,12,4,5,5,2,1,7,7,4,6,10,7,12,9
UHA-0317,P,3,3,14,17,13,5,2,2,16,5,2,2,3,7,3,3,0,0,31,31,27,14,11,1,10,10
UHA-0318,P,3,3,15,16,8,3,2,2,11,6,2,2,3,9,6,5,0,0,7,7,4,5,10,3,11,11
UHA-0319,P,3,6,3,3,7,20,3,3,18,16,2,2,3,3,3,3,2,2,5,7,4,4,6,3,12,12
UHA-0320,P,4,6,3,3,12,20,3,3,14,18,2,2,3,11,3,3,2,2,32,6,4,4,3,7,12,14
UHA-0321,P,4,3,13,15,8,8,2,2,19,4,2,2,4,9,4,4,0,0,37,37,5,19,10,3,11,9
UHA-0322,P,4,3,15,18,10,9,2,2,11,14,2,3,3,12,6,8,2,2,7,7,21,21,3,7,12,11
UHA-0323,P,3,3,3,11,12,7,3,3,18,5,2,2,3,3,3,3,2,2,6,18,4,4,3,7,12,8
UHA-0324,P,0,0,3,3,11,5,3,3,19,14,2,2,4,4,3,3,2,2,25,6,4,4,6,4,12,12
UHA-0325,P,3,3,3,3,5,10,3,3,13,19,2,2,10,9,3,3,2,2,8,6,4,4,4,4,12,17
UHA-0326,P,4,3,3,3,5,5,2,2,14,16,2,2,4,4,3,3,2,2,25,13,4,4,3,5,12,12
UHA-0327,P,3,3,3,3,5,5,3,3,13,19,2,2,4,5,0,0,2,2,25,10,4,4,6,4,12,12
UHA-0329,P,4,3,13,14,8,8,2,2,12,12,2,2,4,5,5,4,2,2,6,6,5,16,10,4,11,1
UHA-0330,P,3,2,14,16,2,10,2,2,11,9,2,2,3,3,5,5,2,3,9,9,4,5,9,9,9,8
UHA-0331,P,4,2,0,0,6,4,0,0,0,0,2,2,11,5,3,3,2,2,17,7,4,4,6,7,12,12
UHA-0332,P,3,3,13,17,13,2,2,2,15,14,2,2,6,5,6,6,3,3,5,5,20,28,10,1,10,9
UHA-0333,P,4,3,3,3,6,19,3,3,14,20,2,2,3,3,3,3,2,2,7,9,4,4,6,7,12,12
UHA-0334,P,3,3,3,3,5,5,3,3,9,5,2,2,9,9,3,3,2,2,8,8,4,4,7,4,12,3
UHA-0335,P,0,0,13,18,5,7,2,2,11,12,2,2,0,0,5,5,3,3,8,8,5,25,9,9,10,9
UHA-0337,P,3,5,13,13,1,2,2,2,13,12,2,2,3,3,6,5,2,2,8,12,5,6,10,3,10,9
UHA-0338,P,3,6,3,9,5,5,3,3,9,23,2,2,12,5,0,0,2,2,7,7,4,4,3,7,12,14
UHA-0339,P,4,3,3,3,5,5,2,2,18,21,2,2,9,9,3,4,2,2,3,3,4,4,7,7,12,12
UHA-0340,P,3,3,17,12,12,13,2,2,15,17,2,2,10,5,5,5,2,2,6,6,4,5,3,7,10,8
UHA-0343,P,3,3,3,3,11,5,2,2,15,21,2,4,15,5,3,8,2,2,8,5,4,4,7,4,12,12
UHA-0345,P,4,3,14,17,2,8,2,2,16,10,2,2,4,4,5,9,3,3,32,13,5,9,8,7,11,9
UHA-0346,P,3,2,11,9,5,5,0,0,16,7,2,2,3,5,3,7,2,2,26,7,5,5,9,7,10,16
UHA-0347,P,3,2,15,14,11,5,2,2,11,17,2,2,3,4,5,4,0,0,30,30,6,10,10,7,13,9
UHA-0348,P,5,5,13,18,2,8,2,2,13,16,2,2,3,10,5,8,2,2,23,23,25,24,10,3,10,10
UHA-0349,P,4,4,15,11,2,8,0,0,17,5,2,2,0,0,7,8,0,0,23,16,5,6,10,7,10,9
UHA-0350,P,4,3,3,3,5,5,3,3,13,8,2,2,4,4,3,3,2,2,7,27,4,4,7,7,12,14
UHA-0354,P,3,3,12,16,12,2,3,3,11,17,2,2,7,5,5,5,2,2,27,27,6,6,6,7,9,8
UHA-0352,P,3,3,11,18,1,8,2,2,7,7,2,2,3,3,7,9,0,0,24,9,4,22,7,7,10,10
UHA-0353,P,4,3,14,16,1,8,2,2,11,5,2,2,3,4,6,6,0,0,4,27,5,5,9,3,12,9
UHA-0172,P,5,5,8,11,9,16,3,3,16,7,2,2,3,6,7,4,2,3,4,7,5,6,11,7,11,9
UHA-0174,P,3,2,15,15,1,8,3,3,8,6,2,2,10,11,6,6,2,2,4,7,5,6,6,7,11,9
UHA-0175,P,3,3,15,11,1,15,2,2,8,11,2,2,12,4,5,5,3,3,10,10,5,5,10,7,11,13
UHA-0176,P,4,2,3,3,12,4,3,3,12,14,2,2,3,3,3,3,2,2,8,29,4,4,6,7,14,15
UHA-0177,P,3,3,14,14,11,11,2,2,12,9,2,2,0,0,5,5,2,2,8,10,4,11,8,7,9,9
UHA-0178,P,4,4,3,4,12,12,3,3,12,12,2,2,3,3,3,3,2,2,3,18,4,4,6,7,12,14
UHA-0179,P,5,5,12,2,11,10,3,2,12,12,2,1,4,6,3,4,4,4,8,2,0,0,3,7,11,9
UHA-0189,P,3,3,3,3,5,6,3,3,8,14,2,2,8,13,3,3,2,2,7,3,4,4,8,6,14,11
UHA-0190,P,4,3,3,3,5,6,3,3,8,9,2,2,7,13,3,3,2,2,10,3,4,4,3,4,14,11
UHA-0199,P,3,5,15,12,7,7,3,3,14,14,2,2,3,11,6,4,2,2,4,6,0,0,3,4,11,9
UHA-0276,P,4,4,11,10,6,4,4,4,9,9,4,4,5,2,6,5,2,2,11,1,3,3,7,7,12,14
UHA-0277,P,4,4,0,0,5,7,4,4,9,10,3,5,10,2,3,9,2,2,12,11,3,3,7,4,12,14
UHA-0203,P,5,5,8,11,10,14,3,3,14,16,2,2,3,3,4,4,2,4,4,4,0,0,4,5,11,11
UHA-0204,P,5,5,12,12,14,21,3,3,13,12,2,2,3,10,7,4,2,2,4,4,5,6,10,4,11,9
UHA-0234,P,3,2,13,16,6,8,2,2,16,16,2,2,3,3,7,5,2,2,10,6,5,5,10,4,11,13
UHA-0235,P,3,3,13,11,8,8,3,3,15,16,2,2,10,4,6,5,1,1,16,24,4,5,10,4,11,13
UHA-0236,P,5,5,15,16,4,7,3,3,12,16,2,2,10,4,5,12,2,2,8,9,4,4,10,7,12,9
UHA-0268,P,3,3,15,17,13,13,4,4,13,17,2,3,8,4,2,2,2,2,29,29,4,4,10,3,2,8
UHA-0269,P,3,3,15,15,13,5,3,4,11,20,2,2,11,5,2,5,2,2,8,17,8,7,8,10,12,5
UHA-0270,P,3,3,10,18,11,17,3,2,17,18,2,2,3,3,2,3,2,3,0,0,4,4,6,3,6,8
UHA-0271,P,3,3,6,6,6,15,3,2,18,21,2,2,10,11,2,3,2,3,9,9,4,4,8,3,6,7
UHA-0272,P,3,5,13,18,13,10,5,2,17,17,2,3,3,8,2,2,2,2,22,9,4,4,6,3,6,5
UHA-0355,P,3,3,13,11,5,2,2,2,17,12,2,2,11,9,5,12,0,0,5,9,5,29,3,7,5,13
UHA-0356,P,3,5,14,18,2,8,3,3,17,16,2,2,4,5,2,6,3,3,7,33,27,16,8,8,10,14
UHA-0357,P,3,3,13,18,1,7,2,2,15,16,2,2,9,2,7,5,2,2,24,7,5,16,6,1,14,9
UHA-0358,P,3,3,17,18,1,11,2,2,13,17,2,2,4,9,7,7,3,3,24,11,4,5,10,3,11,11
UHA-0359,P,4,3,14,16,5,9,3,3,19,6,2,2,11,5,6,6,2,2,5,33,27,21,9,4,12,13
UHA-0361,P,0,0,13,14,2,8,0,0,0,0,2,3,3,8,6,6,2,2,25,5,6,28,3,7,10,12
UHA-0362,P,3,3,13,13,2,8,2,2,15,18,2,2,3,6,5,8,2,2,26,26,4,14,10,3,10,10
UHA-0363,P,3,3,13,18,1,8,0,0,0,0,2,2,3,3,6,6,2,2,24,20,4,6,3,3,11,9
UHA-0379,P,4,3,3,3,4,15,3,3,13,13,2,2,3,12,3,3,2,2,12,18,4,4,6,6,6,12
UHA-0365,P,3,3,13,14,5,9,2,2,15,12,2,2,3,3,6,6,2,2,23,7,27,27,3,1,12,9
UHA-0366,P,4,3,14,16,2,9,3,5,15,12,2,2,4,19,7,7,2,2,8,7,8,26,9,1,10,12
UHA-0367,P,4,3,3,3,8,16,3,3,13,9,3,3,8,10,3,3,2,2,17,14,4,4,6,6,12,9
UHA-0368,P,4,3,3,3,5,4,3,3,8,8,1,1,3,7,3,3,2,2,8,9,4,4,7,7,14,11
UHA-0369,P,4,3,3,3,5,6,3,3,13,13,2,2,3,6,3,3,2,2,17,9,4,4,6,5,12,15
UHA-0370,P,3,2,3,3,6,7,0,0,8,2,2,2,3,6,3,3,2,2,7,7,4,4,3,7,11,15
UHA-0371,P,3,3,3,3,6,6,0,0,8,9,2,2,12,8,3,3,2,2,26,6,4,4,6,7,12,14
UHA-0372,P,3,2,15,14,5,14,0,0,15,12,2,2,3,3,6,5,2,2,30,7,5,27,8,1,10,12
UHA-0373,P,3,2,13,13,5,5,0,0,0,0,2,2,4,5,6,10,5,5,5,5,19,14,10,7,10,8
UHA-0374,P,3,3,14,16,5,8,3,3,12,4,2,2,10,20,10,11,2,3,25,11,6,6,7,7,11,9
UHA-0375,P,2,2,15,16,2,10,3,3,10,10,2,2,4,4,6,10,2,3,5,5,4,5,10,4,10,9
UHA-0376,P,3,3,13,13,8,8,3,2,12,12,2,2,4,4,4,4,2,3,26,26,5,6,7,7,10,9
UHA-0377,P,3,3,3,4,5,4,3,3,13,9,2,2,3,10,3,3,2,2,24,7,4,4,6,7,12,15
UHA-0378,P,4,3,3,3,5,16,3,3,14,10,2,2,4,16,3,3,2,2,8,27,4,4,8,6,14,17
UHA-0380,P,4,3,3,3,5,10,0,0,13,11,2,2,3,5,3,3,2,2,21,24,4,4,6,6,12,12
UHA-0381,P,3,3,3,8,12,4,2,2,9,20,2,1,3,6,3,3,2,2,24,17,4,4,6,7,12,12
UHA-0382,P,4,4,3,8,5,10,3,3,14,9,2,2,3,3,3,3,2,2,6,18,4,4,7,4,12,12
UHA-0383,P,4,4,3,2,6,10,0,0,17,9,2,2,8,6,0,0,2,2,9,6,4,4,6,5,14,14
UHA-0384,P,3,3,3,3,5,6,2,2,11,19,2,2,4,14,3,3,0,0,9,18,4,4,7,7,12,15
UHA-0385,P,3,3,3,4,4,4,2,2,19,18,2,2,8,5,3,3,2,2,28,28,4,4,6,6,12,12
UHA-0386,P,3,2,3,3,5,7,0,0,13,21,2,2,13,13,3,3,2,2,10,3,4,4,6,6,15,15
UHA-0387,P,2,2,3,3,4,7,2,2,13,19,2,2,4,5,3,3,2,2,33,18,4,4,6,6,12,12
UHA-0388,P,4,2,3,3,5,8,3,3,19,19,2,2,4,6,3,3,2,2,17,33,4,4,8,6,12,17
UHA-0389,P,4,2,3,3,5,7,0,0,11,16,2,2,8,4,3,3,2,2,5,9,4,4,3,5,12,17
UHA-0390,P,2,2,3,3,5,7,3,3,8,19,2,2,4,4,3,3,2,2,6,18,4,4,6,7,12,18
UHA-0391,P,4,4,3,4,5,6,3,3,19,10,3,3,15,5,3,3,2,2,7,18,4,4,6,3,12,16
UHA-0392,P,4,4,3,3,5,15,3,3,13,14,2,2,3,12,3,3,2,2,12,7,4,4,6,6,6,12
UHA-0393,P,4,2,3,4,5,15,3,3,17,18,2,2,14,14,3,3,2,2,24,12,4,4,8,6,12,12
UHA-0394,P,3,1,3,3,8,17,3,3,8,12,2,2,3,5,3,3,2,2,7,6,4,4,6,4,14,17
UHA-0395,P,2,2,13,14,10,7,2,2,13,19,2,3,4,5,3,6,0,0,14,38,5,23,9,9,13,9
UHA-0396,P,2,1,13,14,5,3,2,2,11,19,2,3,8,9,3,4,3,3,5,14,5,23,9,7,9,9
UHA-0397,P,3,3,15,14,5,15,2,2,19,14,2,3,4,4,6,11,0,0,22,22,5,15,9,7,12,9
UHA-0398,P,3,3,15,8,11,2,5,2,12,22,2,2,9,5,3,5,3,3,21,8,4,8,10,7,10,9
UHA-0399,P,3,2,13,16,5,8,2,2,12,20,2,2,7,7,7,5,0,0,6,6,4,5,9,3,10,13
UHA-0400,P,3,3,13,14,2,8,2,2,15,12,2,3,3,4,8,8,2,2,25,5,5,6,2,2,10,9
UHA-0401,P,3,2,15,18,0,0,2,2,0,0,2,2,8,2,3,6,2,3,6,6,4,5,10,7,10,9
UHA-0402,P,3,3,0,0,0,0,2,2,0,0,2,2,8,4,5,5,2,2,8,18,5,22,10,9,10,9
UHA-0404,P,4,4,3,3,5,5,3,3,13,14,2,2,9,9,3,3,2,2,8,17,4,4,6,9,14,15
UHA-0405,P,3,3,15,18,5,5,2,2,8,16,2,2,3,6,5,5,2,2,14,28,4,23,9,7,14,9
UHA-0406,P,3,3,13,11,5,2,2,2,5,7,2,2,4,4,6,6,2,3,16,13,5,5,7,7,10,9
UHA-0407,P,3,3,15,16,5,5,2,2,15,11,2,2,3,9,6,6,4,4,22,22,5,22,7,7,10,14
UHA-0408,P,4,4,3,3,5,4,2,2,19,18,2,2,3,6,3,3,2,2,17,3,4,4,7,5,14,14
UHA-0409,P,3,3,14,14,1,5,2,2,15,12,2,2,9,5,6,5,2,2,31,24,5,5,9,1,9,9
UHA-0410,P,3,3,3,3,4,8,3,3,14,9,2,2,10,4,3,3,2,2,35,35,4,27,6,6,12,18
UHA-0411,P,3,3,14,16,1,5,2,2,15,12,2,2,8,9,6,4,0,0,24,9,5,5,7,1,9,9
UHA-0412,P,3,3,3,3,4,8,3,3,14,9,2,2,10,4,3,3,2,2,35,35,4,27,6,6,12,18
UHA-0413,P,3,3,11,18,5,2,3,3,13,7,2,2,4,4,3,3,3,3,16,24,5,18,9,7,10,13
UHA-0414,P,4,3,3,3,5,4,2,2,18,16,2,2,6,16,3,3,2,2,17,6,4,4,3,3,12,18
UHA-0415,P,4,2,3,3,4,7,2,2,14,18,2,1,10,6,3,3,2,2,8,27,4,4,6,3,12,18
UHA-0416,P,4,3,3,3,12,4,2,2,10,20,3,1,3,6,3,3,2,2,17,6,4,4,6,7,12,14
UHA-0417,P,4,3,3,3,5,16,3,3,15,14,2,1,4,4,3,3,2,2,19,7,4,4,8,6,14,8
UHA-0418,P,3,3,3,3,5,16,3,3,13,14,2,1,4,6,3,3,2,2,24,3,4,4,6,6,14,18
UHA-0419,P,4,3,3,3,5,4,3,3,13,10,2,2,6,5,3,3,2,2,17,10,4,4,3,3,12,17
UHA-0420,P,3,3,13,14,13,2,2,2,5,6,2,2,4,4,6,6,2,2,16,6,5,5,9,7,9,9
UHA-0421,P,3,3,15,18,6,8,2,2,13,17,2,2,12,5,5,9,2,1,8,10,5,21,10,7,12,12
UHA-0422,P,3,2,14,3,8,7,3,3,18,9,3,8,3,3,3,3,2,2,8,10,4,4,6,4,10,12
UHA-0423,P,4,3,3,3,5,7,2,2,14,14,2,2,11,13,3,3,2,2,25,6,4,4,6,7,14,14
UHA-0424,P,4,4,13,11,4,8,2,2,8,14,2,2,4,6,7,6,2,2,33,33,5,5,3,7,11,11
UHA-0425,P,3,5,14,18,2,8,2,2,17,16,2,2,4,5,2,6,3,3,7,33,27,16,8,8,10,14
UHA-0461,P,4,4,14,14,2,8,3,3,17,12,2,2,3,4,6,4,2,2,26,10,4,13,9,3,9,1
UHA-0462,P,0,0,14,19,8,7,2,2,17,10,2,2,11,9,5,5,3,3,32,10,4,11,10,9,9,9
UHA-0463,P,3,2,15,14,2,2,2,2,7,10,2,2,4,6,6,9,0,0,5,7,5,20,7,7,9,20
UHA-0464,P,3,3,13,14,11,2,2,2,11,7,2,2,4,6,7,6,3,3,5,7,4,20,7,7,10,20
UHA-0465,P,3,3,13,14,2,8,3,3,11,11,2,2,10,4,7,5,3,3,31,5,4,5,8,8,10,13
UHA-0466,P,3,5,14,14,5,5,2,2,12,16,2,2,4,5,6,5,2,2,20,6,5,5,10,3,10,11
UHA-0467,P,3,3,13,14,10,8,2,2,12,6,2,2,4,7,7,6,0,0,13,11,5,21,3,3,10,9
UHA-0468,P,4,3,17,20,12,8,3,3,8,12,2,2,4,9,6,11,3,3,35,11,5,5,8,10,13,9
UHA-0469,P,3,3,15,17,2,8,3,3,8,15,2,2,4,19,5,5,3,4,24,24,4,25,7,7,10,9
UHA-0470,P,3,3,14,14,4,8,2,2,11,18,2,2,3,12,5,8,2,2,25,7,5,21,3,7,10,11
UHA-0471,P,3,3,16,16,5,8,2,2,15,11,2,2,19,19,7,6,3,4,7,7,15,12,3,7,12,9
UHA-0472,P,2,2,14,14,1,10,2,2,11,12,2,2,4,2,6,6,0,0,25,14,11,11,3,7,10,9
UHA-0473,P,3,3,13,18,13,3,2,2,11,14,2,2,4,7,7,4,3,3,11,11,5,5,8,3,10,14
UHA-0474,P,3,3,13,14,2,4,3,3,11,12,2,2,4,11,6,6,2,3,14,6,11,6,10,7,10,9
UHA-0475,P,2,2,15,14,10,9,2,2,11,10,2,2,3,4,6,6,3,3,5,14,11,5,10,7,10,10
UHA-0180,P,7,7,13,13,1,8,2,2,15,11,2,2,4,5,5,5,2,2,11,37,5,5,9,7,11,9
UHA-0181,P,4,3,13,14,2,9,2,2,8,10,2,4,12,5,6,12,3,3,7,27,5,5,10,9,10,13
UHA-0182,P,3,5,14,10,2,8,2,2,16,6,2,3,3,11,9,13,0,0,4,4,5,29,8,8,14,11
UHA-0278,P,4,4,10,10,5,7,5,4,9,6,3,4,11,2,5,5,2,2,5,4,3,3,11,11,12,12
UHA-0279,P,4,4,3,4,5,6,3,3,13,16,2,2,3,5,3,3,2,2,8,6,4,4,6,6,12,9
UHA-0280,P,4,3,14,20,5,9,2,2,8,16,2,2,4,6,6,6,2,3,25,7,5,17,7,1,11,9
UHA-0291,P,4,4,3,3,4,20,3,3,19,14,2,2,7,7,3,3,2,2,7,6,4,4,6,6,12,18
UHA-0315,P,3,5,15,17,5,6,3,3,13,8,2,2,3,11,4,8,3,3,7,6,5,5,3,3,12,9
UHA-0328,P,4,4,13,16,5,7,2,2,11,14,2,2,4,4,6,5,3,3,39,39,5,5,10,9,10,9
UHA-0344,P,3,3,14,16,2,10,2,2,11,16,2,2,4,18,6,6,3,3,14,6,11,6,7,4,10,10
UHA-0351,P,3,3,13,6,6,10,3,5,15,15,2,3,4,11,1,1,2,2,31,22,4,4,8,3,6,10
