13,417,2,155,262,,,,,,,,,,,,,,,,,,,,,,,
,,,O,UHA-0351,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QpZAG119_1,QpZAG119_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM69-2M1_1,QM69-2M1_2
UHA-0069,O,4,3,13,15,13,11,3,3,13,19,2,2,12,4,2,2,3,3,19,29,4,4,8,9,10,12
UHA-0072,O,4,3,13,13,1,12,3,5,19,12,2,2,4,11,2,2,2,2,31,19,4,4,8,10,6,12
UHA-0073,O,4,3,13,6,12,13,3,3,13,18,2,2,4,4,2,2,3,3,30,31,4,4,8,9,11,11
UHA-0074,O,3,3,13,14,13,10,5,4,13,19,2,2,8,4,2,3,2,3,30,31,4,4,8,3,6,12
UHA-0076,O,4,3,13,13,1,12,3,5,13,13,2,2,4,11,2,2,3,3,31,29,4,4,8,9,6,12
UHA-0100,O,4,3,14,14,12,10,3,4,17,19,2,2,11,9,2,2,2,2,23,26,4,4,6,3,6,6
UHA-0102,O,3,3,6,14,1,6,3,5,15,19,2,3,11,9,2,2,2,2,31,22,4,4,3,3,6,6
UHA-0106,O,3,3,13,14,1,13,5,4,8,19,2,2,12,8,2,2,2,2,31,8,4,4,13,3,6,6
UHA-0110,O,4,3,15,14,12,10,5,5,15,15,2,2,11,9,2,2,2,2,23,23,4,4,6,3,6,14
UHA-0036,O,3,2,6,14,12,10,0,0,8,19,2,2,12,9,2,2,2,2,23,29,4,4,13,3,6,6
UHA-0037,O,3,3,6,14,11,10,5,4,15,11,2,2,3,9,2,3,2,3,31,29,4,4,8,13,6,6
UHA-0038,O,3,2,13,6,12,6,5,5,15,11,2,3,12,11,2,1,2,3,31,29,4,4,8,8,6,6
UHA-0089,O,4,4,15,6,12,11,3,3,13,13,2,2,12,4,2,2,3,3,31,29,4,4,9,9,10,11
UHA-0040,O,3,2,13,6,12,6,3,5,8,15,2,3,12,4,2,2,2,2,31,29,4,4,8,13,6,10
UHA-0041,O,3,9,6,6,13,11,3,5,8,8,2,7,3,7,2,2,2,2,19,16,4,4,8,13,6,6
UHA-0090,O,4,3,13,15,13,11,5,5,13,19,2,2,4,11,2,2,3,3,19,19,4,4,8,10,10,11
UHA-0059,O,3,9,14,14,1,2,5,5,15,15,2,7,12,9,2,2,2,2,23,8,4,4,8,8,6,6
UHA-0063,O,4,2,3,3,12,4,3,3,12,14,2,2,3,3,3,3,2,2,8,29,4,4,6,7,14,15
UHA-0082,O,3,3,15,6,1,13,3,5,13,13,2,2,12,4,2,2,3,3,31,19,4,4,8,9,6,11
UHA-0083,O,4,3,15,6,13,11,3,3,13,12,2,2,12,4,2,2,2,2,19,29,4,4,9,9,10,11
