"","QS03797...1","MSQ13...1","QrZAG20...1","QS00314...1","QpZAG9...1","QS1904...1","MSQ4...1","QpZAG110...1","QS00562...1","QpZAG119...1","QrZAG87...1","QpZAG1.5...1","QM69.2M1...1"
"Observed frequency",10.4,12.1,2.76,28.3,3.66,3.17,9.25,32.4,21.2,10.4,19.3,8.89,8.89
"Median frequency",10.3,12,2.7,28.2,3.57,3.07,9.22,32.3,21,10.3,19.2,8.87,8.85
"2.5th percentile",6.94,9.02,1.04,23.9,1.73,0.837,6.6,28.3,16.5,7.83,16,6.24,6.55
"97.5th percentile",14,15.2,4.67,32.8,5.56,5.43,11.8,36.1,25.5,12.9,22.8,11.5,11.4
