Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
UHA-0026,11, 2.04739301626655E-0003, 1.13729505458458E-0004,UHA-0261,12,11,0, 8.80922887396227E+0000,UHA-0016,10,9,0, 2.44004654417049E+0000, 0.00000000000000E+0000,,9,2, 1.36869608733616E+0000, 1.36869608733616E+0000,-,
UHA-0026,11, 2.04739301626655E-0003, 1.13729505458458E-0004,UHA-0261,12,11,0, 8.80922887396227E+0000,UHA-0217,12,11,3,-1.08798401873369E+0000, 0.00000000000000E+0000,,11,3, 7.25380426745119E-0001, 0.00000000000000E+0000,,
UHA-0026,11, 2.04739301626655E-0003, 1.13729505458458E-0004,UHA-0261,12,11,0, 8.80922887396227E+0000,UHA-0264,12,11,1, 1.23585227662697E+0000, 0.00000000000000E+0000,,11,3, 3.03720280715217E-0001, 0.00000000000000E+0000,,
UHA-0027,12, 4.19254751310024E-0004, 1.37382196244662E-0006,UHA-0261,12,12,0, 7.13654168731160E+0000,UHA-0257,12,12,0, 9.29549006238143E+0000, 9.29549006238143E+0000,*,12,0, 1.31013883997937E+0001, 1.31013883997937E+0001,*,
UHA-0027,12, 4.19254751310024E-0004, 1.37382196244662E-0006,UHA-0261,12,12,0, 7.13654168731160E+0000,UHA-0258,11,11,2, 4.19660797936827E+0000, 0.00000000000000E+0000,,11,4, 7.40114114367892E-0001, 0.00000000000000E+0000,,
UHA-0028,12, 4.08440288624353E-0004, 1.26838008015558E-0005,UHA-0261,12,12,1, 7.57194716321576E+0000,UHA-0257,12,12,0, 5.86406948814773E+0000, 5.86406948814773E+0000,+,12,2, 7.60238633085086E+0000, 7.60238633085086E+0000,*,
UHA-0028,12, 4.08440288624353E-0004, 1.26838008015558E-0005,UHA-0261,12,12,1, 7.57194716321576E+0000,UHA-0258,11,11,2, 2.53388467884938E+0000, 0.00000000000000E+0000,,11,4, 3.81931382592409E-0001, 0.00000000000000E+0000,,
UHA-0029,12, 1.28750172180934E-0003, 3.11615359934037E-0006,UHA-0261,12,12,0, 7.19501448352896E+0000,UHA-0257,12,12,0, 7.84235584875598E+0000, 7.84235584875598E+0000,*,12,0, 1.21590768132460E+0001, 1.21590768132460E+0001,*,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0010,11,11,0, 7.19356204427148E+0000, 7.19356204427148E+0000,*,11,0, 7.38892889329368E+0000, 7.38892889329368E+0000,*,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0011,12,12,1, 4.70402225921275E+0000, 0.00000000000000E+0000,,12,1, 5.31256989678805E+0000, 0.00000000000000E+0000,,
