Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0020,8,UHA-0261,9,8,0, 7.35876033737491E+0000,UHA-0260,9,8,0, 1.51231411258772E+0001, 1.30794911469703E+0001,*,8,0, 1.75304015986162E+0001, 1.75304015986162E+0001,*,
UHA-0021,9,UHA-0261,9,9,0, 8.84676518205788E+0000,UHA-0260,9,9,0, 1.52553725111055E+0001, 1.07203312555887E+0001,*,9,0, 1.69761583609048E+0001, 1.69761583609048E+0001,*,
UHA-0022,8,UHA-0261,9,8,0, 5.93035319663722E+0000,UHA-0257,8,8,0, 6.44774354694982E+0000, 4.86460466009679E+0000,*,8,0, 9.65029091696672E+0000, 5.94145562607134E+0000,*,
UHA-0023,7,UHA-0261,9,7,0, 3.99171237191947E+0000,UHA-0260,9,7,0, 8.62318169147349E+0000, 4.48145035941933E+0000,*,7,0, 9.59614674633925E+0000, 9.59614674633925E+0000,*,
UHA-0025,8,UHA-0261,9,8,0, 7.89496110586958E+0000,UHA-0258,8,8,1, 3.61691642707582E+0000, 3.61691642707582E+0000,+,8,1, 6.00095952873547E+0000, 6.00095952873547E+0000,*,
UHA-0026,9,UHA-0261,9,9,0, 9.54877914327500E+0000,UHA-0016,7,7,0, 1.60014772279687E+0000, 0.00000000000000E+0000,,7,2,-3.74236781070869E+0000, 0.00000000000000E+0000,,
UHA-0027,9,UHA-0261,9,9,0, 6.95765908885340E+0000,UHA-0257,8,8,0, 7.39773238790099E+0000, 7.39773238790099E+0000,*,8,0, 1.08821631507552E+0001, 1.08821631507552E+0001,*,
UHA-0028,9,UHA-0261,9,9,0, 9.74228958459070E+0000,UHA-0257,8,8,0, 4.05517042720706E+0000, 2.09543617898400E+0000,+,8,1, 3.97928730270285E+0000, 3.97928730270285E+0000,*,
UHA-0029,9,UHA-0261,9,9,0, 8.67449398184183E+0000,UHA-0257,8,8,0, 5.94825539704281E+0000, 5.06092444157740E+0000,*,8,0, 9.75679137249128E+0000, 9.75679137249128E+0000,*,
UHA-0039,9,UHA-0261,9,9,0, 1.29088015913376E+0001,UHA-0010,9,9,0, 7.72349046239070E+0000, 6.31227486512792E+0000,*,9,0, 7.56536927684469E+0000, 6.68209332830381E+0000,*,
