Offspring_ID,Maternal_ID,MT_ID,Candidate_father_ID,CF_ID,Maternal_Species,Maternal_Longitude,Maternal_Latitude,Maternal_Accession,Candidate_Father_Species,Candidate_Father_Longitude,Candidate_Father_Latitude,Candidate_Father_Accession,DBH1_Paternal,DBH2_Paternal,DBH3_Paternal,DBH4_Paternal,Half_Sibs,M_Accession_Abrv,F_Accession_Abrv,dist_par,Hybrid_Status
UHA-0133,UHA-0010,MT2,UHA-0011,CF1,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.068655,41.815796,704-46*7,82.8,NA,NA,NA,TRUE,704-46,704-46,134.4551994,FALSE
UHA-0137,UHA-0010,MT2,UHA-0015,MT6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.063254,41.81167,704-46*12,55.2,NA,NA,NA,TRUE,704-46,704-46,644.8753571,FALSE
UHA-0142,UHA-0010,MT2,UHA-0210,CF3,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus × deamii,-88.067528,41.816267,616-30*3,85.6,NA,NA,NA,FALSE,704-46,616-30,35.19804903,TRUE
UHA-0135,UHA-0010,MT2,UHA-0257,MT8,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,312.8118677,FALSE
UHA-0141,UHA-0010,MT2,UHA-0257,MT8,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,312.8118677,FALSE
UHA-0123,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0124,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0127,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0128,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0129,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0130,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0134,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0136,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0143,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0435,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0437,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0438,UHA-0010,MT2,UHA-0258,CF6,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,704-46,549-82,304.266359,FALSE
UHA-0147,UHA-0010,MT2,UHA-0259,CF7,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.066622,41.817259,550-82*6,54.5,NA,NA,NA,FALSE,704-46,550-82,100.7069102,FALSE
UHA-0436,UHA-0010,MT2,UHA-0259,CF7,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.066622,41.817259,550-82*6,54.5,NA,NA,NA,FALSE,704-46,550-82,100.7069102,FALSE
UHA-0139,UHA-0010,MT2,UHA-0260,MT9,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,66.6,NA,NA,NA,FALSE,704-46,570-78,320.6091763,FALSE
UHA-0439,UHA-0010,MT2,UHA-0260,MT9,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,66.6,NA,NA,NA,FALSE,704-46,570-78,320.6091763,FALSE
UHA-0131,UHA-0010,MT2,UHA-0263,CF9,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.063389,41.811663,704-46*11,61.1,NA,NA,NA,TRUE,704-46,704-46,639.5970447,FALSE
UHA-0132,UHA-0010,MT2,UHA-0263,CF9,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.063389,41.811663,704-46*11,61.1,NA,NA,NA,TRUE,704-46,704-46,639.5970447,FALSE
UHA-0144,UHA-0010,MT2,UHA-0265,CF11,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.063121,41.811813,704-46*16,52.5,NA,NA,NA,TRUE,704-46,704-46,637.6370587,FALSE
UHA-0126,UHA-0010,MT2,UHA-0266,CF12,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,630.2475785,FALSE
UHA-0140,UHA-0010,MT2,UHA-0266,CF12,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,630.2475785,FALSE
UHA-0138,UHA-0010,MT2,UHA-0293,CF16,Quercus muehlenbergii,-88.067413,41.816572,704-46*8,Quercus muehlenbergii,-88.0641549,41.8132325,NA,74.6,NA,NA,NA,NA,704-46,NA,459.2028416,FALSE
