Offspring_ID,Maternal_ID,MT_ID,Candidate_father_ID,CF_ID,Maternal_Species,Maternal_Longitude,Maternal_Latitude,Maternal_Accession,Candidate_Father_Species,Candidate_Father_Longitude,Candidate_Father_Latitude,Candidate_Father_Accession,DBH1_Paternal,DBH2_Paternal,DBH3_Paternal,DBH4_Paternal,Half_Sibs,M_Accession_Abrv,F_Accession_Abrv,dist_par,Hybrid_Status
UHA-0022,UHA-0261,MT10,UHA-0257,MT8,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,40.82877374,FALSE
UHA-0027,UHA-0261,MT10,UHA-0257,MT8,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,40.82877374,FALSE
UHA-0028,UHA-0261,MT10,UHA-0257,MT8,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,40.82877374,FALSE
UHA-0029,UHA-0261,MT10,UHA-0257,MT8,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,40.82877374,FALSE
UHA-0036,UHA-0261,MT10,UHA-0257,MT8,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,40.82877374,FALSE
UHA-0025,UHA-0261,MT10,UHA-0258,CF6,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,570-78,549-82,41.92008769,FALSE
UHA-0041,UHA-0261,MT10,UHA-0260,MT9,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,66.6,NA,NA,NA,TRUE,570-78,570-78,12.10702155,FALSE
UHA-0026,UHA-0261,MT10,UHA-0351,MT11,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,51.19926945,FALSE
UHA-0038,UHA-0261,MT10,UHA-0351,MT11,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,51.19926945,FALSE
UHA-0040,UHA-0261,MT10,UHA-0351,MT11,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,51.19926945,FALSE
