Offspring_ID,Maternal_ID,MT_ID,Candidate_father_ID,CF_ID,Maternal_Species,Maternal_Longitude,Maternal_Latitude,Maternal_Accession,Candidate_Father_Species,Candidate_Father_Longitude,Candidate_Father_Latitude,Candidate_Father_Accession,DBH1_Paternal,DBH2_Paternal,DBH3_Paternal,DBH4_Paternal,Half_Sibs,M_Accession_Abrv,F_Accession_Abrv,dist_par,Hybrid_Status
UHA-0046,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0048,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0049,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0059,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0443,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0445,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0448,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0449,UHA-0260,MT9,UHA-0257,MT8,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,570-78,549-82,52.08593873,FALSE
UHA-0056,UHA-0260,MT9,UHA-0258,CF6,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.06581,41.814109,549-82*6,39.2,NA,NA,NA,FALSE,570-78,549-82,53.79470629,FALSE
UHA-0052,UHA-0260,MT9,UHA-0259,CF7,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.066622,41.817259,550-82*6,54.5,NA,NA,NA,FALSE,570-78,550-82,384.4873918,FALSE
UHA-0055,UHA-0260,MT9,UHA-0259,CF7,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.066622,41.817259,550-82*6,54.5,NA,NA,NA,FALSE,570-78,550-82,384.4873918,FALSE
UHA-0043,UHA-0260,MT9,UHA-0261,MT10,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,50.6,NA,NA,NA,TRUE,570-78,570-78,12.10702155,FALSE
