Offspring_ID,Maternal_ID,MT_ID,Candidate_father_ID,CF_ID,Maternal_Species,Maternal_Longitude,Maternal_Latitude,Maternal_Accession,Candidate_Father_Species,Candidate_Father_Longitude,Candidate_Father_Latitude,Candidate_Father_Accession,DBH1_Paternal,DBH2_Paternal,DBH3_Paternal,DBH4_Paternal,Half_Sibs,M_Accession_Abrv,F_Accession_Abrv,dist_par,Hybrid_Status
UHA-0161,UHA-0012,MT3,UHA-0011,CF1,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.068655,41.815796,704-46*7,82.8,NA,NA,NA,TRUE,704-46,704-46,539.5247995,FALSE
UHA-0434,UHA-0012,MT3,UHA-0016,MT7,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.063069,41.811735,704-46*14,46.2,NA,NA,NA,TRUE,704-46,704-46,302.4976964,FALSE
UHA-0162,UHA-0012,MT3,UHA-0177,CF2,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus macrocarpa,-88.06620011,41.8109599,NA,33.3,NA,NA,NA,NA,704-46,NA,43.49197583,TRUE
UHA-0160,UHA-0012,MT3,UHA-0256,CF5,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.065297,41.814547,474-2001*1,29.5,NA,NA,NA,FALSE,704-46,474-20,390.100542,FALSE
UHA-0154,UHA-0012,MT3,UHA-0257,MT8,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,325.4359331,FALSE
UHA-0155,UHA-0012,MT3,UHA-0257,MT8,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,325.4359331,FALSE
UHA-0157,UHA-0012,MT3,UHA-0257,MT8,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,325.4359331,FALSE
UHA-0163,UHA-0012,MT3,UHA-0257,MT8,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,325.4359331,FALSE
UHA-0429,UHA-0012,MT3,UHA-0257,MT8,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,325.4359331,FALSE
UHA-0433,UHA-0012,MT3,UHA-0257,MT8,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.06577,41.814038,549-82*4,68.2,NA,NA,NA,FALSE,704-46,549-82,325.4359331,FALSE
UHA-0153,UHA-0012,MT3,UHA-0259,CF7,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.066622,41.817259,550-82*6,54.5,NA,NA,NA,FALSE,704-46,550-82,675.1931878,FALSE
UHA-0430,UHA-0012,MT3,UHA-0259,CF7,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.066622,41.817259,550-82*6,54.5,NA,NA,NA,FALSE,704-46,550-82,675.1931878,FALSE
UHA-0152,UHA-0012,MT3,UHA-0260,MT9,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,66.6,NA,NA,NA,FALSE,704-46,570-78,292.7602642,FALSE
UHA-0159,UHA-0012,MT3,UHA-0260,MT9,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,66.6,NA,NA,NA,FALSE,704-46,570-78,292.7602642,FALSE
UHA-0150,UHA-0012,MT3,UHA-0266,CF12,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,292.9266689,FALSE
UHA-0158,UHA-0012,MT3,UHA-0267,CF13,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.068212,41.816799,704-46*9,70.1,NA,NA,NA,TRUE,704-46,704-46,637.7423447,FALSE
UHA-0432,UHA-0012,MT3,UHA-0303,CF17,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus macrocarpa,-88.0638,41.813691,NA,112.4,NA,NA,NA,NA,704-46,NA,364.9630876,TRUE
UHA-0151,UHA-0012,MT3,UHA-0351,MT11,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,704-46,549-82,324.7156798,FALSE
UHA-0148,UHA-0012,MT3,UHA-0476,CF18,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus muehlenbergii,-88.0714096,41.8145509,122-88*1,68.7,37.2,NA,NA,FALSE,704-46,122-88,545.6283755,FALSE
UHA-0431,UHA-0012,MT3,UHA-0512,CF19,Quercus muehlenbergii,-88.066633,41.81118,704-46*1,Quercus macrocarpa,-88.0643909,41.8165587,NA,56.1,NA,NA,NA,NA,704-46,NA,625.7850576,TRUE
