"","N","MLG","nAll","Allelic Richness","Expected Heterozygosity"
"Offspring",154,154,109,8.25869727323362,0.581083441726069
"Parents",314,301,228,15.6676422936792,0.731593635551266
"Total",468,455,232,11.9631697834564,0.72541754429552
