Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0020,12,UHA-0261,13,12,0, 1.02435010435507E+0001,UHA-0260,13,12,0, 1.80078818320531E+0001, 1.48614622366988E+0001,*,12,0, 2.04258368549691E+0001, 2.04258368549691E+0001,*,
UHA-0021,13,UHA-0261,13,13,1, 6.71073224460473E+0000,UHA-0260,13,13,1, 1.31193395736524E+0001, 7.48152870168821E+0000,*,13,1, 1.80850700284203E+0001, 1.80850700284203E+0001,*,
UHA-0022,12,UHA-0261,13,12,1, 3.79432025918407E+0000,UHA-0257,12,12,0, 8.94435908202397E+0000, 8.94435908202397E+0000,*,12,1, 1.18597076577237E+0001, 7.32350691469564E+0000,*,
UHA-0023,10,UHA-0261,13,10,0, 5.36016816753017E+0000,UHA-0260,13,10,0, 9.99163748708419E+0000, 5.15968335277053E+0000,*,10,0, 1.06640912778388E+0001, 1.06640912778388E+0001,*,
UHA-0025,12,UHA-0261,13,12,0, 1.03671549978575E+0001,UHA-0258,11,11,1, 5.80816987055540E+0000, 5.80816987055540E+0000,*,11,1, 7.89559811100354E+0000, 7.89559811100354E+0000,*,
UHA-0026,12,UHA-0261,13,12,0, 1.10253343188220E+0001,UHA-0016,10,9,0, 2.65633209009469E+0000, 0.00000000000000E+0000,,9,2,-2.68518815296571E+0000, 0.00000000000000E+0000,,
UHA-0027,13,UHA-0261,13,13,0, 9.15553783146986E+0000,UHA-0257,12,12,0, 1.03302076017628E+0001, 9.74906973477322E+0000,*,12,0, 1.42384546220620E+0001, 1.42384546220620E+0001,*,
UHA-0028,13,UHA-0261,13,13,1, 7.60625664713755E+0000,UHA-0257,12,12,0, 6.55178596228121E+0000, 3.48928209761081E+0000,+,12,2, 6.18870404345989E+0000, 6.18870404345989E+0000,*,
UHA-0029,13,UHA-0261,13,13,0, 9.07155042308917E+0000,UHA-0257,12,12,0, 8.76870234460198E+0000, 8.57971659536160E+0000,*,12,0, 1.33908352118605E+0001, 1.33908352118605E+0001,*,
UHA-0039,13,UHA-0261,13,13,0, 1.47027624899744E+0001,UHA-0010,12,12,0, 9.22046988136047E+0000, 5.92323503668313E+0000,*,12,0, 9.19371203645528E+0000, 5.44673892764323E+0000,*,
UHA-0043,11,UHA-0260,13,11,0, 6.78835013127418E+0000,UHA-0261,13,11,0, 7.22540042956573E+0000, 6.58042244458113E+0000,*,11,1, 5.96642273627940E+0000, 5.96642273627940E+0000,*,
UHA-0045,13,UHA-0260,13,13,0, 1.37668581794217E+0001,UHA-0010,12,12,2,-1.52862636003696E+0000, 0.00000000000000E+0000,,12,2,-2.17758394131011E+0000, 0.00000000000000E+0000,,
UHA-0047,13,UHA-0260,13,13,0, 1.03475673352257E+0001,UHA-0271,13,13,3,-6.77099598021542E+0000, 0.00000000000000E+0000,,13,3,-5.86826086035443E+0000, 0.00000000000000E+0000,,
UHA-0052,13,UHA-0260,13,13,0, 1.62045374096744E+0001,UHA-0266,11,11,3,-6.04964687005376E+0000, 0.00000000000000E+0000,,11,3,-4.82611477874323E+0000, 0.00000000000000E+0000,,
UHA-0056,11,UHA-0260,13,11,0, 5.77539471084106E+0000,UHA-0258,11,10,0, 8.51569849917291E+0000, 6.57624500144096E+0000,*,10,0, 9.96483607650887E+0000, 9.96483607650887E+0000,*,
