Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0050,13, 4.62825433487667E-0005, 4.58963309920495E-0007,UHA-0260,13,13,0, 1.12586546533230E+0001,UHA-0261,13,13,2, 6.08347597548237E+0000, 5.27769111112684E+0000,*,13,2, 5.76798591111245E+0000, 4.74228039244851E+0000,*,
UHA-0051,13, 1.10412676806940E-0006, 8.21316989547494E-0006,UHA-0260,13,13,4,-1.03634801094109E+0001,UHA-0258,12,12,5,-1.33542652684720E+0001, 0.00000000000000E+0000,,12,6,-1.73937128918589E+0000, 0.00000000000000E+0000,,
UHA-0052,13, 5.98494859926528E-0005, 2.34721352472377E-0008,UHA-0260,13,13,1, 5.55930574640385E+0000,UHA-0259,12,12,1, 4.99301457915952E+0000, 4.99301457915952E+0000,*,12,4,-1.81397693157370E+0000, 0.00000000000000E+0000,,
UHA-0053,13, 1.45734770490374E-0004, 5.70734350003060E-0005,UHA-0260,13,13,2, 4.15579088088052E-0001,UHA-0351,13,13,1, 7.68888928221676E+0000, 7.68888928221676E+0000,*,13,3, 7.92266247120599E+0000, 7.92266247120599E+0000,*,
UHA-0054,13, 1.59509382376684E-0004, 9.66173726454376E-0005,UHA-0260,13,13,2, 9.87292535118553E-0001,UHA-0351,13,13,2, 1.33187494503955E+0000, 1.33187494503955E+0000,+,13,4, 9.43481536956483E-0001, 9.43481536956483E-0001,+,
UHA-0055,13, 6.09693118270446E-0005, 6.39858288006229E-0006,UHA-0260,13,13,3,-5.35536507256145E+0000,UHA-0259,12,12,2, 1.39360037367854E-0001, 1.39360037367854E-0001,-,12,6,-5.61725739067893E+0000, 0.00000000000000E+0000,,
UHA-0056,12, 5.09877366338429E-0004, 1.25437318240730E-0004,UHA-0260,13,12,2,-2.05547144191251E+0000,UHA-0258,12,11,3,-4.28078430691782E+0000, 0.00000000000000E+0000,,11,3, 3.15660125394626E+0000, 3.15660125394626E+0000,*,
UHA-0058,12, 1.62128900960491E-0004, 7.01355182904817E-0006,UHA-0260,13,12,2, 4.68160352553561E-0001,UHA-0351,13,12,0, 1.33471484099146E+0001, 1.33471484099146E+0001,*,12,2, 1.49285941848441E+0001, 1.49285941848441E+0001,*,
UHA-0059,13, 4.00925003661819E-0005, 2.12632038496333E-0005,UHA-0260,13,13,3,-3.67366548064558E+0000,UHA-0257,13,13,1, 4.25074784013546E+0000, 3.32721741591490E+0000,+,13,4, 6.19397257732771E+0000, 6.19397257732771E+0000,*,
UHA-0068,12, 3.41771616710145E-0004, 1.18139979580604E-0005,UHA-0014,13,12,0, 8.44602531333437E+0000,UHA-0224,13,12,1, 4.75865123347926E+0000, 0.00000000000000E+0000,,12,1, 5.67974807125847E+0000, 1.10990121397591E-0003,+,
UHA-0069,13, 2.75091787149311E-0004, 7.25114754384120E-0007,UHA-0014,13,13,0, 7.84707719921445E+0000,UHA-0266,12,12,1, 6.36374526335747E+0000, 0.00000000000000E+0000,,12,1, 7.82537182438810E+0000, 7.82537182438810E+0000,*,
