Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0146,13, 2.38305427607173E-0005, 9.94298176546715E-0007,UHA-0010,12,12,0, 1.08507048172607E+0001,UHA-0260,13,13,3,-3.70900621941024E+0000, 0.00000000000000E+0000,,13,4,-9.16648721952235E+0000, 0.00000000000000E+0000,,
UHA-0147,12, 6.67112687303308E-0005, 3.31735107546282E-0007,UHA-0010,12,11,0, 8.75269150048320E+0000,UHA-0259,12,11,0, 8.49925369453191E+0000, 8.49925369453191E+0000,*,11,3,-2.31459877361574E+0000, 0.00000000000000E+0000,,
UHA-0148,13, 1.42682386384374E-0005, 3.70724625978676E-0007,UHA-0012,13,13,1, 7.15459262284216E+0000,UHA-0476,13,13,0, 1.40903441435716E+0001, 1.40903441435716E+0001,*,13,1, 1.59603516064398E+0001, 1.59603516064398E+0001,*,
UHA-0150,13, 1.12292611942648E-0004, 6.85252283883747E-0007,UHA-0012,13,13,0, 1.09521894154390E+0001,UHA-0266,12,12,0, 1.22174463487260E+0001, 1.22174463487260E+0001,*,12,0, 1.51785706613669E+0001, 1.51785706613669E+0001,*,
UHA-0151,13, 1.18600406172061E-0004, 2.00015299410995E-0005,UHA-0012,13,13,0, 1.43147307721500E+0001,UHA-0351,13,13,1, 3.42792472381788E+0000, 3.42792472381788E+0000,+,13,1, 5.99540272966832E+0000, 5.99540272966832E+0000,*,
UHA-0152,13, 2.11094570925503E-0004, 5.43491182412206E-0007,UHA-0012,13,13,0, 9.98211231826403E+0000,UHA-0260,13,13,2, 2.56772710770671E+0000, 0.00000000000000E+0000,,13,3,-4.54074301645341E-0001, 0.00000000000000E+0000,,
UHA-0153,13, 2.02322927270839E-0005, 9.72693068648039E-0008,UHA-0012,13,13,0, 1.35923970654231E+0001,UHA-0259,12,12,2,-2.77927857467449E+0000, 0.00000000000000E+0000,,12,3,-4.90137421890596E+0000, 0.00000000000000E+0000,,
UHA-0154,13, 5.50785865789063E-0005, 1.66688334465181E-0005,UHA-0012,13,13,1, 4.74334766984278E+0000,UHA-0257,13,13,2,-1.03362033411350E+0000, 0.00000000000000E+0000,,13,2, 4.90561555156907E+0000, 4.90561555156907E+0000,*,
UHA-0155,13, 1.76867339196921E-0004, 3.88578623748407E-0007,UHA-0012,13,13,0, 1.10448717603642E+0001,UHA-0257,13,13,3,-4.96918892391203E+0000, 0.00000000000000E+0000,,13,3,-3.66046024889069E+0000, 0.00000000000000E+0000,,
UHA-0156,13, 3.94014670310613E-0005, 1.18651112914755E-0010,UHA-0012,13,13,1, 4.05507654946712E+0000,UHA-0263,13,13,1, 1.69697769837382E+0000, 1.69697769837382E+0000,+,13,6,-1.57311676998587E+0001, 0.00000000000000E+0000,,
UHA-0157,13, 1.13736490092664E-0004, 1.18843458131714E-0006,UHA-0012,13,13,0, 1.14717643379415E+0001,UHA-0257,13,13,1, 4.76896674074438E+0000, 4.76896674074438E+0000,*,13,1, 8.31249686177826E+0000, 8.31249686177826E+0000,*,
UHA-0158,13, 1.17046354268539E-0004, 8.60191696463384E-0008,UHA-0012,13,13,0, 8.85196558526506E+0000,UHA-0267,13,13,3,-4.59426920456307E+0000, 0.00000000000000E+0000,,13,4,-7.33128370596408E+0000, 0.00000000000000E+0000,,
UHA-0159,13, 2.44660862373700E-0004, 1.69027921007908E-0005,UHA-0012,13,13,1, 4.05908729766099E+0000,UHA-0260,13,13,1, 3.79504587739502E+0000, 3.23399305057692E+0000,+,13,2, 5.52930691162629E+0000, 2.95766186068995E+0000,*,
UHA-0160,13, 1.30677011967651E-0004, 1.41620618314721E-0007,UHA-0012,13,13,0, 1.22786660473500E+0001,UHA-0256,11,11,2,-1.77178539441281E+0000, 0.00000000000000E+0000,,11,4,-7.53028318954170E+0000, 0.00000000000000E+0000,,
UHA-0161,13, 1.88913180762262E-0004, 1.10638491266305E-0006,UHA-0012,13,13,0, 1.14130645696622E+0001,UHA-0011,13,13,2, 3.03596831495513E-0001, 0.00000000000000E+0000,,13,3,-1.49827832633876E+0000, 0.00000000000000E+0000,,
UHA-0162,12, 1.01176556193218E-0003, 2.41133229418970E-0007,UHA-0012,13,12,0, 7.43512181713568E+0000,UHA-0177,12,12,0, 1.31009874764510E+0001, 1.23619217818307E+0001,*,12,0, 1.84486260580362E+0001, 1.47160878899485E+0001,*,
UHA-0163,13, 2.06462258916384E-0004, 2.12324366379443E-0006,UHA-0012,13,13,0, 1.29046534456313E+0001,UHA-0257,13,13,1, 3.49653285461474E+0000, 3.49653285461474E+0000,+,13,1, 7.18128414773440E+0000, 7.18128414773440E+0000,*,
UHA-0164,11, 5.68504649906756E-0004, 7.79239913597682E-0005,UHA-0016,11,9,0, 9.51273309158608E+0000,UHA-0264,13,11,0, 1.30325728175437E+0001, 5.08012162540815E-0001,-,11,1, 6.54995349172055E+0000, 1.16961345367304E+0000,+,
UHA-0165,13, 6.29708730664310E-0005, 4.57232271855869E-0005,UHA-0016,11,11,1, 3.59409103779203E+0000,UHA-0266,12,12,1, 4.85390438941517E+0000, 0.00000000000000E+0000,,12,2, 4.77564715530128E+0000, 2.98287419244219E+0000,*,
UHA-0166,13, 3.39513392867682E-0006, 8.68957264099302E-0009,UHA-0013,13,13,1, 6.58626105916545E+0000,UHA-0263,13,13,2, 2.36495517367622E+0000, 2.15121134860748E+0000,+,13,5,-7.10216324203484E+0000, 0.00000000000000E+0000,,
UHA-0167,12, 2.82130789367248E-0004, 9.10834235850202E-0007,UHA-0013,13,12,1, 3.89013741567826E+0000,UHA-0260,13,12,2,-8.09813004907642E-0002, 0.00000000000000E+0000,,12,3, 1.46019073229846E+0000, 1.46019073229846E+0000,+,
UHA-0169,13, 6.55382157741748E-0004, 4.11021370280186E-0009,UHA-0013,13,13,0, 6.94713078340573E+0000,UHA-0269,13,13,0, 1.50247246407690E+0001, 8.07753417885234E+0000,*,13,0, 1.97060510737472E+0001, 1.97060510737472E+0001,*,
UHA-0298,13, 4.13985092413982E-0004, 7.36764656862304E-0004,UHA-0351,13,13,1, 1.08084592972156E+0001,UHA-0264,13,13,2,-4.48984586361428E+0000, 0.00000000000000E+0000,,13,3,-3.23072653533373E+0000, 0.00000000000000E+0000,,
UHA-0426,13, 4.00782050849432E-0004, 1.58628194691358E-0006,UHA-0009,13,13,0, 1.03745039213797E+0001,UHA-0258,12,12,2,-7.36844322486903E-0001, 0.00000000000000E+0000,,12,2, 6.49212595980802E-0001, 6.49212595980802E-0001,+,
UHA-0427,13, 6.10793588088981E-0005, 2.54023496952750E-0007,UHA-0015,13,13,1, 6.31853783123089E+0000,UHA-0259,12,12,2,-3.03625476916293E+0000, 0.00000000000000E+0000,,12,3,-3.32807584870267E+0000, 0.00000000000000E+0000,,
UHA-0428,13, 2.56433641730466E-0005, 3.56983628325825E-0007,UHA-0015,13,13,1, 6.43847941457512E+0000,UHA-0266,12,12,2, 1.23850542179546E+0000, 0.00000000000000E+0000,,12,3, 2.59212702843055E+0000, 2.59212702843055E+0000,+,
UHA-0429,13, 6.86517867745430E-0005, 3.33216328500279E-0006,UHA-0012,13,13,0, 1.42843250576794E+0001,UHA-0257,13,13,2,-2.69384656779908E+0000, 0.00000000000000E+0000,,13,2,-6.73176093929478E-0001, 0.00000000000000E+0000,,
UHA-0430,13, 5.83799115904614E-0005, 3.10410229153942E-0007,UHA-0012,13,13,0, 1.10759982452717E+0001,UHA-0259,12,12,2,-2.77927857467449E+0000, 0.00000000000000E+0000,,12,3,-4.83733224630866E+0000, 0.00000000000000E+0000,,
UHA-0431,13, 1.72190801694727E-0005, 8.00523375755569E-0008,UHA-0012,13,13,0, 1.58026779712511E+0001,UHA-0512,12,12,1, 3.94844537715308E+0000, 3.94844537715308E+0000,*,12,3,-3.21993917131951E+0000, 0.00000000000000E+0000,,
UHA-0432,12, 1.71506561171287E-0004, 7.03059024114264E-0007,UHA-0012,13,12,0, 8.60121794455363E+0000,UHA-0257,13,12,3,-6.60362139135486E+0000, 0.00000000000000E+0000,,12,3,-5.47168745754757E+0000, 0.00000000000000E+0000,,
UHA-0433,13, 6.36092388970024E-0004, 2.67482780221202E-0006,UHA-0012,13,13,0, 8.10140301242251E+0000,UHA-0257,13,13,1, 4.43418894414013E+0000, 1.16813696722174E+0000,+,13,1, 7.78863217450001E+0000, 7.78863217450001E+0000,*,
UHA-0434,13, 3.84883695888332E-0005, 3.02281553605864E-0009,UHA-0012,13,13,1, 6.08842462169573E+0000,UHA-0016,11,11,1, 4.25707893660679E+0000, 0.00000000000000E+0000,,11,5,-7.59160420400846E+0000, 0.00000000000000E+0000,,
UHA-0435,13, 6.27803941587483E-0006, 1.45909877438169E-0007,UHA-0010,12,12,1, 3.07150091270989E+0000,UHA-0272,13,13,3,-4.64568472223663E+0000, 0.00000000000000E+0000,,13,4,-4.90122347637130E+0000, 0.00000000000000E+0000,,
UHA-0436,13, 1.18982585380636E-0004, 2.10584790274925E-0006,UHA-0010,12,12,0, 1.13731771182165E+0001,UHA-0016,11,11,0, 7.87028417427350E+0000, 7.74425373839232E-0001,-,11,2,-2.77306287075020E+0000, 0.00000000000000E+0000,,
UHA-0437,13, 1.37675382778220E-0004, 1.06205531903550E-0004,UHA-0010,12,12,1, 4.39279140973819E+0000,UHA-0258,12,12,2, 7.79719260121573E-0001, 0.00000000000000E+0000,,12,2, 4.79232590583062E+0000, 3.63835681661105E+0000,*,
UHA-0438,13, 3.32769285574221E-0005, 6.43783846560290E-0006,UHA-0010,12,12,1, 2.97517202881463E+0000,UHA-0331,10,10,3,-7.08075745177279E+0000, 0.00000000000000E+0000,,10,3,-2.25562728426694E+0000, 0.00000000000000E+0000,,
UHA-0439,13, 2.10416786117471E-0005, 9.40360009786517E-0006,UHA-0010,12,12,1, 4.91616301050335E+0000,UHA-0260,13,13,1, 6.26320040424860E+0000, 6.26320040424860E+0000,*,13,2, 5.51541230196461E+0000, 5.51541230196461E+0000,*,
UHA-0440,13, 2.73565883603920E-0004, 1.25445986844636E-0008,UHA-0260,13,13,1, 1.08658363082894E+0000,UHA-0351,13,13,1, 8.45898585997615E+0000, 5.45499712547869E+0000,*,13,3, 8.32078689214745E+0000, 8.32078689214745E+0000,*,
UHA-0441,13, 1.03090544760270E-0004, 4.42626212013997E-0006,UHA-0260,13,13,0, 1.14140980112594E+0001,UHA-0261,13,13,1, 7.51023868183389E+0000, 3.21490664899001E+0000,+,13,1, 8.56214485305713E+0000, 3.67251866619746E+0000,*,
UHA-0442,13, 9.27075721725309E-0005, 5.63592750541507E-0006,UHA-0260,13,13,0, 1.34737258677340E+0001,UHA-0261,13,13,2,-5.91485379807336E-0002, 0.00000000000000E+0000,,13,2, 2.87500180501493E-0001, 2.87500180501493E-0001,+,
UHA-0443,13, 5.35257610981386E-0004, 5.44849255092839E-0006,UHA-0260,13,13,2,-2.62136191467581E+0000,UHA-0257,13,13,2,-1.71443970417097E+0000, 0.00000000000000E+0000,,13,3, 5.10896881571374E+0000, 5.10896881571374E+0000,*,
UHA-0444,13, 2.59299165279310E-0004, 1.27253011792113E-0006,UHA-0260,13,13,3,-9.13815308496717E+0000,UHA-0257,13,13,2,-2.28011043136227E+0000, 0.00000000000000E+0000,,13,5, 9.63757465651603E-0001, 9.63757465651603E-0001,+,
UHA-0445,13, 9.39234953529550E-0005, 7.39166665073855E-0005,UHA-0260,13,13,2,-1.39595655274970E+0000,UHA-0257,13,13,1, 4.90738997395426E+0000, 4.90738997395426E+0000,*,13,2, 9.81836814372607E+0000, 9.81836814372607E+0000,*,
UHA-0446,13, 1.18780927470981E-0004, 6.44134991468029E-0005,UHA-0260,13,13,2, 2.07019257731265E+0000,UHA-0263,13,13,2,-1.09589169938664E+0000, 0.00000000000000E+0000,,13,3, 4.01458059851362E+0000, 1.70686214193419E+0000,+,
UHA-0447,13, 4.66121739258272E-0004, 1.77370872274829E-0005,UHA-0260,13,13,2,-1.52424501164821E+0000,UHA-0512,12,12,3,-1.26782063074528E+0000, 0.00000000000000E+0000,,12,3, 3.68274933576868E+0000, 3.68274933576868E+0000,*,
UHA-0448,13, 4.70119427724239E-0004, 1.94056143194343E-0006,UHA-0260,13,13,1, 3.72138220624208E+0000,UHA-0257,13,13,2,-2.50905118430948E+0000, 0.00000000000000E+0000,,13,3, 1.21836229169417E+0000, 1.21836229169417E+0000,+,
UHA-0449,13, 7.33574144094358E-0005, 1.32589592201113E-0004,UHA-0260,13,13,3,-3.32068720844301E+0000,UHA-0257,13,13,1, 4.43765300966685E+0000, 4.43765300966685E+0000,*,13,3, 9.74534361970427E+0000, 9.74534361970427E+0000,*,
UHA-0450,13, 2.69459401136515E-0004, 6.45265118842916E-0007,UHA-0260,13,13,1, 1.79983237155793E+0000,UHA-0268,13,13,3,-3.69711832626378E+0000, 0.00000000000000E+0000,,13,4,-2.38344468427964E+0000, 0.00000000000000E+0000,,
UHA-0451,13, 3.76610987831310E-0004, 1.77817666050422E-0006,UHA-0260,13,13,3,-9.60500041962767E+0000,UHA-0257,13,13,2,-2.62534142976344E+0000, 0.00000000000000E+0000,,13,5, 6.15114065043826E-0001, 6.15114065043826E-0001,+,
UHA-0452,13, 3.49030661520025E-0005, 1.34556908283154E-0005,UHA-0260,13,13,4,-1.16711640707912E+0001,UHA-0257,13,13,1, 4.26261005826884E+0000, 4.26261005826884E+0000,*,13,6, 1.22384580470632E+0000, 1.22384580470632E+0000,+,
UHA-0453,13, 6.03469369949954E-0004, 4.62652330168961E-0006,UHA-0260,13,13,2,-4.53782031774250E+0000,UHA-0268,13,13,3,-3.69711832626378E+0000, 0.00000000000000E+0000,,13,4, 1.06814877995305E+0000, 3.13172939622503E-0001,+,
UHA-0454,13, 1.11526975438620E-0004, 2.37902756440846E-0005,UHA-0257,13,13,1, 4.49197323001231E+0000,UHA-0260,13,13,2,-9.72468389000232E-0001, 0.00000000000000E+0000,,13,2, 4.48123325051912E+0000, 4.48123325051912E+0000,*,
UHA-0455,13, 5.23255027653430E-0005, 5.64103092907575E-0007,UHA-0257,13,13,1, 3.90111763465710E+0000,UHA-0260,13,13,2,-3.75252294830569E-0001, 0.00000000000000E+0000,,13,3, 2.47079478091158E+0000, 2.47079478091158E+0000,+,
UHA-0456,13, 5.26523159495817E-0004, 2.89380116472956E-0005,UHA-0257,13,13,2,-2.17540858426885E+0000,UHA-0260,13,13,2,-3.48423485544891E+0000, 0.00000000000000E+0000,,13,4,-1.06943553500847E+0000, 0.00000000000000E+0000,,
UHA-0457,13, 3.45823425427998E-0005, 2.47533729052702E-0007,UHA-0257,13,13,0, 9.02356935255735E+0000,UHA-0256,11,11,3,-5.25260698274611E+0000, 0.00000000000000E+0000,,11,4,-8.14729815996832E+0000, 0.00000000000000E+0000,,
UHA-0458,13, 4.37261670853305E-0005, 4.53764644448049E-0008,UHA-0257,13,13,0, 7.87925954974723E+0000,UHA-0256,11,11,3,-5.25260698274611E+0000, 0.00000000000000E+0000,,11,4,-7.99792701656699E+0000, 0.00000000000000E+0000,,
UHA-0459,13, 3.64348686671469E-0004, 1.64233397660164E-0005,UHA-0257,13,13,0, 1.22949403955998E+0001,UHA-0351,13,13,3,-4.82771307324488E+0000, 0.00000000000000E+0000,,13,3,-3.80834603632508E+0000, 0.00000000000000E+0000,,
UHA-0460,13, 9.11839603036315E-0004, 9.84697103087624E-0006,UHA-0257,13,13,2,-2.25053979742700E+0000,UHA-0260,13,13,1, 5.23528936119863E+0000, 5.23528936119863E+0000,*,13,2, 1.18284014438194E+0001, 1.18284014438194E+0001,*,
