"PlantId","ProvenanceType","SuppliedAs","ReceivedYear","CalcFullName","CalcNameSort","TradeSeries","Trademark","TrademarkRegistered","LivingAccessionDonor","Collectors","FieldNumber","CollectionDay","CollectionMonth","CollectionYear","LocalityNotes","GardenLocalityName","GardenSubarea3","GardenSubarea5","GardenSubarea4","CalcRemainingPlantQuantity","GardenSubarea1","GardenSubarea2","GardenLayout","Annotate","GardenSequence","Latitude","Longitude","HazardCode","HazardNote","CommemorationCategory","CommemorationText","CommemorationDate","CommemorationPerson","Sponsor","CommemorationNotes","Inventnote","Invcomment","Comments","Quercus_tf"
"1444-2004*1","w","seed",2004,"Quercus × fontana Laughlin","QUERCUSFONTANA",NA,"","","2004 MWPCC OZARK EXPED.","","MWPCC 2004-129",28,10,2004,"west edge of Hawn State Park","Quercus","south section","",NA,1,"G-99","76-59","","T",4000,41.813395,-88.05148,"","","","","","","","","","","",TRUE
"384-2014*1","w","seed",2014,"Quercus alba L.","QUERCUSALBA",NA,"","","MORTON","?","s.n.",5,9,2014,"Oak Collection, East Side of The Morton Arboretum north of Lisle","Morton East Woods","May Watts area","",NA,5,"G-137","area","","ND",99999,41.813644,-88.037763,"","","","","","","","","scattered throughout area","","",TRUE
"214-91*7","w","seed",1991,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","1991 MORTON IA-NE SD. EXPED.","","s.n.",17,9,1991,"along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28","Fagaceae","south section","",NA,1,"M-18","26-67","","T",600,41.814151,-88.081203,"","","","","","","","","","-- go south to the center of the meadow --","",TRUE
"549-82*3","w","seed",1982,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1502",22,9,1982,"in Oswego Township Cemetery","Fagaceae","north section","",NA,1,"K-14","73-71","","T",200,41.813694,-88.082635,"","","","","","","","","","","",TRUE
"755-79*2","w","seed",1979,"Quercus alba L.","QUERCUSALBA",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1220",19,9,1979,"along the northern edge of the Iroquois County Conservation Area","Midwest","west section","",NA,1,"M-59","21-49","","T",9200,41.814518,-88.066243,"","","available","","","","","","","","",TRUE
"1134-2004*5","w","seed",2004,"Quercus marilandica Münchh. [1]","QUERCUSMARILANDICA1",NA,"","","2004 MWPCC OZARK EXPED.","","MWPCC 2004-003",19,10,2004,"along I-44 roadside, old Rte 66","Quercus","south section","",NA,1,"J-94","63-87","","T",860,41.814138,-88.053245,"","","","","","","","","","-- stay west of Hackberry --","",TRUE
"704-46*6","w","seed",1946,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Nordine, RM","s.n.",NA,NA,NA,"site not noted","Meadow Lake","east side","",NA,1,"Q-55","33-98","","T",1400,41.815615,-88.06758,"","","in memory of","In Memory of Nora Mae and Robert DeBates","","Nora Mae and Robert DeBates","","","","-- go north -- -- Note: plants in the seep area are inventoried as part of the Diversity -- Collection","",TRUE
"38-83*1","w","seed",1983,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MINN. LANDSC. ARB.","?","s.n.",NA,NA,NA,"","Sargent's Glade","south section","",NA,1,"W-19","21-74","","ND",1760,41.81689,-88.080933,"","","in memory of","In Memory of George Charles Duda","","George Charles Duda","","","","","",TRUE
"19-2012*2","z","plant",2012,"Quercus macranthera Fisch. & C.A.Mey. ex Hohen.","QUERCUSMACRANTHERA",NA,"","","USDA, ARS BELTSVILLE","?","AZB-2008-015",15,10,2008,"Gusarchay Village","Quercus","north section","",NA,1,"L-104","17-28","","ND",4460,41.814649,-88.049814,"","","","","","","","","","","",TRUE
"215-91*2","w","seed",1991,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","1991 MORTON IA-NE SD. EXPED.","","s.n.",18,9,1991,"8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park","Quercus","north section","",NA,1,"L-103","72-44","","T",4580,41.814791,-88.05013,"","","","","","","","","","","Transplanted 19APR2004 from J-12/19-26 to L-103/72-44.",TRUE
"576-40*1","w","plant",1940,"Quercus shumardii var. schneckii (Britton) Sarg.","QUERCUSSHUMARDIISCHNECKII",NA,"","","U. KENTUCKY","?","s.n.",NA,NA,NA,"","Quercus","south section","",NA,1,"M-93","84-62","","T",760,41.815007,-88.053742,"","","","","","","","","","","",TRUE
"564-2009*3","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"AZ-108","90-23","","ND",99999,41.811593,-88.04823,"","","","","","","","","","","",TRUE
"184-92*4","w","seed",1992,"Quercus imbricaria Michx.","QUERCUSIMBRICARIA",NA,"","","MORTON-STAFF","Linden, PJ van der","s.n.",14,9,1992,"from a cemetery along Regan Road west of Mokena","Eastern North America","Appalachia","north section",NA,1,"DD-73","71-73","","T",7620,41.819449,-88.061238,"","","","","","","","","","","",TRUE
"265-90*11","w","seed",1990,"Quercus mongolica Fisch. ex Ledeb. [1]","QUERCUSMONGOLICA1",NA,"","","MORTON-STAFF","?","s.n.",30,9,1990,"Pangquangou Nature Protection Area, Luliang Shan (Luliang Mountains)","Quercus","north section","",NA,1,"N-97","56-21","","T",7340,41.815238,-88.052436,"","","","","","","","","","","Transplanted from EE-40/91-03 to N-97/56-21 Oct. 2002.",TRUE
"1173-2004*1","w","seed",2004,"Quercus coccinea Münchh. [1]","QUERCUSCOCCINEA1",NA,"","","2004 MWPCC OZARK EXPED.","","MWPCC 2004-129",28,10,2004,"west edge of Hawn State Park","Lake Jopamaca","north side","",NA,1,"Q-26","69-35","","T",3120,41.815438,-88.078443,"","","","","","","","","","","",TRUE
"2175-29*10","g","plant",1929,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","NAPERVILLE N.","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"S-82","75-12","","T",8700,41.816521,-88.058029,"","","","","","","","","","","",TRUE
"305-94*1","w","seed",1994,"Quercus marilandica Münchh. [1]","QUERCUSMARILANDICA1",NA,"","","INT. OAK SOC.","Green, T","s.n.",NA,NA,NA,"near Oquaka","Quercus","north section","",NA,1,"M-99","30-97","","T",6040,41.814918,-88.051409,"","","","","","","","","","","",TRUE
"1164-2004*2","w","seed",2004,"Quercus falcata Michx. [1]","QUERCUSFALCATA1",NA,"","","2004 MWPCC OZARK EXPED.","","MWPCC 2004-103",25,10,2004,"Village Creek State Park near visitor center parking lot","Lake Jopamaca","west side","",NA,1,"R-26","30-80","","T",2660,41.815609,-88.078286,"","","","","","","","","","","",TRUE
"702-2006*2","w","seed",2006,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","INT. OAK SOC.","?","s.n.",30,10,2006,"Texas A & M Research Station","Quercus","south section","",NA,1,"L-93","68-18","","T",720,41.814685,-88.053889,"","","","","","","","","","","",TRUE
"548-82*2","w","seed",1982,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1501",22,9,1982,"in Oswego Township Cemetery","Midwest","southwest section","",NA,1,"K-61","37-41","","T",4020,41.814031,-88.065516,"","","in memory of","In Memory of Robert T. Filip","","Robert T. Filip","","","","","",TRUE
"333-94*7","w","seed",1994,"Quercus mongolica Fisch. ex Ledeb. [1]","QUERCUSMONGOLICA1",NA,"","","NACPEC 1994 BEIJING EXPED.","","NACPEC BJG-027",14,9,1994,"at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve","Quercus","north section","",NA,1,"N-98","79-26","","ND",7220,41.81531,-88.052054,"","","","","","","","","","-- go south of trail --","Transplanted from DD-35/46-13 to N-98/79-26 Sep. 2002.",TRUE
"74-2002*4","g","seed",2002,"Quercus acutissima Carruth.","QUERCUSACUTISSIMA",NA,"","","CHIBA U.","?","s.n.",NA,NA,NA,"on grounds of Osaka Prefectural University","Quercus","south section","",NA,1,"N-94","02-68","","T",1080,41.815066,-88.053356,"","","","","","","","","","","Poor root system when planted 16APR2008.",TRUE
"468-2001*2","w","seed",2001,"Quercus alba L.","QUERCUSALBA",NA,"","","MORTON","Hedborn Jr, EA","1555",27,9,2001,"along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles","Midwest","east section","",NA,1,"O-68","49-28","","T",4680,41.815225,-88.063049,"","","","","","","","","","","",TRUE
"265-90*3","w","seed",1990,"Quercus mongolica Fisch. ex Ledeb. [1]","QUERCUSMONGOLICA1",NA,"","","MORTON-STAFF","?","s.n.",30,9,1990,"Pangquangou Nature Protection Area, Luliang Shan (Luliang Mountains)","China","central section","",NA,1,"BB-67","12-23","","ND",10580,41.818678,-88.063589,"","","in memory of","In Memory of Harriet Mey Johnson","","Harriet Mey Johnson","Vickie Mey","","","","",TRUE
"537-82*3","w","seed",1982,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1500",13,9,1982,"near Sauk Lake in Sauk Trail Forest Preserve","Midwest","southwest section","",NA,1,"M-57","12-93","","T",200,41.814478,-88.066813,"","","in memory of","In Memory of James H. Hegarty, Jr.","","James H. Hegarty, Jr.","","","","-- begin bed; go west to east --","",TRUE
"494-2012*2","w","seed",2012,"Quercus cerris L.","QUERCUSCERRIS",NA,"","","","Placek, D","s.n.",NA,NA,NA,"Libicky luh preserve (about 53.5 km east of Prague)","Europe","","",NA,1,"AA-32","31-05","","ND",3320,41.818128,-88.076472,"","","","","","","","","","","",TRUE
"845-2017*1","z","plant",2017,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MORTON","","",NA,NA,NA,"","Morton East Woods","old ash collection","south section",NA,23,"I-126","area","","ND",99999,41.813975,-88.041813,"","","","","","","","","scattered throughout the meadow","","",TRUE
"540-96*6","w","seed",1996,"Quercus shumardii Buckley","QUERCUSSHUMARDII",NA,"","","MORTON-STAFF","Linden, PJ van der","96-13",28,10,1996,"at overlook along state highway 76 near Branson in Henning State Forest","Eastern North America","Appalachia","north section",NA,1,"EE-75","56-41","","ND",7740,41.819698,-88.060633,"","","","","","","","","","","",TRUE
"478-2001*1","w","seed",2001,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","","Lenart, ME","s.n.",6,10,2001,"","Midwest","west section","",NA,1,"N-61","91-03","","T",8140,41.814998,-88.065699,"","","","","","","","","","","",TRUE
"696-2006*9","w","seed",2006,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","","Chmelir, G","s.n.",NA,NA,NA,"","Quercus","south section","",NA,1,"L-92","25-64","","ND",520,41.814562,-88.054082,"","","","","","","","","","","",TRUE
"564-2009*15","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"C-109","47-47","","ND",99999,41.81231,-88.047807,"","","","","","","","","","","",TRUE
"366-2007*1","w","seed",2007,"Quercus shumardii Buckley","QUERCUSSHUMARDII",NA,"","","MORTON-RESEARCH","Hipp, AL","Hipp 2995",13,9,2007,"Roberts Road, near intersection with Roelant Rd.; across street from landfill in state game area","Midwest","west section","",NA,1,"L-62","11-42","","T",6600,41.814243,-88.065155,"","","","","","","","","","","",TRUE
"2385-26*3","u","plant",1926,"Quercus alba L.","QUERCUSALBA",NA,"","","UNKNOWN","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"R-82","99-95","","ND",8200,41.81632,-88.057716,"","","","","","","","","","","",TRUE
"2175-29*8","g","plant",1929,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","NAPERVILLE N.","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"S-82","70-48","","T",8660,41.816511,-88.057897,"","","","","","","","","","","",TRUE
"65-2008*2","w","seed",2008,"Quercus serrata Murray [1]","QUERCUSSERRATA1",NA,"","","KYOTO U. KAMIGAMO EXP. STA.","?","s.n.",8,11,2007,"in Kamigamo experimental forest, Kyoto University","Japan","","",NA,1,"S-59","85-08","","ND",2180,41.816334,-88.066476,"","","","","","","","","","","",TRUE
"2175-29*20","g","plant",1929,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","NAPERVILLE N.","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"T-82","47-57","","T",8940,41.816723,-88.057873,"","","","","","","","","","","",TRUE
"459-2016*1","w","plant",2016,"Quercus palustris Münchh. [1]","QUERCUSPALUSTRIS1",NA,"","","BRENTON ARB.","Schmitz, AP","2014/031/162",7,10,2014,"along Chariton River floodplain","Midwest","","",NA,1,"O-69","48-23","","",99999,41.8152299,-88.06270131,"","","","","","","","","","","",TRUE
"527-2000*2","w","seed",2000,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","INT. OAK SOC.","Sternberg, G","s.n.",NA,NA,NA,"","Midwest","west section","",NA,1,"N-57","49-52","","T",8840,41.81485,-88.06698,"","","","","","","","","","","",TRUE
"704-46*10","w","seed",1946,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Nordine, RM","s.n.",NA,NA,NA,"site not noted","Rosaceae","","",NA,1,"B-65","77-26","","T",2180,41.811708,-88.064,"","","available","","","","","","","","",TRUE
"362-96*9","w","seed",1996,"Quercus marilandica Münchh. [1]","QUERCUSMARILANDICA1",NA,"","","MORTON","Sternberg, G","s.n.",NA,NA,NA,"","Quercus","north section","",NA,1,"M-103","05-05","","T",5020,41.814877,-88.050277,"","","","","","","","","","","",TRUE
"575-40*2","w","plant",1940,"Quercus shumardii Buckley","QUERCUSSHUMARDII",NA,"","","U. KENTUCKY","?","s.n.",NA,NA,NA,"","Quercus","south section","",NA,1,"D-105","70-85","","T",3280,41.812614,-88.049149,"","","","","","","","","","-- go northwest to west side of parking lot --","",TRUE
"494-2012*4","w","seed",2012,"Quercus cerris L.","QUERCUSCERRIS",NA,"","","","Placek, D","s.n.",NA,NA,NA,"Libicky luh preserve (about 53.5 km east of Prague)","Quercus","","",NA,1,"K-91","42-40","","ND",1620,41.814322,-88.054527,"","","","","","","","","","","",TRUE
"2385-26*23","u","plant",1926,"Quercus alba L.","QUERCUSALBA",NA,"","","UNKNOWN","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"T-83","40-05","","ND",8440,41.816708,-88.057696,"","","","","","","","","","","",TRUE
