"PlantId","ProvenanceType","SuppliedAs","ReceivedYear","CalcFullName","CalcNameSort","TradeSeries","Trademark","TrademarkRegistered","LivingAccessionDonor","Collectors","FieldNumber","CollectionDay","CollectionMonth","CollectionYear","LocalityNotes","GardenLocalityName","GardenSubarea3","GardenSubarea5","GardenSubarea4","CalcRemainingPlantQuantity","GardenSubarea1","GardenSubarea2","GardenLayout","Annotate","GardenSequence","Latitude","Longitude","HazardCode","HazardNote","CommemorationCategory","CommemorationText","CommemorationDate","CommemorationPerson","Sponsor","CommemorationNotes","Inventnote","Invcomment","Comments","Quercus_tf"
"482-2018*2","w","seed",2018,"Quercus texana Buckley","QUERCUSTEXANA",NA,"","","PECKERWOOD GDN.","Black, A","20181005-005",5,10,2018,"","Quercus","","",NA,1,"J-101","16-58","","",5560,41.81407188,-88.05078125,"","","","","","","","","","","",TRUE
"38-83*4","w","seed",1983,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MINN. LANDSC. ARB.","?","s.n.",NA,NA,NA,"","Thornhill Parking","shelter","east side",NA,1,"NN-30","51-34","","T",10120,41.821733,-88.077262,"","","","","","","","","","","Cut to ground 7 Sep 95 by C. Martner after borers attacked stem and killed the top. Failed to resprout by 22 Apr 96 and reported dead. A field check found new basal sprouts 1.5' tall on 19 Jun 96. Plant resurrected - EAH",TRUE
"213-2011*3","z","plant",2011,"Quercus rubra L.","QUERCUSRUBRA",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton Prairie Restoration","unlabeled section","",NA,1,"U-011","32-77","","ND",99999,41.816091,-88.091894,"","","","","","","","","","","",TRUE
"564-2009*20","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"C-115","38-43","","ND",99999,41.81234,-88.045622,"","","","","","","","","","","",TRUE
"417-45*7","z","seed",1945,"Quercus buckleyi Nixon & Dorr","QUERCUSBUCKLEYI",NA,"","","","Deam, CC","63895",NA,NA,NA,"in Platt National Park","Rosaceae","","",NA,1,"B-59","91-79","","T",5180,41.811696,-88.066006,"","","","","","","","","","","",TRUE
"215-91*1","w","seed",1991,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","1991 MORTON IA-NE SD. EXPED.","","s.n.",18,9,1991,"8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park","Quercus","north section","",NA,1,"L-103","48-67","","T",4560,41.814727,-88.050043,"","","","","","","","","","","Transplanted 19APR2004 from H-14/96-81 to L-103/48-67.",TRUE
"366-2007*2","w","seed",2007,"Quercus shumardii Buckley","QUERCUSSHUMARDII",NA,"","","MORTON-RESEARCH","Hipp, AL","Hipp 2995",13,9,2007,"Roberts Road, near intersection with Roelant Rd.; across street from landfill in state game area","Midwest","west section","",NA,1,"L-62","46-35","","T",6580,41.814339,-88.065185,"","","","","","","","","","","",TRUE
"548-82*15","w","seed",1982,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1501",22,9,1982,"in Oswego Township Cemetery","Founder's Grove","northeast section","",NA,1,"KK-33","16-03","","T",2260,41.820839,-88.076235,"","","in memory of","In memory of Gladys Wren by her V.I.E.W. friends on 25 July, 1985","7/25/1985 12:00:00 AM","Gladys Renn","","","","-- go west across the path --","Plant was moved from original NN-32/area side east of the Outpost to JJ-33/area in May 1993, to avoid destruction because of Parking lot construction.",TRUE
"587-83*2","w","seed",1983,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1543",13,9,1983,"near the Burlington Northern Railroad at Millington","Thornhill Parking","shelter","southwest triangle",NA,1,"MM-28","43-80","","T",10040,41.821422,-88.077813,"","","in memory of","In Memory of Mike Barrett","","Barrett, Mike","","","","-- go east into the shelter southeast triangle --","",TRUE
"463-84*4","w","seed",1984,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","","?","s.n.",NA,NA,NA,"along the Des Plaines River near Willow Springs","Midwest","west section","",NA,1,"N-58","22-22","","T",9060,41.814783,-88.066721,"","","in memory of","In Memory of Gail S. Nelson","","Gail S. Nelson","","","","","",TRUE
"21-2012*1","z","plant",2012,"Quercus robur subsp. pedunculiflora (K.Koch) Menitsky","QUERCUSROBURPEDUNCULIFLORA",NA,"","","USDA, ARS BELTSVILLE","?","AZB-2008-092",19,9,2008,"at Khudat","Central & Western Asia","","",NA,1,"FF-72","79-56","","ND",3180,41.820008,-88.061693,"","","","","","","","","","","",TRUE
"527-2000*6","w","seed",2000,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","INT. OAK SOC.","Sternberg, G","s.n.",NA,NA,NA,"","Midwest","west section","",NA,1,"N-61","13-44","","T",7900,41.814788,-88.065539,"","","","","","","","","","","",TRUE
"549-82*2","w","seed",1982,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1502",22,9,1982,"in Oswego Township Cemetery","Fagaceae","south section","",NA,1,"K-14","04-26","","ND",380,41.813501,-88.082792,"","","","","","","","","","-- go southeast --","",TRUE
"357-2014*1","w","seed",2014,"Quercus infectoria subsp. veneris (A.Kern.) Meikle","QUERCUSINFECTORIAVENERIS",NA,"","","JERUSALEM BG.","?","s.n.",NA,NA,NA,"northern part","Quercus","","",NA,1,"K-94","02-43","","ND",900,41.814239,-88.053411,"","","","","","","","","","","",TRUE
"587-83*3","w","seed",1983,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1543",13,9,1983,"near the Burlington Northern Railroad at Millington","Eastern North America","Appalachia","south section",NA,1,"Z-74","98-66","","T",3060,41.818435,-88.060852,"","","available","","","","","","","-- begin bed --","",TRUE
"587-83*1","w","seed",1983,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1543",13,9,1983,"near the Burlington Northern Railroad at Millington","Thornhill Parking","shelter","southeast triangle",NA,1,"MM-29","24-35","","T",10060,41.821375,-88.077609,"","","in memory of","In Memory of Raymond and Janice Trembacki","","Trembacki, Janice
Trembacki, Raymond","","","","","",TRUE
"214-2011*4","z","plant",2011,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton Prairie Restoration","unlabeled section","",NA,1,"W-013","29-00","","ND",99999,41.816605,-88.092933,"","","","","","","","","","","",TRUE
"537-82*13","w","seed",1982,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1500",13,9,1982,"near Sauk Lake in Sauk Trail Forest Preserve","Fagaceae","south section","",NA,1,"J-13","60-57","","T",360,41.813374,-88.083039,"","","","","","","","","","","",TRUE
"185-92*5","w","seed",1992,"Quercus velutina Lam.","QUERCUSVELUTINA",NA,"","","MORTON-STAFF","Linden, PJ van der","s.n.",14,9,1992,"along Merioneth Road","Quercus","north section","",NA,1,"J-101","73-35","","T",5720,41.814226,-88.050872,"","","in memory of","Gone from our lives
much too soon, this
tree is dedicated in
loving memory to Amanda L. Meiborg,
2/9/84-10/14/03.
She loved flowers, plants,
trees and animals ... and will
live forever in our hearts.","6/28/2019 12:00:00 AM","Meiborg, Amanda L.","","","","","",TRUE
"564-2009*4","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"A-105","51-92","","ND",99999,41.811739,-88.049084,"","","","","","","","","","","",TRUE
"539-96*8","w","seed",1996,"Quercus michauxii Nutt.","QUERCUSMICHAUXII",NA,"","","MORTON-STAFF","Linden, PJ van der","96-03",22,10,1996,"in picnic ground at Big Oak Tree State Park","Midwest","east section","",NA,1,"K-67","86-45","","T",5560,41.814221,-88.063309,"","","available","","","","","","","","Transplanted 01APR2003 from M-64/85-75 to K-67/86-45.",TRUE
"362-96*8","w","seed",1996,"Quercus marilandica Münchh. [1]","QUERCUSMARILANDICA1",NA,"","","MORTON","Sternberg, G","s.n.",NA,NA,NA,"","Quercus","north section","",NA,1,"M-102","28-93","","T",5000,41.814939,-88.050324,"","","","","","","","","","","",TRUE
"19-2003*3","w","plant",2003,"Quercus variabilis Blume","QUERCUSVARIABILIS",NA,"","","CHICAGO BG.","","NACPEC 2002-061",24,9,2002,"near Huang Sha Ling, Yang Cheng Xian","Quercus","south section","",NA,1,"K-95","10-99","","T",1440,41.814277,-88.05284,"","","","","","","","","","","",TRUE
"453-94*1","w","seed",1994,"Quercus × bushii Sarg.","QUERCUSBUSHII",NA,"","","INT. OAK SOC.","Green, T","s.n.",NA,NA,NA,"near Oquaka","Quercus","north section","",NA,1,"K-102","31-62","","",4200,41.814396,-88.050413,"","","","","","","","","","","",TRUE
"2385-26*16","u","plant",1926,"Quercus alba L.","QUERCUSALBA",NA,"","","UNKNOWN","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"S-83","34-33","","ND",8280,41.81642,-88.057581,"","","","","","","","","","","",TRUE
"343-94*6","w","seed",1994,"Quercus mongolica Fisch. ex Ledeb. [1]","QUERCUSMONGOLICA1",NA,"","","NACPEC 1994 BEIJING EXPED.","","NACPEC BJG-038",15,9,1994,"at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve","Childrens Garden","Central Plaza","",NA,1,"K-51","08-94","","ND",2860,41.813863,-88.068983,"","","","","","","","","","-- go east to the east side of the entrance to Adventure Woods --","Girdling roots and stem cankers observed at planting time. Transplanted 01SEP2004 from NE Asia collection to Childrens Garden.",TRUE
"478-2001*2","w","seed",2001,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","","Lenart, ME","s.n.",6,10,2001,"","Midwest","west section","",NA,1,"O-60","31-73","","T",8160,41.815105,-88.065814,"","","","","","","","","","-- go south; begin bed --","",TRUE
"11-86*3","w","seed",1986,"Quercus stellata Wangenh.","QUERCUSSTELLATA",NA,"","","MORTON-RESEARCH","?","s.n.",NA,NA,NA,"","Fagaceae","north section","",NA,1,"L-15","56-98","","T",40,41.813934,-88.08218,"","","","","","","","","","","",TRUE
"340-2002*3","w","seed",2002,"Quercus aliena Blume","QUERCUSALIENA",NA,"","","NACPEC 2002 SHANXI EXPED.","","NACPEC 2002-062",24,9,2002,"near Huang Sha Ling, Yang Cheng Xian","China","central section","",NA,1,"BB-65","31-88","","ND",4560,41.818718,-88.064086,"","","","","","","","","","-- begin bed --","",TRUE
"517-2000*2","w","seed",2000,"Quercus lyrata Walter","QUERCUSLYRATA",NA,"","","INT. OAK SOC.","Lance, R","s.n.",2,10,2000,"on bank of Lake Seminole near J. Woodruff dam","Quercus","south section","",NA,1,"G-104","82-57","","ND",3160,41.813457,-88.049656,"","","","","","","","","","","",TRUE
"622-2008*5","w","seed",2008,"Quercus alba L.","QUERCUSALBA",NA,"","","MORTON-STAFF","Morton Volunteers","s.n.",24,9,2008,"Morton Arboretum East Woods, Lisle","Morton East Woods","East Woods","not labeled",NA,1,"L-126","88-82","","ND",99999,41.81505,-88.041563,"","","","","","","","","","","",TRUE
"214-2011*10","z","plant",2011,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton Prairie Restoration","south savannah","unlabeled section",NA,1,"F-2","19-87","","ND",99999,41.812065,-88.086906,"","","","","","","","","","","",TRUE
"19-2012*1","z","plant",2012,"Quercus macranthera Fisch. & C.A.Mey. ex Hohen.","QUERCUSMACRANTHERA",NA,"","","USDA, ARS BELTSVILLE","?","AZB-2008-015",15,10,2008,"Gusarchay Village","Quercus","north section","",NA,1,"K-104","45-58","","ND",4320,41.814453,-88.049697,"","","","","","","","","","","",TRUE
"463-84*1","w","seed",1984,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","","?","s.n.",NA,NA,NA,"along the Des Plaines River near Willow Springs","Fagaceae","south section","",NA,1,"M-18","62-99","","T",560,41.814253,-88.08109,"","","in memory of","In Memory of Rudy Fousek","","Rudy Fousek","","","","","",TRUE
"201-97*1","w","seed",1997,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","MORTON 1997 IL SD. EXPED.","","97-3",16,9,1997,"Amco Tract of Apple River Canyon State Park","Midwest","east section","",NA,1,"M-68","41-97","","T",5320,41.814661,-88.062771,"","","","","","","","","","","",TRUE
"211-2011*8","z","plant",2011,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton Prairie Restoration","Schulenberg Prairie & Savanna","",NA,1,"W-013","53-05","","ND",99999,41.816671,-88.092918,"","","","","","","","","","","",TRUE
"1258-26*3","z","graft",1926,"Quercus × deamii Trel.","QUERCUSDEAMII",NA,"","","ARNOLD ARB.","Deam, CC","s.n.",28,9,1916,"near Bluffton","Quercus","north section","",NA,1,"J-104","03-20","","T",3940,41.81406,-88.049819,"","","","","","","","","","","",TRUE
"1186-2004*3","w","seed",2004,"Quercus palustris Münchh. [1]","QUERCUSPALUSTRIS1",NA,"","","2004 MWPCC OZARK EXPED.","","MWPCC 2004-158",11,11,2004,"in Shaw Nature Reserve","Quercus","south section","",NA,1,"L-94","45-06","","T",960,41.81463,-88.053564,"","","","","","","","","","","",TRUE
"12-2004*3","w","seed",2004,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","STARHILL FOREST ARB.","Sternberg, G","s.n.",NA,NA,NA,"","Quercus","north section","",NA,1,"O-95","28-23","","T",7500,41.815417,-88.05317,"","","","","","","","","","","",TRUE
"14-2013*4","z","graft",2013,"Quercus acerifolia (E.J.Palmer) Stoynoff & W.J.Hess","QUERCUSACERIFOLIA",NA,"","","","?","s.n.",NA,NA,NA,"Magazine Mountain, Mount Magazine State Park, Mountain","Gateway to Tree Science","","",NA,1,"G-104","08-15","","ND",99999,41.813252,-88.049802,"","","do not use","possible experimental tree","","","","","","","",TRUE
"2385-26*15","u","plant",1926,"Quercus alba L.","QUERCUSALBA",NA,"","","UNKNOWN","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"S-83","26-27","","ND",8260,41.816397,-88.057602,"","","","","","","","","","","",TRUE
"260-93*2","w","plant",1993,"Quercus ilicifolia Wangenh.","QUERCUSILICIFOLIA",NA,"","","REESEVILLE RDG. N.","?","s.n.",NA,NA,NA,"in the southeastern part of Monongahela National Forest","Quercus","north section","",NA,1,"J-100","80-58","","T",5920,41.814238,-88.051155,"","","","","","","","","","","",TRUE
"606-2000*2","w","seed",2000,"Quercus montana Willd.","QUERCUSMONTANA",NA,"","","2000 MWPCC SE US EXPED.","","MWPCC 2000-017",12,9,2000,"on Cahas Mt.","Quercus","south section","",NA,1,"F-100","94-25","","ND",2420,41.813176,-88.051228,"","","","","","","","","","","",TRUE
"417-45*2","z","seed",1945,"Quercus buckleyi Nixon & Dorr","QUERCUSBUCKLEYI",NA,"","","","Deam, CC","63895",NA,NA,NA,"in Platt National Park","Centennial Grove","","",NA,1,"AZ-59","73-74","","T",6600,41.811098,-88.065998,"","","","","","","","","","","",TRUE
"309-2017*2","w","seed",2017,"Quercus serrata Murray [1]","QUERCUSSERRATA1",NA,"","","KYOTO U. KAMIGAMO EXP. STA.","","",20,10,2016,"","Quercus","","",NA,1,"K-101","39-34","","",5460,41.8144072,-88.05088225,"","","","","","","","","","","",TRUE
"539-2010*3","w","seed",2010,"Quercus petraea subsp. iberica (Steven ex M.Bieb.) Krassiln. [1]","QUERCUSPETRAEAIBERICA1",NA,"","","CHICAGO BG.","?","s.n.",NA,NA,NA,"","Central & Western Asia","","",NA,1,"EE-68","02-95","","ND",99999,41.819489,-88.062995,"","","","","","","","","","","",TRUE
"210-91*5","w","seed",1991,"Quercus × fernowii Trel.","QUERCUSFERNOWII",NA,"","","1991 MORTON IA-NE SD. EXPED.","","s.n.",16,9,1991,"in the Donnellson Unit of Shimek State Forest","Midwest","east section","",NA,1,"L-68","77-83","","T",5280,41.814484,-88.062814,"","","in memory of","Louis Kaberon
September 25, 1918 - July 7, 2000
Devoted Dad, Active Citizen, Avid Reader
Kind, Thoughtful, Fun","","Kaberon, Louis","Kaberon, Abigail
Kaberon, Louis family","commemoration label lines center justified","","","Transplanted 19SEP2003 from H-15/47-10 to L-68/77-83.",TRUE
"258-95*1","w","seed",1995,"Quercus marilandica Münchh. [1]","QUERCUSMARILANDICA1",NA,"","","GARNER MUS. NAT. HIST.","Garner, Jr","s.n.",13,10,1995,"","Quercus","north section","",NA,1,"L-104","02-05","","T",4440,41.814604,-88.049898,"","","","","","","","","","","Transplanted 11SEP2003 from H-15/22-64 to L-104/02-05.",TRUE
"696-2006*2","w","seed",2006,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","","Chmelir, G","s.n.",NA,NA,NA,"","Quercus","north section","",NA,1,"N-96","74-15","","T",7440,41.815277,-88.052826,"","","","","","","","","","","",TRUE
"2385-26*24","u","plant",1926,"Quercus alba L.","QUERCUSALBA",NA,"","","UNKNOWN","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"T-82","22-87","","ND",8340,41.816657,-88.05776,"","","","","","","","","","","",TRUE
"120-2006*1","w","plant",2006,"Quercus macrocarpa 'Lippert'","QUERCUSMACROCARPALIPPERT",NA,"","","USDA, AMES, PL. INTRO. STA.","","s.n.",1,1,1970,"Stillwater City Park, Stillwater","Quercus","south section","",NA,1,"L-94","70-83","","ND",1240,41.814705,-88.053285,"","","in honor of","In Honor of Arbor Day 2007, Employee Tree","","Arbor Day 2007, Employee Tree","","","","","",TRUE
"2385-26*9","u","plant",1926,"Quercus alba L.","QUERCUSALBA",NA,"","","UNKNOWN","?","s.n.",NA,NA,NA,"","South Forestry Plot","south side","",NA,1,"L-83","09-12","","ND",5420,41.81443,-88.057569,"","","","","","","","","","","",TRUE
"494-2012*6","w","seed",2012,"Quercus cerris L.","QUERCUSCERRIS",NA,"","","","Placek, D","s.n.",NA,NA,NA,"Libicky luh preserve (about 53.5 km east of Prague)","Quercus","","",NA,1,"K-96","29-63","","ND",1660,41.814335,-88.052609,"","","","","","","","","","","",TRUE
"903-2005*1","w","seed",2005,"Quercus baronii Skan","QUERCUSBARONII",NA,"","","NACPEC 2005 GANSU EXPED.","","NACPEC 2005-069",27,9,2005,"","Quercus","south section","",NA,1,"K-94","53-93","","ND",1260,41.814386,-88.053234,"","","","","","","","","","","",TRUE
"333-94*4","w","seed",1994,"Quercus mongolica Fisch. ex Ledeb. [1]","QUERCUSMONGOLICA1",NA,"","","NACPEC 1994 BEIJING EXPED.","","NACPEC BJG-027",14,9,1994,"at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve","Quercus","north section","",NA,1,"K-105","30-31","","T",3840,41.814418,-88.049427,"","","","","","","","","","","Transplanted 19APR2004 from J-15/08-48 to K-105/30-31.",TRUE
"645-48*1","w","seed",1948,"Quercus michauxii Nutt.","QUERCUSMICHAUXII",NA,"","","BUTLER U. DEPT. BOT.","Friesner","s.n.",NA,NA,NA,"","Quercus","south section","",NA,1,"E-104","88-20","","T",3200,41.812923,-88.049768,"lightning protection","Hazard: lightning protection - 3 points, 30 arbor bolts, 1 ground rod at 8' installed 14 Nov 2017.","","","","","","","","-- go west --","",TRUE
"343-2002*1","w","seed",2002,"Quercus variabilis Blume","QUERCUSVARIABILIS",NA,"","","NACPEC 2002 SHANXI EXPED.","","NACPEC 2002-067",24,9,2002,"near Huang Sha Ling, Yang Cheng Xian","China","north section","",NA,1,"CC-65","82-65","","T",1760,41.81913,-88.064189,"","","in honor of","In Honor of Arbor Day 2006, Employee Tree","","Arbor Day 2006, Employee Tree","","","","","",TRUE
"494-2012*1","w","seed",2012,"Quercus cerris L.","QUERCUSCERRIS",NA,"","","","Placek, D","s.n.",NA,NA,NA,"Libicky luh preserve (about 53.5 km east of Prague)","Europe","","",NA,1,"AA-31","78-49","","ND",99999,41.818252,-88.076685,"","","","","","","","","","","",TRUE
"564-2009*24","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"D-115","14-85","","ND",99999,41.812552,-88.045477,"","","","","","","","","","","",TRUE
"463-84*6","w","seed",1984,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","","?","s.n.",NA,NA,NA,"along the Des Plaines River near Willow Springs","Wetlands","","",NA,1,"HH-71","96-71","","T",1920,41.820596,-88.062031,"","","in memory of","In Memory of Mack D. McBride","","Mack D. McBride","","","","","",TRUE
"204-92*2","w","seed",1992,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","MORTON-STAFF","Linden, PJ van der","s.n.",30,10,1992,"in Bluffton Township","Quercus","north section","",NA,1,"K-99","57-54","","T",6260,41.814439,-88.051545,"","","","","","","","","","","",TRUE
"2175-29*22","g","plant",1929,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","NAPERVILLE N.","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"T-83","13-01","","T",8980,41.816634,-88.057708,"","","","","","","","","","","",TRUE
"700-46*2","w","seed",1946,"Quercus pagoda Raf.","QUERCUSPAGODA",NA,"","","DEAM ARB.","Deam, CC","64811",NA,NA,NA,"","Quercus","north section","",NA,1,"N-103","90-85","","T",4900,41.815392,-88.050006,"","","","","","","","","overgrown area","","",TRUE
"202-97*1","w","seed",1997,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","MORTON 1997 IL SD. EXPED.","","97-6",16,9,1997,"along north side of Broadway Road about 3.5 miles due southwest of Apple River Canyon State Park","Midwest","east section","",NA,1,"M-69","61-15","","T",5340,41.814717,-88.062707,"","","","","","","","","","","",TRUE
"309-2017*1","w","seed",2017,"Quercus serrata Murray [1]","QUERCUSSERRATA1",NA,"","","KYOTO U. KAMIGAMO EXP. STA.","","",20,10,2016,"","Japan","","",NA,1,"S-59","93-67","","",2200,41.81636199,-88.06625904,"","","","","","","","","","","",TRUE
"570-78*1","w","seed",1978,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Shaw, CB","NI-89",2,11,1978,"in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line","Midwest","southwest section","",NA,1,"J-59","62-21","","T",2660,41.813805,-88.066314,"","","in memory of","CHUCK","6/20/2016 12:00:00 AM","Carlsen, Charles 'Chuck'","","","","","",TRUE
"180-93*9","w","seed",1993,"Quercus robur L.","QUERCUSROBUR",NA,"","","1993 GORNO-ALTAI RUSSIA EXPED.","Linden, PJ van der","42-1 & 42-2",14,9,1993,"in the Main Botanical Garden of the Russian Academy of Sciences in Moscow","Quercus","north section","",NA,1,"N-99","48-09","","ND",7120,41.815233,-88.051746,"","","","","","","","","","","",TRUE
"564-2009*2","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"AZ-108","77-52","","ND",99999,41.81156,-88.048122,"","","","","","","","","","","",TRUE
"468-2001*3","w","seed",2001,"Quercus alba L.","QUERCUSALBA",NA,"","","MORTON","Hedborn Jr, EA","1555",27,9,2001,"along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles","Midwest","east section","",NA,1,"O-68","83-52","","T",4700,41.81532,-88.062965,"","","","","","","","","","section marker (installed 2006)                                        O-68/87-65","",TRUE
"562-2010*2","w","seed",2010,"Quercus oglethorpensis Duncan","QUERCUSOGLETHORPENSIS",NA,"","","AUBURN U.","Patrick, T","s.n.",14,10,2010,"Monticello Glades, Oconee National Forest, located ca. 5 mi. sw. of Monticello behind the feldspar quarry along Feldspar Road.","Quercus","","",NA,1,"L-98","40-87","","ND",4400,41.814661,-88.051802,"","","","","","","","","","","",TRUE
"463-84*7","w","seed",1984,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","","?","s.n.",NA,NA,NA,"along the Des Plaines River near Willow Springs","Wetlands","","",NA,1,"II-71","33-89","","T",1940,41.820699,-88.061969,"","","in memory of","In Memory of Louise Oates","","Louise Oates","","","","-- cross the shallow drainage channel --","",TRUE
"417-45*6","z","seed",1945,"Quercus buckleyi Nixon & Dorr","QUERCUSBUCKLEYI",NA,"","","","Deam, CC","63895",NA,NA,NA,"in Platt National Park","Rosaceae","","",NA,1,"B-59","70-45","","T",5220,41.811635,-88.066128,"","","","","","","","","","","",TRUE
"570-78*3","w","seed",1978,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Shaw, CB","NI-89",2,11,1978,"in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line","Midwest","southwest section","",NA,1,"J-59","91-48","","T",2640,41.813887,-88.066218,"","","available","","","","","","","","",TRUE
"2175-29*15","g","plant",1929,"Quercus bicolor Willd.","QUERCUSBICOLOR",NA,"","","NAPERVILLE N.","?","s.n.",NA,NA,NA,"","North Forestry Plot","south side","unlabeled section",NA,1,"T-82","07-14","","T",8820,41.816609,-88.058026,"","","","","","","","","","","",TRUE
"1173-2004*3","w","seed",2004,"Quercus coccinea Münchh. [1]","QUERCUSCOCCINEA1",NA,"","","2004 MWPCC OZARK EXPED.","","MWPCC 2004-129",28,10,2004,"west edge of Hawn State Park","Lake Jopamaca","north side","",NA,1,"Q-26","90-50","","T",3080,41.815497,-88.078391,"","","","","","","","","","","",TRUE
"527-2000*1","w","seed",2000,"Quercus macrocarpa Michx.","QUERCUSMACROCARPA",NA,"","","INT. OAK SOC.","Sternberg, G","s.n.",NA,NA,NA,"","Midwest","thicket section","",NA,1,"K-63","61-12","","T",6540,41.814113,-88.064893,"","","","","","","","","","","",TRUE
"755-79*5","w","seed",1979,"Quercus alba L.","QUERCUSALBA",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1220",19,9,1979,"along the northern edge of the Iroquois County Conservation Area","Midwest","southwest section","",NA,1,"K-58","21-56","","T",2220,41.813961,-88.066559,"","","in memory of","In Memory of William M. Wethington","","William M. Wethington","","","","","",TRUE
"15-2006*1","w","seed",2006,"Quercus georgiana M.A.Curtis","QUERCUSGEORGIANA",NA,"","","STARHILL FOREST ARB.","Sternberg, G","s.n.",NA,NA,NA,"type locality","Eastern North America","Appalachia","south section",NA,1,"AA-73","30-20","","T",2640,41.818509,-88.061391,"","","","","","","","","","","",TRUE
"5-2018*2","w","seed",2018,"Quercus austrina Small","QUERCUSAUSTRINA",NA,"","","CITY OF COLUMBIA, PKS & REC.","Phelps, D","",NA,11,2017,"","Rare & Endangered Plants","","",NA,1,"P-58","29-87","","",99999,41.81535586,-88.06650803,"","","","","","","","","","","",TRUE
"214-2011*8","z","plant",2011,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton Prairie Restoration","south savannah","unlabeled section",NA,1,"E-6","31-35","","ND",99999,41.811856,-88.08562,"","","","","","","","","","","",TRUE
