PlantId,Longitude,Latitude,RcvdYear,ProvenanceType,Species_Name,CalcNameSort,GardenLocalityName,GardenSubarea1,GridLoc,Annotate
134-U*57,-88.077366,41.813842,1986,u,Quercus alba,QUERCUSALBA,Parking 33,west side,K-29/78-09,T
134-U*58,-88.082229,41.8195,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,FF-16/84-53,ND
134-U*59,-88.086505,41.812007,1986,u,Quercus alba,QUERCUSALBA,Schulenberg Savanna,south savannah,E-3/94-96,ND
134-U*6,-88.050629,41.813647,1986,u,Quercus alba,QUERCUSALBA,Quercus,south section,H-101/60-94,T
134-U*62,-88.085207,41.812223,1986,u,Quercus alba,QUERCUSALBA,Schulenberg Savanna,south savannah,F-7/61-50,ND
134-U*63,-88.082189,41.819778,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,GG-16/85-67,T
134-U*64,-88.086163,41.817666,1986,u,Quercus alba,QUERCUSALBA,Pine Hill,north side,Z-5/52-52,T
134-U*65,-88.086202,41.817677,1986,u,Quercus alba,QUERCUSALBA,Pine Hill,north side,Z-5/56-48,T
134-U*66,-88.050409,41.813608,1986,u,Quercus alba,QUERCUSALBA,Quercus,south section,H-102/44-54,T
134-U*67,-88.050403,41.813566,1986,u,Quercus alba,QUERCUSALBA,Quercus,south section,H-102/28-55,T
134-U*68,-88.086054,41.814476,1986,u,Quercus alba,QUERCUSALBA,Sterling Pond,,N-5/89-49,T
134-U*69,-88.082313,41.819038,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,EE-16/16-24,T
134-U*70,-88.082494,41.819602,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,GG-15/24-82,T
134-U*71,-88.083006,41.819105,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,EE-14/47-36,T
134-U*72,-88.068732,41.815779,1986,u,Quercus alba,QUERCUSALBA,Meadow Lake,north side,R-52/04-86,T
134-U*73,,,1986,u,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,R-134/area,
134-U*74,-88.080887,41.818763,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,DD-20/03-10,
134-U*75,-88.080845,41.819122,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,EE-20/33-26,
134-U*78,-88.081821,41.818923,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,DD-17/70-75,
134-U*8,-88.053452,41.815319,1986,u,Quercus alba,QUERCUSALBA,Quercus,north side,N-94/95-45,T
134-U*82,-88.081498,41.819707,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,GG-18/52-55,
134-U*83,-88.08173,41.819659,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,GG-17/37-91,
134-U*85,-88.081665,41.820621,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,JJ-18/87-20,
134-U*86,-88.082089,41.819811,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,GG-16/96-95,
134-U*87,-88.082216,41.819818,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,GG-16/99-60,
134-U*88,-88.0824,41.819726,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,GG-16/68-09,
134-U*89,-88.081907,41.819515,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,FF-17/86-41,
134-U*90,-88.082613,41.819467,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,FF-15/76-48,
134-U*91,-88.082876,41.819545,1986,u,Quercus alba,QUERCUSALBA,Morton West Side,Daffodil Glade,GG-14/06-77,
134-U*94,-88.081677,41.819762,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,GG-18/74-07,
134-U*95,-88.081219,41.819717,1986,u,Quercus alba,QUERCUSALBA,Daffodil Glade,,GG-19/54-31,
134-U*96,-88.058454,41.81744,1986,u,Quercus alba,QUERCUSALBA,Morton East Side,East Woods,W-81/14-08,
134-U*97,-88.058427,41.817293,1986,u,Quercus alba,QUERCUSALBA,Morton East Side,East Woods,V-81/60-13,
134-U*98,-88.058539,41.81732,1986,u,Quercus alba,QUERCUSALBA,Morton East Side,East Woods,V-80/71-83,
134-U*99,-88.058533,41.817291,1986,u,Quercus alba,QUERCUSALBA,Morton East Side,East Woods,V-80/60-84,
211-2011*10,-88.093905,41.816665,2011,z,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,Schulenberg Prairie & Savanna,W-016/60-36,ND
211-2011*3,-88.0867,41.811823,2011,z,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-3/29-40,ND
211-2011*5,-88.09126,41.81578,2011,z,Quercus alba,QUERCUSALBA,Morton West Side,Schulenberg Prairie & Savanna,T-09/13-46,ND
211-2011*7,-88.092191,41.816501,2011,z,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,Schulenberg Prairie & Savanna,V-011/84-01,ND
211-2011*8,-88.092918,41.816671,2011,z,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,Schulenberg Prairie & Savanna,W-013/53-05,ND
211-2011*9,-88.093195,41.816552,2011,z,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,Schulenberg Prairie & Savanna,W-014/12-28,ND
2131-29*1,-88.071929,41.813108,1929,g,Quercus alba,QUERCUSALBA,Hedge Garden,south section,H-43/60-82,T
2385-26*1,-88.057617,41.81419,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,K-82/22-96,ND
2385-26*10,-88.05754,41.814431,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,L-83/09-20,ND
2385-26*11,-88.057256,41.81466,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,L-84/90-00,ND
2385-26*13,-88.057591,41.81631,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,R-83/94-29,ND
2385-26*14,-88.057591,41.816329,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,S-83/01-29,ND
2385-26*15,-88.057602,41.816397,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,S-83/26-27,ND
2385-26*16,-88.057581,41.81642,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,S-83/34-33,ND
2385-26*17,-88.057523,41.816432,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,S-83/38-49,ND
2385-26*18,-88.057493,41.816436,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,S-83/39-57,ND
2385-26*19,-88.057755,41.816715,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,T-82/43-89,ND
2385-26*2,-88.057063,41.814849,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,north side,M-84/57-55,ND
2385-26*20,-88.057756,41.816734,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,T-82/50-89,ND
2385-26*21,-88.057815,41.816741,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,T-82/53-73,ND
2385-26*22,-88.057692,41.816689,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,T-83/33-06,ND
2385-26*23,-88.057696,41.816708,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,T-83/40-05,ND
2385-26*24,-88.05776,41.816657,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,T-82/22-87,ND
2385-26*3,-88.057716,41.81632,1926,u,Quercus alba,QUERCUSALBA,North Forestry Plot,south side,R-82/99-95,ND
2385-26*5,-88.057007,41.814897,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,north side,M-84/74-71,ND
2385-26*6,-88.057623,41.814233,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,K-82/38-95,ND
2385-26*7,-88.05771,41.814294,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,K-82/61-72,ND
2385-26*8,-88.057714,41.814385,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,K-82/94-72,ND
2385-26*9,-88.057569,41.81443,1926,u,Quercus alba,QUERCUSALBA,South Forestry Plot,south side,L-83/09-12,ND
239-42*1,-88.069282,41.816511,1942,g,Quercus alba,QUERCUSALBA,Meadow Lake,north side,T-51/75-45,T
239-42*2,-88.051832,41.814377,1942,g,Quercus alba,QUERCUSALBA,Quercus,north section,K-98/37-75,T
304-94*1,-88.050484,41.81476,1994,w,Quercus alba,QUERCUSALBA,Quercus,north section,L-102/64-47,T
304-94*2,-88.050607,41.814784,1994,w,Quercus alba,QUERCUSALBA,Quercus,north section,L-102/74-14,T
357-2002*1,-88.089179,41.816418,2002,g,Quercus alba,QUERCUSALBA,Morton West Side,Prairie Visitor Station,V-03/26-21,T
357-2002*2,-88.089659,41.815681,2002,g,Quercus alba,QUERCUSALBA,Morton West Side,Prairie Visitor Station,S-05/62-81,ND
357-2002*4,-88.090149,41.815732,2002,g,Quercus alba,QUERCUSALBA,Prairie Visitor Station,,S-06/85-48,ND
357-2002*5,-88.089741,41.815617,2002,g,Quercus alba,QUERCUSALBA,Morton West Side,Prairie Visitor Station,S-05/39-58,ND
357-2002*6,-88.090132,41.815826,2002,g,Quercus alba,QUERCUSALBA,Prairie Visitor Station,,T-06/19-54,ND
384-2014*1,-88.037763,41.813644,2014,w,Quercus alba,QUERCUSALBA,Morton East Woods,May Watts area,G-137/area,ND
392-2006*1,-88.068177,41.813475,2006,g,Quercus alba,QUERCUSALBA,Childrens Garden,Secret Stream,I-54/59-09,T
436-2013*1,-88.078021,41.818693,2013,g,Quercus alba,QUERCUSALBA,Founder's Grove,southwest section,CC-27/51-90,ND
436-2013*2,-88.07805,41.818783,2013,g,Quercus alba,QUERCUSALBA,Founder's Grove,southwest section,CC-27/84-83,ND
436-2013*3,-88.077959,41.818799,2013,g,Quercus alba,QUERCUSALBA,Founder's Grove,southwest section,CC-28/89-08,ND
468-2001*1,-88.062587,41.814651,2001,w,Quercus alba,QUERCUSALBA,Midwest,east section,M-69/36-47,T
468-2001*2,-88.063049,41.815225,2001,w,Quercus alba,QUERCUSALBA,Midwest,east section,O-68/49-28,T
468-2001*3,-88.062965,41.81532,2001,w,Quercus alba,QUERCUSALBA,Midwest,east section,O-68/83-52,T
513-2007*1,-88.086915,41.811543,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-2/29-78,ND
513-2007*10,-88.085878,41.813686,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,L-5/00-87,ND
513-2007*11,-88.085629,41.813769,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,L-6/28-56,ND
513-2007*14,-88.042006,41.813614,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,G-125/69-44,ND
513-2007*15,-88.041569,41.813532,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,G-126/35-62,ND
513-2007*18,-88.041504,41.813877,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,H-126/60-84,ND
513-2007*19,-88.041283,41.813783,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,H-127/24-43,ND
513-2007*2,-88.087114,41.811557,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-2/36-24,ND
513-2007*20,-88.041384,41.81391,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,H-127/71-17,ND
513-2007*21,-88.041108,41.813961,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,H-127/87-93,ND
513-2007*22,-88.040982,41.813854,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,H-128/47-26,ND
513-2007*23,-88.04227,41.81411,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,I-124/52-78,ND
513-2007*24,-88.042016,41.814078,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,I-125/38-47,ND
513-2007*25,-88.041527,41.814068,2007,g,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,I-126/30-80,ND
513-2007*3,-88.086822,41.811674,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-3/76-05,ND
513-2007*4,-88.085777,41.812085,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,F-5/16-95,ND
513-2007*5,-88.08477,41.812943,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,I-8/19-80,ND
513-2007*6,-88.084736,41.813089,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,I-8/72-91,ND
513-2007*7,-88.084744,41.81327,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,J-8/38-91,ND
513-2007*8,-88.084656,41.81319,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,J-9/08-14,ND
513-2007*9,-88.084671,41.81336,2007,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,north savannah,J-9/70-12,ND
552-2001*1,-88.049455,41.819747,2001,g,Quercus alba,QUERCUSALBA,East Woods,,DD-105/71-88,ND
552-2001*2,-88.049465,41.819807,2001,g,Quercus alba,QUERCUSALBA,East Woods,,DD-105/93-86,ND
552-2001*4,-88.049416,41.819783,2001,g,Quercus alba,QUERCUSALBA,East Woods,,DD-105/84-99,ND
552-2001*5,-88.049441,41.819843,2001,g,Quercus alba,QUERCUSALBA,East Woods,,EE-105/06-93,ND
