Starhill_Accession_number,Longitude,Latitude,Species_Name,Genus,Species,Subspecific,Parentage,Year_Died,New_Compartment,Old_Compartment,Lot,Year_Outplanted
2003-021,-89.80247014,39.93342368,Quercus alba,Quercus,alba,,Lincoln Vault Oak,,A5,OOA,3,2003
2002-050,-89.79832403,39.93573918,bicolor_macrocarpa,Quercus,schuettei,,bicolor_macrocarpa F2 of 'Kimberly',,F1,FFF,4,2002
2010-125,-89.80202003,39.93258767,Quercus muehlenbergii _laceyi,Quercus,,,muehlenbergii _laceyi ,,A6,OOOA,1,2010
2002-047,-89.79833174,39.93580682,Quercus_alba_macrocarpa,Quercus,bebbiana,,alba_macrocarpa F2,,F1,FFF,1,2002
2008-067,-89.80226667,39.93303333,Quercus_beadlei ,Quercus,beadlei,,alba_michauxii F2,,A6,OOOA,2,2008
2001-015,-89.7985226,39.9358888,Quercus_beadlei ,Quercus,beadlei,,alba_michauxii,,F1,FFF,1,2001
1995-035,-89.80232463,39.93483938,Quercus_bebbiana,Quercus,bebbiana, 'Taco' F2,,,A3,A,1,1995
1995-035,-89.80223989,39.93485715,Quercus_bebbiana,Quercus,bebbiana, 'Taco II',,,A3,A,1,1995
2015-013,-89.80217828,39.93216463,Quercus_bebbiana,Quercus,bebbiana, 'Taco II',,,A7,OOOOA,2,2015
2008-068,-89.80212489,39.93300626,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa,,A6,OOOA,4,2008
2009-148,-89.80208333,39.9328,Quercus_bebbiana,Quercus,bebbiana, 'Taco',,,A6,OOOA,2,2009
2007-025,-89.80201073,39.93335403,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa,,A5,OOA,4,2007
2010-070,-89.80194443,39.93262748,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa,,A6,OOOA,3,2010
1994-013,-89.80101136,39.93403581,Quercus_bebbiana,Quercus,bebbiana, 'Taco',,,B4,OB,1,1994
1900-037,-89.8003,39.93536667,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa,,D3,D,NA,spontaneous
1900-036,-89.79951667,39.9353,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa,,D3,D,NA,spontaneous
1999-048,-89.79849301,39.93566659,Quercus_bebbiana,Quercus,bebbiana, 'Taco' F2,,,F1,FFF,1,1999
2001-059,-89.79843694,39.9358116,Quercus_bebbiana,Quercus,bebbiana, 'Taco' F2,,,F1,FFF,1,2001
1996-044,-89.79843283,39.93565368,Quercus_bebbiana,Quercus,bebbiana, 'Taco' F2,,,F1,FFF,1,1996
2001-016,-89.79842931,39.93572619,Quercus_bebbiana,Quercus,bebbiana, 'Taco' F2,,,F1,FFF,1,2001
2000-047,-89.79840693,39.93558303,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa,,F1,FFF,3,2000
1994-015,-89.79833333,39.93536667,Quercus_bebbiana,Quercus,bebbiana,,alba_macrocarpa F3,,F2,FF,2,1994
1995-036,-89.80220653,39.93484651,Quercus_bimundorum,Quercus,bimundorum,,alba_robur F2,,A2,AA,2,1995
2002-048,-89.80095436,39.9338043,Quercus_bimundorum,Quercus,bimundorum,,alba_robur F2,,B4,OB,2,2002
1981-033,-89.80215649,39.93534775,Quercus_bushii,Quercus,bushii,,marilandica_velutina F2,,A2,AA,1,1981
2013-018,-89.80187251,39.93239908,Quercus_bushii,Quercus,bushii,,marilandica_velutina F2,,A7,OOOOA,2,2013
2021-009,-89.8017,39.93255,Quercus_bushii,Quercus,bushii,,marilandica_velutina,,,,NA,2021
2010-071,-89.80141235,39.93278297,Quercus_calvescens,Quercus,calvescens,,,,B6,OOOB,1,2010
2004-079,-89.8013965,39.93407177,Quercus_carrisoana,Quercus,carrisoana,,canariensis_robur,,B5,OOB,1,2004
